kind,name,bandwidth(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
Native,all,50,10,0,16,61844,13866,57000,1378643
Native,all,50,10,0,256,62242,14107,57000,1411360
Native,all,50,10,0,1024,63354,14876,87000,1391083
Native,all,50,10,0,2048,64652,15952,119000,1391233
Native,all,50,15,0,16,62253,14074,56000,1390931
Native,all,50,15,0,256,62447,14315,57000,1394976
Native,all,50,15,0,1024,63727,15032,88000,1391082
Native,all,50,15,0,2048,64921,16108,119000,1395329
Native,all,50,20,0,16,62148,14074,56000,1411411
Native,all,50,20,0,256,62426,14315,57000,1411360
Native,all,50,20,0,1024,63468,15032,88000,1378795
Native,all,50,20,0,2048,64938,16212,119000,1378945
Native,all,100,10,0,16,61904,13866,56000,1395027
Native,all,100,10,0,256,62192,14107,57000,1411360
Native,all,100,10,0,1024,63392,14876,88000,1395179
Native,all,100,10,0,2048,64654,15952,118000,1411713
Native,all,100,15,0,16,62183,14074,57000,1390931
Native,all,100,15,0,256,62380,14315,57000,1378592
Native,all,100,15,0,1024,63663,15032,87000,1395179
Native,all,100,15,0,2048,64875,16108,120000,1378945
Native,all,100,20,0,16,62192,13970,57000,1390931
Native,all,100,20,0,256,62398,14315,57000,1390880
Native,all,100,20,0,1024,63447,14928,88000,1378794
Native,all,100,20,0,2048,64941,16212,119000,1411713
Native,all,200,10,0,16,61997,13814,56000,1378643
Native,all,200,10,0,256,62175,13899,57000,1394976
Native,all,200,10,0,1024,63412,14824,89000,1391083
Native,all,200,10,0,2048,64702,15900,119000,1395329
Native,all,200,15,0,16,62167,14022,56000,1395027
Native,all,200,15,0,256,62475,14055,57000,1411360
Native,all,200,15,0,1024,63648,14928,88000,1391083
Native,all,200,15,0,2048,64854,16108,119000,1391233
Native,all,200,20,0,16,62172,13970,57000,1395027
Native,all,200,20,0,256,62518,14159,57000,1394976
Native,all,200,20,0,1024,63648,14980,87000,1391083
Native,all,200,20,0,2048,64991,16108,119000,1411713
