kind,name,bandwith(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
wasm,all,50,10,1024,16,70639,12195,273000,2356310
wasm,all,50,10,1024,256,71028,12436,271000,2344310
wasm,all,50,10,1024,1024,72153,13205,374000,2336250
wasm,all,50,10,1024,2048,73400,14231,493000,2376440
wasm,all,50,10,2048,16,72808,12091,340000,2372310
wasm,all,50,10,2048,256,73260,12436,338000,2352380
wasm,all,50,10,2048,1024,74370,13049,458000,2340310
wasm,all,50,10,2048,2048,75571,14229,545000,2372380
wasm,all,50,15,1024,16,70653,12197,265000,2360380
wasm,all,50,15,1024,256,70924,12436,280000,2336250
wasm,all,50,15,1024,1024,72210,13231,374000,2356310
wasm,all,50,15,1024,2048,73391,14229,470000,2376380
wasm,all,50,15,2048,16,72968,12197,326000,2336380
wasm,all,50,15,2048,256,73143,12436,340000,2336250
wasm,all,50,15,2048,1024,74320,13229,447000,2340440
wasm,all,50,15,2048,2048,75660,14229,550000,2356380
wasm,all,50,20,1024,16,70525,12249,256000,2344310
wasm,all,50,20,1024,256,71004,12384,272000,2380560
wasm,all,50,20,1024,1024,72175,13257,361000,2352250
wasm,all,50,20,1024,2048,73557,14283,482000,2360380
wasm,all,50,20,2048,16,73003,12091,344000,2336250
wasm,all,50,20,2048,256,73117,12490,337000,2368310
wasm,all,50,20,2048,1024,74322,13257,448000,2368310
wasm,all,50,20,2048,2048,75638,14125,551000,2344380
wasm,all,100,10,1024,16,70752,12039,269000,2376380
wasm,all,100,10,1024,256,70881,12178,264000,2344310
wasm,all,100,10,1024,1024,72308,12947,373000,2372310
wasm,all,100,10,1024,2048,73435,14229,482000,2352380
wasm,all,100,10,2048,16,72851,12219,335000,2368310
wasm,all,100,10,2048,256,73073,12436,331000,2336250
wasm,all,100,10,2048,1024,74547,13101,444000,2372380
wasm,all,100,10,2048,2048,75764,14229,535000,2344380
wasm,all,100,15,1024,16,70571,11883,270000,2344310
wasm,all,100,15,1024,256,70851,12230,266000,2344310
wasm,all,100,15,1024,1024,72279,12895,375000,2356250
wasm,all,100,15,1024,2048,73573,13917,497000,2360380
wasm,all,100,15,2048,16,72838,11937,345000,2320190
wasm,all,100,15,2048,256,73297,12438,329000,2352310
wasm,all,100,15,2048,1024,74287,13205,431000,2336380
wasm,all,100,15,2048,2048,75557,14021,550000,2344380
wasm,all,100,20,1024,16,70860,12093,273000,2344310
wasm,all,100,20,1024,256,70886,12178,280000,2352380
wasm,all,100,20,1024,1024,72045,13205,363000,2324380
wasm,all,100,20,1024,2048,73418,13971,506000,2360380
wasm,all,100,20,2048,16,72985,11989,342000,2352380
wasm,all,100,20,2048,256,73051,12436,336000,2352250
wasm,all,100,20,2048,1024,74256,13101,446000,2356310
wasm,all,100,20,2048,2048,75584,14045,539000,2360380
wasm,all,200,10,1024,16,70528,11833,265000,2360310
wasm,all,200,10,1024,256,70972,12178,241000,2376380
wasm,all,200,10,1024,1024,72378,12843,364000,2372380
wasm,all,200,10,1024,2048,73262,13865,462000,2344310
wasm,all,200,10,2048,16,72931,11833,349000,2352380
wasm,all,200,10,2048,256,73192,12282,341000,2352250
wasm,all,200,10,2048,1024,74362,12945,465000,2376380
wasm,all,200,10,2048,2048,75700,14073,535000,2344380
wasm,all,200,15,1024,16,70849,11935,262000,2376380
wasm,all,200,15,1024,256,71022,12230,276000,2328310
wasm,all,200,15,1024,1024,72184,13049,383000,2376380
wasm,all,200,15,1024,2048,73317,13971,482000,2376380
wasm,all,200,15,2048,16,73061,12041,335000,2336380
wasm,all,200,15,2048,256,73148,12176,336000,2336380
wasm,all,200,15,2048,1024,74380,12841,462000,2340250
wasm,all,200,15,2048,2048,75575,13865,553000,2340310
wasm,all,200,20,1024,16,70652,12039,267000,2344310
wasm,all,200,20,1024,256,71000,12124,270000,2336250
wasm,all,200,20,1024,1024,72127,12893,369000,2372380
wasm,all,200,20,1024,2048,73263,14073,468000,2344310
wasm,all,200,20,2048,16,72904,11883,332000,2352380
wasm,all,200,20,2048,256,73237,12332,334000,2340250
wasm,all,200,20,2048,1024,74267,12893,446000,2356440
wasm,all,200,20,2048,2048,75672,13917,543000,2344380
