kind,name,bandwidth(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
wasm,all,50,10,0,16,69277,12925,192000,2336380
wasm,all,50,10,0,256,69353,13166,201000,2344310
wasm,all,50,10,0,1024,70400,13935,310000,2344310
wasm,all,50,10,0,2048,71769,14959,405000,2376380
wasm,all,50,15,0,16,69079,13081,193000,2360310
wasm,all,50,15,0,256,69248,13322,196000,2360380
wasm,all,50,15,0,1024,70612,14091,292000,2352380
wasm,all,50,15,0,2048,71961,15167,394000,2392440
wasm,all,50,20,0,16,69218,13081,191000,2344310
wasm,all,50,20,0,256,69623,13322,199000,2336250
wasm,all,50,20,0,1024,70738,14091,305000,2360380
wasm,all,50,20,0,2048,71997,15167,380000,2336380
wasm,all,100,10,0,16,69011,12665,202000,2360380
wasm,all,100,10,0,256,69394,13218,202000,2376380
wasm,all,100,10,0,1024,70531,13935,295000,2344380
wasm,all,100,10,0,2048,71866,14959,388000,2344310
wasm,all,100,15,0,16,69273,13081,200000,2344310
wasm,all,100,15,0,256,69610,13218,201000,2344310
wasm,all,100,15,0,1024,70521,14091,302000,2336250
wasm,all,100,15,0,2048,71756,15219,387000,2344310
wasm,all,100,20,0,16,69105,13081,200000,2376380
wasm,all,100,20,0,256,69400,13322,203000,2392440
wasm,all,100,20,0,1024,70596,14091,296000,2344310
wasm,all,100,20,0,2048,72047,15167,387000,2360310
wasm,all,200,10,0,16,68875,12925,193000,2344310
wasm,all,200,10,0,256,69359,13114,206000,2352380
wasm,all,200,10,0,1024,70441,13519,293000,2352380
wasm,all,200,10,0,2048,71802,15011,390000,2376380
wasm,all,200,15,0,16,69322,12821,202000,2344310
wasm,all,200,15,0,256,69765,12802,197000,2336250
wasm,all,200,15,0,1024,70607,14091,293000,2336250
wasm,all,200,15,0,2048,71894,15063,375000,2344310
wasm,all,200,20,0,16,69256,13029,199000,2360380
wasm,all,200,20,0,256,69280,13322,200000,2360380
wasm,all,200,20,0,1024,70635,13831,301000,2376380
wasm,all,200,20,0,2048,72125,14803,396000,2360310
