kind,name,bandwith(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
Native,all,50,10,0,16,61960,13866,41000,1411525
Native,all,50,10,0,256,62089,14107,41000,1411475
Native,all,50,10,0,1024,63337,14876,59000,1411677
Native,all,50,10,0,2048,64696,15952,76000,1395442
Native,all,50,15,0,16,61984,14074,41000,1411639
Native,all,50,15,0,256,62572,14379,41000,1411588
Native,all,50,15,0,1024,63567,15032,59000,1411792
Native,all,50,15,0,2048,64860,16108,76000,1411940
Native,all,50,20,0,16,62043,14074,41000,1391045
Native,all,50,20,0,256,62317,14315,42000,1390995
Native,all,50,20,0,1024,63624,15032,59000,1395293
Native,all,50,20,0,2048,64787,16108,77000,1395442
Native,all,100,10,0,16,61890,13814,41000,1391159
Native,all,100,10,0,256,62063,14107,41000,1407492
Native,all,100,10,0,1024,63352,14824,59000,1395408
Native,all,100,10,0,2048,64636,15900,77000,1391460
Native,all,100,15,0,16,62115,14074,41000,1411525
Native,all,100,15,0,256,62356,14315,41000,1390995
Native,all,100,15,0,1024,63475,15032,59000,1395293
Native,all,100,15,0,2048,64916,16108,77000,1395442
Native,all,100,20,0,16,62307,14074,41000,1378871
Native,all,100,20,0,256,62407,14315,41000,1411588
Native,all,100,20,0,1024,63618,15032,59000,1395408
Native,all,100,20,0,2048,64929,16212,77000,1395556
Native,all,200,10,0,16,61859,13814,41000,1378757
Native,all,200,10,0,256,62059,14003,41000,1378707
Native,all,200,10,0,1024,63338,14772,58000,1391197
Native,all,200,10,0,2048,64508,15848,76000,1379058
Native,all,200,15,0,16,62059,14074,41000,1411639
Native,all,200,15,0,256,62367,14159,41000,1411588
Native,all,200,15,0,1024,63494,15032,59000,1379024
Native,all,200,15,0,2048,64820,16108,76000,1379172
Native,all,200,20,0,16,62085,14074,41000,1391045
Native,all,200,20,0,256,62473,14263,41000,1378707
Native,all,200,20,0,1024,63685,15032,59000,1391197
Native,all,200,20,0,2048,64905,16212,76000,1395442
