kind,name,bandwith(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
native,test_protocol,50,10,1024,16,23548882,1266763,5158.343,91524
native,test_protocol,50,10,1024,256,23561165,1266763,5160.514,96808
native,test_protocol,50,10,1024,1024,23593969,1266763,5180.013,111272
native,test_protocol,50,10,1024,2048,23634924,1266763,5202.311,111272
native,test_protocol,50,10,2048,16,34211826,1398858,6984.999,111296
native,test_protocol,50,10,2048,256,34224115,1398859,6989.906,111244
native,test_protocol,50,10,2048,1024,34252782,1398859,6994.674,111244
native,test_protocol,50,10,2048,2048,34293744,1398859,7024.925,111268
native,test_protocol,50,15,1024,16,23548881,1266763,5558.463,91816
native,test_protocol,50,15,1024,256,23561172,1266763,5564.122,96812
native,test_protocol,50,15,1024,1024,23593971,1266763,5579.602,111276
native,test_protocol,50,15,1024,2048,23634928,1266763,5603.867,111144
native,test_protocol,50,15,2048,16,34211827,1398859,7414.251,111244
native,test_protocol,50,15,2048,256,34224111,1398859,7400.248,111268
native,test_protocol,50,15,2048,1024,34252786,1398859,7414.247,111268
native,test_protocol,50,15,2048,2048,34293748,1398859,7431.256,111248
native,test_protocol,50,20,1024,16,23548878,1266763,5968.034,91948
native,test_protocol,50,20,1024,256,23561166,1266763,5978.001,96940
native,test_protocol,50,20,1024,1024,23593971,1266763,5993.681,111276
native,test_protocol,50,20,1024,2048,23634932,1266763,6013.372,111144
native,test_protocol,50,20,2048,16,34211825,1398859,7819.637,111784
native,test_protocol,50,20,2048,256,34224109,1398859,7829.578,111128
native,test_protocol,50,20,2048,1024,34252785,1398859,7837.709,111268
native,test_protocol,50,20,2048,2048,34293741,1398859,7856.197,111788
native,test_protocol,100,10,1024,16,23548880,1266763,3051.074,92072
native,test_protocol,100,10,1024,256,23561170,1266763,3060.73,96940
native,test_protocol,100,10,1024,1024,23593970,1266763,3079.813,111272
native,test_protocol,100,10,1024,2048,23634929,1266763,3094.773,111272
native,test_protocol,100,10,2048,16,34211826,1398859,4012.408,111248
native,test_protocol,100,10,2048,256,34224114,1398859,4020.452,111252
native,test_protocol,100,10,2048,1024,34252782,1398859,4030.413,111244
native,test_protocol,100,10,2048,2048,34293750,1398859,4045.294,111268
native,test_protocol,100,15,1024,16,23548882,1266763,3444.902,91820
native,test_protocol,100,15,1024,256,23561168,1266763,3446.5,96940
native,test_protocol,100,15,1024,1024,23593971,1266763,3463.636,111272
native,test_protocol,100,15,1024,2048,23634929,1266763,3485.121,111144
native,test_protocol,100,15,2048,16,34211825,1398859,4423.907,111252
native,test_protocol,100,15,2048,256,34224111,1398859,4426.286,111248
native,test_protocol,100,15,2048,1024,34252784,1398859,4442.942,111272
native,test_protocol,100,15,2048,2048,34293742,1398859,4459.152,111268
native,test_protocol,100,20,1024,16,23548883,1266763,3848.081,91816
native,test_protocol,100,20,1024,256,23561169,1266763,3846.83,96940
native,test_protocol,100,20,1024,1024,23593970,1266763,3868.437,111148
native,test_protocol,100,20,1024,2048,23634932,1266763,3895.622,111272
native,test_protocol,100,20,2048,16,34211823,1398859,4839.807,111272
native,test_protocol,100,20,2048,256,34224113,1398859,4853.489,111248
native,test_protocol,100,20,2048,1024,34252788,1398859,4858.505,111272
native,test_protocol,100,20,2048,2048,34293743,1398859,4877.761,111272
native,test_protocol,200,10,1024,16,23548879,1266763,1989.88,92076
native,test_protocol,200,10,1024,256,23561168,1266763,2026.812,96936
native,test_protocol,200,10,1024,1024,23593971,1266763,2015.924,111140
native,test_protocol,200,10,1024,2048,23634928,1266763,2034.062,111148
native,test_protocol,200,10,2048,16,34211827,1398859,2503.39,111244
native,test_protocol,200,10,2048,256,34224112,1398859,2508.986,111248
native,test_protocol,200,10,2048,1024,34252784,1398859,2540.518,111268
native,test_protocol,200,10,2048,2048,34293747,1398859,2556.653,111788
