kind,name,bandwidth(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
native,test_prot_on_off,50,10,1024,16,24162158,1008459,5248.948,103460
native,test_prot_on_off,50,10,1024,256,24174452,1008459,5253.262,108432
native,test_prot_on_off,50,10,1024,1024,24207249,1008459,5274.614,134180
native,test_prot_on_off,50,10,1024,2048,24248209,1008459,5294.408,134440
native,test_prot_on_off,50,10,2048,16,34888593,1140555,7119.89,145060
native,test_prot_on_off,50,10,2048,256,34900879,1140555,7125.127,145060
native,test_prot_on_off,50,10,2048,1024,34929552,1140555,7133.044,145060
native,test_prot_on_off,50,10,2048,2048,34970515,1140555,7156.253,145064
native,test_prot_on_off,50,15,1024,16,24162163,1008459,5638.824,103476
native,test_prot_on_off,50,15,1024,256,24174450,1008459,5648.222,108388
native,test_prot_on_off,50,15,1024,1024,24207247,1008459,5667.78,134180
native,test_prot_on_off,50,15,1024,2048,24248205,1008459,5683.863,134440
native,test_prot_on_off,50,15,2048,16,34888596,1140555,7511.512,145060
native,test_prot_on_off,50,15,2048,256,34900884,1140555,7516.339,145060
native,test_prot_on_off,50,15,2048,1024,34929550,1140555,7535.37,144944
native,test_prot_on_off,50,15,2048,2048,34970514,1140555,7567.096,145060
native,test_prot_on_off,50,20,1024,16,24162161,1008459,6048.431,103456
native,test_prot_on_off,50,20,1024,256,24174453,1008459,6054.17,108432
native,test_prot_on_off,50,20,1024,1024,24207250,1008459,6074.365,134184
native,test_prot_on_off,50,20,1024,2048,24248208,1008459,6088.313,134416
native,test_prot_on_off,50,20,2048,16,34888593,1140555,7913.699,145060
native,test_prot_on_off,50,20,2048,256,34900880,1140555,7918.697,145060
native,test_prot_on_off,50,20,2048,1024,34929551,1140555,7929.403,145060
native,test_prot_on_off,50,20,2048,2048,34970513,1140555,7949.49,145060
native,test_prot_on_off,100,10,1024,16,24162163,1008459,3141.193,103536
native,test_prot_on_off,100,10,1024,256,24174451,1008459,3145.593,108428
native,test_prot_on_off,100,10,1024,1024,24207248,1008459,3163.777,134180
native,test_prot_on_off,100,10,1024,2048,24248212,1008459,3182.943,134436
native,test_prot_on_off,100,10,2048,16,34888597,1140555,4101.696,145060
native,test_prot_on_off,100,10,2048,256,34900882,1140555,4108.701,145060
native,test_prot_on_off,100,10,2048,1024,34929554,1140555,4116.789,145064
native,test_prot_on_off,100,10,2048,2048,34970512,1140555,4132.929,145060
native,test_prot_on_off,100,15,1024,16,24162162,1008459,3529.74,103464
native,test_prot_on_off,100,15,1024,256,24174452,1008459,3539.53,108428
native,test_prot_on_off,100,15,1024,1024,24207253,1008459,3555.654,134180
native,test_prot_on_off,100,15,1024,2048,24248211,1008459,3576.888,134436
native,test_prot_on_off,100,15,2048,16,34888596,1140555,4511.066,145060
native,test_prot_on_off,100,15,2048,256,34900886,1140555,4517.298,145060
native,test_prot_on_off,100,15,2048,1024,34929552,1140555,4524.471,145060
native,test_prot_on_off,100,15,2048,2048,34970513,1140555,4542.701,145064
native,test_prot_on_off,100,20,1024,16,24162162,1008459,3937.79,103464
native,test_prot_on_off,100,20,1024,256,24174446,1008459,3939.804,108428
native,test_prot_on_off,100,20,1024,1024,24207252,1008459,3960.272,134216
native,test_prot_on_off,100,20,1024,2048,24248209,1008459,3973.693,134436
native,test_prot_on_off,100,20,2048,16,34888591,1140555,4895.442,145060
native,test_prot_on_off,100,20,2048,256,34900879,1140555,4895.561,144936
native,test_prot_on_off,100,20,2048,1024,34929553,1140555,4903.763,144932
native,test_prot_on_off,100,20,2048,2048,34970515,1140555,4935.57,145060
native,test_prot_on_off,200,10,1024,16,24162161,1008459,2064.735,103460
native,test_prot_on_off,200,10,1024,256,24174453,1008459,2073.754,108428
native,test_prot_on_off,200,10,1024,1024,24207251,1008459,2091.811,134180
native,test_prot_on_off,200,10,1024,2048,24248210,1008459,2111.391,134436
native,test_prot_on_off,200,10,2048,16,34888596,1140555,2625.507,145056
native,test_prot_on_off,200,10,2048,256,34900881,1140555,2627.905,145060
native,test_prot_on_off,200,10,2048,1024,34929550,1140555,2647.228,145060
native,test_prot_on_off,200,10,2048,2048,34970514,1140555,2660.44,145060
native,test_prot_on_off,200,15,1024,16,24162161,1008459,2460.112,103464
native,test_prot_on_off,200,15,1024,256,24174449,1008459,2465.584,108428
native,test_prot_on_off,200,15,1024,1024,24207245,1008459,2472.59,134180
native,test_prot_on_off,200,15,1024,2048,24248210,1008459,2487.724,134432
native,test_prot_on_off,200,15,2048,16,34888597,1140555,3044.699,144932
native,test_prot_on_off,200,15,2048,256,34900883,1140555,3043.761,144936
native,test_prot_on_off,200,15,2048,1024,34929556,1140555,3065.966,145060
native,test_prot_on_off,200,15,2048,2048,34970514,1140555,3079.086,145060
native,test_prot_on_off,200,20,1024,16,24162160,1008459,2869.023,103456
native,test_prot_on_off,200,20,1024,256,24174447,1008459,2852.308,108428
native,test_prot_on_off,200,20,1024,1024,24207248,1008459,2883.646,134176
native,test_prot_on_off,200,20,1024,2048,24248206,1008459,2938.526,134436
native,test_prot_on_off,200,20,2048,16,34888593,1140555,3441.288,145060
native,test_prot_on_off,200,20,2048,256,34900885,1140555,3423.014,145064
native,test_prot_on_off,200,20,2048,1024,34929550,1140555,3455.477,145056
native,test_prot_on_off,200,20,2048,2048,34970517,1140555,3466.32,145060
