kind,name,bandwidth(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
native,test_protocol,50,10,1024,16,23548881,1266763,5352.1,91672
native,test_protocol,50,10,1024,256,23561171,1266763,5160.972,96788
native,test_protocol,50,10,1024,1024,23593969,1266763,5183.417,111000
native,test_protocol,50,10,1024,2048,23634930,1266763,5200.785,111000
native,test_protocol,50,10,2048,16,34211822,1398859,6989.718,111104
native,test_protocol,50,10,2048,256,34224115,1398859,6994.042,111104
native,test_protocol,50,10,2048,1024,34252783,1398859,7003.544,111104
native,test_protocol,50,10,2048,2048,34293743,1398859,7023.638,111104
native,test_protocol,50,15,1024,16,23548878,1266763,5559.478,91800
native,test_protocol,50,15,1024,256,23561170,1266763,5564.489,96792
native,test_protocol,50,15,1024,1024,23593968,1266763,5584.333,111000
native,test_protocol,50,15,1024,2048,23634930,1266763,5603.437,110996
native,test_protocol,50,15,2048,16,34211828,1398859,7400.215,111104
native,test_protocol,50,15,2048,256,34224117,1398859,7401.245,111108
native,test_protocol,50,15,2048,1024,34252782,1398859,7417.061,111108
native,test_protocol,50,15,2048,2048,34293744,1398859,7438.9,111104
native,test_protocol,50,20,1024,16,23548880,1266763,5970.246,91796
native,test_protocol,50,20,1024,256,23561167,1266763,5979.787,96660
native,test_protocol,50,20,1024,1024,23593970,1266763,5999.758,110996
native,test_protocol,50,20,1024,2048,23634926,1266763,6021.018,111000
native,test_protocol,50,20,2048,16,34211824,1398859,7821.173,111104
native,test_protocol,50,20,2048,256,34224111,1398859,7825.849,111104
native,test_protocol,50,20,2048,1024,34252780,1398859,7844.529,111640
native,test_protocol,50,20,2048,2048,34293743,1398859,7857.74,111640
native,test_protocol,100,10,1024,16,23548884,1266763,3052.484,91668
native,test_protocol,100,10,1024,256,23561171,1266763,3057.034,96788
native,test_protocol,100,10,1024,1024,23593969,1266763,3077.408,110996
native,test_protocol,100,10,1024,2048,23634930,1266763,3101.157,111000
native,test_protocol,100,10,2048,16,34211828,1398858,4017.464,110996
native,test_protocol,100,10,2048,256,34224116,1398859,4018.43,111104
native,test_protocol,100,10,2048,1024,34252784,1398859,4030.868,111132
native,test_protocol,100,10,2048,2048,34293748,1398859,4056.746,111136
native,test_protocol,100,15,1024,16,23548883,1266763,3445.877,91668
native,test_protocol,100,15,1024,256,23561169,1266763,3452.889,96788
native,test_protocol,100,15,1024,1024,23593970,1266763,3472.303,110996
native,test_protocol,100,15,1024,2048,23634927,1266763,3485.377,111124
native,test_protocol,100,15,2048,16,34211825,1398859,4424.386,111104
native,test_protocol,100,15,2048,256,34224113,1398859,4431.654,111072
native,test_protocol,100,15,2048,1024,34252787,1398859,4444.295,111108
native,test_protocol,100,15,2048,2048,34293746,1398859,4459.689,111640
native,test_protocol,100,20,1024,16,23548876,1266763,3845.753,91928
native,test_protocol,100,20,1024,256,23561166,1266763,3850.009,96788
native,test_protocol,100,20,1024,1024,23593969,1266763,3992.699,110996
native,test_protocol,100,20,1024,2048,23634928,1266763,3894.893,110996
native,test_protocol,100,20,2048,16,34211826,1398859,4849.229,111108
native,test_protocol,100,20,2048,256,34224115,1398859,4848.748,111104
native,test_protocol,100,20,2048,1024,34252783,1398859,4865.732,111116
native,test_protocol,100,20,2048,2048,34293745,1398859,4882.696,111132
native,test_protocol,200,10,1024,16,23548878,1266763,1994.092,91800
native,test_protocol,200,10,1024,256,23561172,1266763,1998.565,96788
native,test_protocol,200,10,1024,1024,23593967,1266763,2017.159,110996
native,test_protocol,200,10,1024,2048,23634929,1266763,2036.344,111128
native,test_protocol,200,10,2048,16,34211825,1398859,2507.404,111636
native,test_protocol,200,10,2048,256,34224111,1398859,2510.911,111100
native,test_protocol,200,10,2048,1024,34252783,1398859,2526.865,111128
native,test_protocol,200,10,2048,2048,34293744,1398859,2543.651,111128
native,test_protocol,200,15,1024,16,23548879,1266763,2408.733,91672
native,test_protocol,200,15,1024,256,23561167,1266763,2379.863,96660
native,test_protocol,200,15,1024,1024,23593967,1266763,2408.52,111000
native,test_protocol,200,15,1024,2048,23634930,1266763,2418.917,110996
native,test_protocol,200,15,2048,16,34211828,1398859,2922.409,111112
native,test_protocol,200,15,2048,256,34224111,1398859,2914.495,111104
native,test_protocol,200,15,2048,1024,34252784,1398859,2926.047,111136
native,test_protocol,200,15,2048,2048,34293747,1398859,2948.76,111108
native,test_protocol,200,20,1024,16,23548883,1266763,2776.609,91800
native,test_protocol,200,20,1024,256,23561167,1266763,2779.075,96788
native,test_protocol,200,20,1024,1024,23593968,1266763,2785.053,111000
native,test_protocol,200,20,1024,2048,23634928,1266763,2843.838,111128
native,test_protocol,200,20,2048,16,34211822,1398859,3333.224,111084
native,test_protocol,200,20,2048,256,34224115,1398859,3331.014,111136
native,test_protocol,200,20,2048,1024,34252783,1398859,3376.885,111104
native,test_protocol,200,20,2048,2048,34293744,1398859,3354.728,111640
