kind,name,bandwidth(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
native,test_prove_proxy_tls,50,10,1024,16,375302,788721,622.863,69376
native,test_prove_proxy_tls,50,10,1024,256,383494,788721,629.866,74108
native,test_prove_proxy_tls,50,10,1024,1024,416262,788721,647.668,89856
native,test_prove_proxy_tls,50,10,1024,2048,461350,788721,674.87,110460
native,test_prove_proxy_tls,50,10,2048,16,375302,788721,622.021,69504
native,test_prove_proxy_tls,50,10,2048,256,383494,788721,630.281,74112
native,test_prove_proxy_tls,50,10,2048,1024,416262,788721,651.441,89852
native,test_prove_proxy_tls,50,10,2048,2048,461350,788721,675.903,110464
native,test_prove_proxy_tls,50,15,1024,16,375302,788721,753.645,69372
native,test_prove_proxy_tls,50,15,1024,256,383494,788721,751.906,74112
native,test_prove_proxy_tls,50,15,1024,1024,416262,788721,779.096,89852
native,test_prove_proxy_tls,50,15,1024,2048,461350,788721,806.056,110460
native,test_prove_proxy_tls,50,15,2048,16,375302,788721,754.027,69372
native,test_prove_proxy_tls,50,15,2048,256,383494,788721,759.678,74240
native,test_prove_proxy_tls,50,15,2048,1024,416262,788721,773.518,89856
native,test_prove_proxy_tls,50,15,2048,2048,461350,788721,805.001,110464
native,test_prove_proxy_tls,50,20,1024,16,375302,788721,881.297,69372
native,test_prove_proxy_tls,50,20,1024,256,383494,788721,886.869,74240
native,test_prove_proxy_tls,50,20,1024,1024,416262,788721,909.773,89856
native,test_prove_proxy_tls,50,20,1024,2048,461350,788721,933.231,110464
native,test_prove_proxy_tls,50,20,2048,16,375302,788721,881.571,69372
native,test_prove_proxy_tls,50,20,2048,256,383494,788721,888.68,74112
native,test_prove_proxy_tls,50,20,2048,1024,416262,788721,906.898,89856
native,test_prove_proxy_tls,50,20,2048,2048,461350,788721,927.131,110464
native,test_prove_proxy_tls,100,10,1024,16,375302,788721,513.071,69372
native,test_prove_proxy_tls,100,10,1024,256,383494,788721,518.462,74112
native,test_prove_proxy_tls,100,10,1024,1024,416262,788721,540.277,89856
native,test_prove_proxy_tls,100,10,1024,2048,461350,788721,559.127,110464
native,test_prove_proxy_tls,100,10,2048,16,375302,788721,511.184,69376
native,test_prove_proxy_tls,100,10,2048,256,383494,788721,520.597,74112
native,test_prove_proxy_tls,100,10,2048,1024,416262,788721,537.391,89852
native,test_prove_proxy_tls,100,10,2048,2048,461350,788721,565.28,110464
native,test_prove_proxy_tls,100,15,1024,16,375302,788721,649.161,69376
native,test_prove_proxy_tls,100,15,1024,256,383494,788721,655.782,74108
native,test_prove_proxy_tls,100,15,1024,1024,416262,788721,670.495,89856
native,test_prove_proxy_tls,100,15,1024,2048,461350,788721,700.369,110464
native,test_prove_proxy_tls,100,15,2048,16,375302,788721,649.02,69376
native,test_prove_proxy_tls,100,15,2048,256,383494,788721,652.841,74108
native,test_prove_proxy_tls,100,15,2048,1024,416262,788721,675.303,89856
native,test_prove_proxy_tls,100,15,2048,2048,461350,788721,701.0,110464
native,test_prove_proxy_tls,100,20,1024,16,375302,788721,784.69,69376
native,test_prove_proxy_tls,100,20,1024,256,383494,788721,799.231,74108
native,test_prove_proxy_tls,100,20,1024,1024,416262,788721,814.871,89856
native,test_prove_proxy_tls,100,20,1024,2048,461350,788721,844.623,110464
native,test_prove_proxy_tls,100,20,2048,16,375302,788721,804.995,69372
native,test_prove_proxy_tls,100,20,2048,256,383494,788721,795.585,74112
native,test_prove_proxy_tls,100,20,2048,1024,416262,788721,820.118,89852
native,test_prove_proxy_tls,100,20,2048,2048,461350,788721,858.424,110460
native,test_prove_proxy_tls,200,10,1024,16,375302,788721,468.079,69376
native,test_prove_proxy_tls,200,10,1024,256,383494,788721,478.8,74112
native,test_prove_proxy_tls,200,10,1024,1024,416262,788721,490.919,89852
native,test_prove_proxy_tls,200,10,1024,2048,461350,788721,521.216,110464
native,test_prove_proxy_tls,200,10,2048,16,375302,788721,465.933,69376
native,test_prove_proxy_tls,200,10,2048,256,383494,788721,474.963,74112
native,test_prove_proxy_tls,200,10,2048,1024,416262,788721,491.817,89852
native,test_prove_proxy_tls,200,10,2048,2048,461350,788721,519.283,110460
native,test_prove_proxy_tls,200,15,1024,16,375302,788721,612.417,69504
native,test_prove_proxy_tls,200,15,1024,256,383494,788721,623.968,74112
native,test_prove_proxy_tls,200,15,1024,1024,416262,788721,639.005,89852
native,test_prove_proxy_tls,200,15,1024,2048,461350,788721,661.069,110460
native,test_prove_proxy_tls,200,15,2048,16,375302,788721,606.487,69372
native,test_prove_proxy_tls,200,15,2048,256,383494,788721,625.086,74112
native,test_prove_proxy_tls,200,15,2048,1024,416262,788721,631.731,89852
native,test_prove_proxy_tls,200,15,2048,2048,461350,788721,658.793,110464
native,test_prove_proxy_tls,200,20,1024,16,375302,788721,763.882,69376
native,test_prove_proxy_tls,200,20,1024,256,383494,788721,762.695,74112
native,test_prove_proxy_tls,200,20,1024,1024,416262,788721,779.929,89856
native,test_prove_proxy_tls,200,20,1024,2048,461350,788721,809.19,110464
native,test_prove_proxy_tls,200,20,2048,16,375302,788721,764.387,69376
native,test_prove_proxy_tls,200,20,2048,256,383494,788721,761.191,74108
native,test_prove_proxy_tls,200,20,2048,1024,416262,788721,781.083,89856
native,test_prove_proxy_tls,200,20,2048,2048,461350,788721,818.85,110464
