kind,name,bandwidth(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
wasm,test_prot_on_off,50,10,1024,16,24162162,1008459,7215.099,34542
wasm,test_prot_on_off,50,10,1024,256,24174450,1008459,7313.6,34554
wasm,test_prot_on_off,50,10,1024,1024,24207252,1008459,7226.599,34586
wasm,test_prot_on_off,50,10,1024,2048,24248212,1008459,7329.8,34626
wasm,test_prot_on_off,50,10,2048,16,34888593,1140555,9219.6,45151
wasm,test_prot_on_off,50,10,2048,256,34900884,1140555,9113.8,45163
wasm,test_prot_on_off,50,10,2048,1024,34929553,1140555,9142.299,45191
wasm,test_prot_on_off,50,10,2048,2048,34970515,1140555,9243.1,45231
wasm,test_prot_on_off,50,15,1024,16,24162160,1008459,7487.1,34542
wasm,test_prot_on_off,50,15,1024,256,24174449,1008459,7618.5,34554
wasm,test_prot_on_off,50,15,1024,1024,24207251,1008459,7593.7,34586
wasm,test_prot_on_off,50,15,1024,2048,24248210,1008459,7765.8,34626
wasm,test_prot_on_off,50,15,2048,16,34888592,1140555,9534.3,44895
wasm,test_prot_on_off,50,15,2048,256,34900880,1140555,9507.1,45163
wasm,test_prot_on_off,50,15,2048,1024,34929556,1140555,9635.1,45191
wasm,test_prot_on_off,50,15,2048,2048,34970514,1140555,9633.699,45231
wasm,test_prot_on_off,50,20,1024,16,24162161,1008459,8082.0,34542
wasm,test_prot_on_off,50,20,1024,256,24174450,1008459,8019.9,34554
wasm,test_prot_on_off,50,20,1024,1024,24207244,1008459,8117.1,34586
wasm,test_prot_on_off,50,20,1024,2048,24248210,1008459,8114.5,34626
wasm,test_prot_on_off,50,20,2048,16,34888593,1140555,9872.099,45151
wasm,test_prot_on_off,50,20,2048,256,34900884,1140555,9887.199,45163
wasm,test_prot_on_off,50,20,2048,1024,34929552,1140555,10014.5,45191
wasm,test_prot_on_off,50,20,2048,2048,34970515,1140555,10160.8,45231
wasm,test_prot_on_off,100,10,1024,16,24162165,1008459,5398.1,34542
wasm,test_prot_on_off,100,10,1024,256,24174451,1008459,5477.399,34554
wasm,test_prot_on_off,100,10,1024,1024,24207249,1008459,5550.5,34586
wasm,test_prot_on_off,100,10,1024,2048,24248210,1008459,5478.899,34626
wasm,test_prot_on_off,100,10,2048,16,34888594,1140555,6314.399,45151
wasm,test_prot_on_off,100,10,2048,256,34900882,1140555,6355.699,45163
wasm,test_prot_on_off,100,10,2048,1024,34929552,1140555,6602.299,45191
wasm,test_prot_on_off,100,10,2048,2048,34970510,1140555,6419.099,45231
wasm,test_prot_on_off,100,15,1024,16,24162163,1008459,5735.0,34542
wasm,test_prot_on_off,100,15,1024,256,24174451,1008459,5699.699,34554
wasm,test_prot_on_off,100,15,1024,1024,24207247,1008459,5681.5,34330
wasm,test_prot_on_off,100,15,1024,2048,24248210,1008459,5889.899,34626
wasm,test_prot_on_off,100,15,2048,16,34888591,1140555,6697.699,45151
wasm,test_prot_on_off,100,15,2048,256,34900880,1140555,6799.0,45163
wasm,test_prot_on_off,100,15,2048,1024,34929554,1140555,6674.5,45191
wasm,test_prot_on_off,100,15,2048,2048,34970514,1140555,6973.299,45231
wasm,test_prot_on_off,100,20,1024,16,24162155,1008459,6120.6,34542
wasm,test_prot_on_off,100,20,1024,256,24174449,1008459,6007.199,34554
wasm,test_prot_on_off,100,20,1024,1024,24207251,1008459,6282.299,34586
wasm,test_prot_on_off,100,20,1024,2048,24248209,1008459,6298.899,34626
wasm,test_prot_on_off,100,20,2048,16,34888593,1140555,7127.5,45151
wasm,test_prot_on_off,100,20,2048,256,34900877,1140555,7115.4,45419
wasm,test_prot_on_off,100,20,2048,1024,34929552,1140555,7220.1,45191
wasm,test_prot_on_off,100,20,2048,2048,34970512,1140555,7236.699,45231
wasm,test_prot_on_off,200,10,1024,16,24162158,1008459,4249.599,34542
wasm,test_prot_on_off,200,10,1024,256,24174451,1008459,4512.699,34554
wasm,test_prot_on_off,200,10,1024,1024,24207251,1008459,4458.4,34586
wasm,test_prot_on_off,200,10,1024,2048,24248212,1008459,4544.599,34626
wasm,test_prot_on_off,200,10,2048,16,34888592,1140555,5014.2,45151
wasm,test_prot_on_off,200,10,2048,256,34900882,1140555,5209.599,45163
wasm,test_prot_on_off,200,10,2048,1024,34929557,1140555,4940.699,45191
wasm,test_prot_on_off,200,10,2048,2048,34970511,1140555,5205.399,45231
wasm,test_prot_on_off,200,15,1024,16,24162160,1008459,4694.8,34542
wasm,test_prot_on_off,200,15,1024,256,24174449,1008459,4807.6,34554
wasm,test_prot_on_off,200,15,1024,1024,24207252,1008459,4840.099,34586
wasm,test_prot_on_off,200,15,1024,2048,24248210,1008459,5044.099,34626
wasm,test_prot_on_off,200,15,2048,16,34888587,1140555,5455.899,45151
wasm,test_prot_on_off,200,15,2048,256,34900884,1140555,5326.0,45163
wasm,test_prot_on_off,200,15,2048,1024,34929549,1140555,5484.6,45191
wasm,test_prot_on_off,200,15,2048,2048,34970510,1140555,5517.5,45231
wasm,test_prot_on_off,200,20,1024,16,24162163,1008459,5168.6,34542
wasm,test_prot_on_off,200,20,1024,256,24174447,1008459,5252.9,34554
wasm,test_prot_on_off,200,20,1024,1024,24207250,1008458,5261.299,34586
wasm,test_prot_on_off,200,20,1024,2048,24248212,1008459,5583.199,34626
wasm,test_prot_on_off,200,20,2048,16,34888595,1140555,5801.0,45151
wasm,test_prot_on_off,200,20,2048,256,34900882,1140555,5826.0,44907
wasm,test_prot_on_off,200,20,2048,1024,34929550,1140555,5865.399,45191
wasm,test_prot_on_off,200,20,2048,2048,34970515,1140555,6001.0,45231
