kind,name,bandwidth(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
wasm,test_protocol,50,10,1024,16,23548880,1266763,7054.799,34195
wasm,test_protocol,50,10,1024,256,23561168,1266763,7036.3,34207
wasm,test_protocol,50,10,1024,1024,23593969,1266763,7081.4,34495
wasm,test_protocol,50,10,1024,2048,23634928,1266763,7228.0,34535
wasm,test_protocol,50,10,2048,16,34211824,1398859,8918.4,44742
wasm,test_protocol,50,10,2048,256,34224112,1398859,8950.399,44754
wasm,test_protocol,50,10,2048,1024,34252784,1398859,9012.899,44782
wasm,test_protocol,50,10,2048,2048,34293750,1398859,8986.899,44822
wasm,test_protocol,50,15,1024,16,23548879,1266763,7485.1,34195
wasm,test_protocol,50,15,1024,256,23561163,1266763,7553.3,34207
wasm,test_protocol,50,15,1024,1024,23593969,1266763,7471.199,34239
wasm,test_protocol,50,15,1024,2048,23634927,1266763,7603.1,34279
wasm,test_protocol,50,15,2048,16,34211821,1398859,9428.5,44742
wasm,test_protocol,50,15,2048,256,34224113,1398859,9314.8,44754
wasm,test_protocol,50,15,2048,1024,34252784,1398859,9504.699,44782
wasm,test_protocol,50,15,2048,2048,34293749,1398859,9460.1,44822
wasm,test_protocol,50,20,1024,16,23548882,1266763,7948.399,34195
wasm,test_protocol,50,20,1024,256,23561168,1266763,7866.5,33951
wasm,test_protocol,50,20,1024,1024,23593968,1266763,8126.3,34495
wasm,test_protocol,50,20,1024,2048,23634931,1266763,8010.8,34279
wasm,test_protocol,50,20,2048,16,34211827,1398859,9812.8,44742
wasm,test_protocol,50,20,2048,256,34224115,1398859,9880.5,44754
wasm,test_protocol,50,20,2048,1024,34252786,1398859,9973.1,44782
wasm,test_protocol,50,20,2048,2048,34293743,1398859,9904.8,44822
wasm,test_protocol,100,10,1024,16,23548881,1266763,5282.6,34195
wasm,test_protocol,100,10,1024,256,23561172,1266763,5291.6,34207
wasm,test_protocol,100,10,1024,1024,23593970,1266763,5442.199,34495
wasm,test_protocol,100,10,1024,2048,23634929,1266763,5325.8,34279
wasm,test_protocol,100,10,2048,16,34211827,1398859,6247.199,44742
wasm,test_protocol,100,10,2048,256,34224114,1398859,6274.299,44498
wasm,test_protocol,100,10,2048,1024,34252785,1398859,6163.5,44782
wasm,test_protocol,100,10,2048,2048,34293746,1398859,6406.1,44822
wasm,test_protocol,100,15,1024,16,23548880,1266762,5682.0,34195
wasm,test_protocol,100,15,1024,256,23561163,1266763,5577.6,34207
wasm,test_protocol,100,15,1024,1024,23593970,1266763,5754.899,34239
wasm,test_protocol,100,15,1024,2048,23634930,1266763,5849.799,34279
wasm,test_protocol,100,15,2048,16,34211824,1398859,6869.1,44742
wasm,test_protocol,100,15,2048,256,34224111,1398859,6548.3,44754
wasm,test_protocol,100,15,2048,1024,34252785,1398859,6736.1,44782
wasm,test_protocol,100,15,2048,2048,34293747,1398859,6704.8,44822
wasm,test_protocol,100,20,1024,16,23548877,1266763,6017.0,34195
wasm,test_protocol,100,20,1024,256,23561169,1266763,6090.3,34207
wasm,test_protocol,100,20,1024,1024,23593968,1266763,6062.1,34239
wasm,test_protocol,100,20,1024,2048,23634931,1266763,6275.5,34279
wasm,test_protocol,100,20,2048,16,34211826,1398859,7205.399,44742
wasm,test_protocol,100,20,2048,256,34224113,1398859,7071.3,44754
wasm,test_protocol,100,20,2048,1024,34252786,1398859,7181.5,44782
wasm,test_protocol,100,20,2048,2048,34293744,1398859,7314.399,44822
wasm,test_protocol,200,10,1024,16,23548881,1266763,4258.399,34195
wasm,test_protocol,200,10,1024,256,23561171,1266763,4445.599,34207
wasm,test_protocol,200,10,1024,1024,23593970,1266763,4221.1,34239
wasm,test_protocol,200,10,1024,2048,23634929,1266763,4429.8,34279
wasm,test_protocol,200,10,2048,16,34211823,1398859,4932.8,44742
wasm,test_protocol,200,10,2048,256,34224112,1398859,4813.1,44754
wasm,test_protocol,200,10,2048,1024,34252782,1398859,4884.0,44782
wasm,test_protocol,200,10,2048,2048,34293748,1398859,4992.699,44822
wasm,test_protocol,200,15,1024,16,23548883,1266763,4616.299,33939
wasm,test_protocol,200,15,1024,256,23561170,1266763,4791.0,34463
wasm,test_protocol,200,15,1024,1024,23593969,1266763,4639.199,34239
wasm,test_protocol,200,15,1024,2048,23634929,1266763,4823.199,34279
wasm,test_protocol,200,15,2048,16,34211824,1398859,5205.699,44742
wasm,test_protocol,200,15,2048,256,34224114,1398859,5261.8,44754
wasm,test_protocol,200,15,2048,1024,34252789,1398859,5268.0,44782
wasm,test_protocol,200,15,2048,2048,34293748,1398859,5594.5,44822
wasm,test_protocol,200,20,1024,16,23548881,1266763,5175.9,34195
wasm,test_protocol,200,20,1024,256,23561171,1266763,5213.599,34207
wasm,test_protocol,200,20,1024,1024,23593970,1266763,5209.799,34239
wasm,test_protocol,200,20,1024,2048,23634929,1266763,5128.6,34023
wasm,test_protocol,200,20,2048,16,34211829,1398859,5744.699,44742
wasm,test_protocol,200,20,2048,256,34224111,1398859,5804.2,44754
wasm,test_protocol,200,20,2048,1024,34252786,1398859,5772.1,44526
wasm,test_protocol,200,20,2048,2048,34293744,1398859,5910.699,45078
