kind,name,bandwith(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
wasm,test_prove_proxy_tls,50,10,1024,16,375302,788721,2132.7,11351924
wasm,test_prove_proxy_tls,50,10,1024,256,383494,788721,2305.099,11360134
wasm,test_prove_proxy_tls,50,10,1024,1024,416262,788721,2311.5,11392912
wasm,test_prove_proxy_tls,50,10,1024,2048,461350,788721,2400.0,11438056
wasm,test_prove_proxy_tls,50,10,2048,16,375302,788721,2331.199,11351924
wasm,test_prove_proxy_tls,50,10,2048,256,383494,788721,2238.699,11360134
wasm,test_prove_proxy_tls,50,10,2048,1024,416262,788721,2259.899,11392920
wasm,test_prove_proxy_tls,50,10,2048,2048,461350,788721,2372.099,11438048
wasm,test_prove_proxy_tls,50,15,1024,16,375302,788721,2328.899,11351924
wasm,test_prove_proxy_tls,50,15,1024,256,383494,788721,2354.5,11360134
wasm,test_prove_proxy_tls,50,15,1024,1024,416262,788721,2363.1,11392912
wasm,test_prove_proxy_tls,50,15,1024,2048,461350,788721,2396.5,11700200
wasm,test_prove_proxy_tls,50,15,2048,16,375302,788721,2304.599,11351924
wasm,test_prove_proxy_tls,50,15,2048,256,383494,788721,2355.8,11622278
wasm,test_prove_proxy_tls,50,15,2048,1024,416262,788721,2467.599,11655064
wasm,test_prove_proxy_tls,50,15,2048,2048,461350,788721,2424.099,11438048
wasm,test_prove_proxy_tls,50,20,1024,16,375302,788721,2430.8,11351924
wasm,test_prove_proxy_tls,50,20,1024,256,383494,788721,2463.3,11360134
wasm,test_prove_proxy_tls,50,20,1024,1024,416262,788721,2590.299,11392912
wasm,test_prove_proxy_tls,50,20,1024,2048,461350,788721,2546.0,11438056
wasm,test_prove_proxy_tls,50,20,2048,16,375302,788721,2507.3,11351924
wasm,test_prove_proxy_tls,50,20,2048,256,383494,788721,2460.599,11360134
wasm,test_prove_proxy_tls,50,20,2048,1024,416262,788721,2423.9,11392920
wasm,test_prove_proxy_tls,50,20,2048,2048,461350,788721,2560.3,11438048
wasm,test_prove_proxy_tls,100,10,1024,16,375302,788721,2231.5,11351924
wasm,test_prove_proxy_tls,100,10,1024,256,383494,788721,2404.5,11360134
wasm,test_prove_proxy_tls,100,10,1024,1024,416262,788721,2328.399,11392912
wasm,test_prove_proxy_tls,100,10,1024,2048,461350,788721,2608.6,11438056
wasm,test_prove_proxy_tls,100,10,2048,16,375302,788721,2256.099,11351924
wasm,test_prove_proxy_tls,100,10,2048,256,383494,788721,2384.8,11360134
wasm,test_prove_proxy_tls,100,10,2048,1024,416262,788721,2434.3,11392920
wasm,test_prove_proxy_tls,100,10,2048,2048,461350,788721,2352.199,11438048
wasm,test_prove_proxy_tls,100,15,1024,16,375302,788721,2325.2,11351924
wasm,test_prove_proxy_tls,100,15,1024,256,383494,788721,2348.3,11360134
wasm,test_prove_proxy_tls,100,15,1024,1024,416262,788721,2638.4,11392912
wasm,test_prove_proxy_tls,100,15,1024,2048,461350,788721,2553.699,11438056
wasm,test_prove_proxy_tls,100,15,2048,16,375302,788721,2685.5,11089780
wasm,test_prove_proxy_tls,100,15,2048,256,383494,788721,2419.699,11360134
wasm,test_prove_proxy_tls,100,15,2048,1024,416262,788721,2434.8,11392920
wasm,test_prove_proxy_tls,100,15,2048,2048,461350,788721,2695.8,11438048
wasm,test_prove_proxy_tls,100,20,1024,16,375302,788721,2431.5,11351924
wasm,test_prove_proxy_tls,100,20,1024,256,383494,788721,2459.8,11360134
wasm,test_prove_proxy_tls,100,20,1024,1024,416262,788721,2576.199,11392912
wasm,test_prove_proxy_tls,100,20,1024,2048,461350,788721,2630.0,11438056
wasm,test_prove_proxy_tls,100,20,2048,16,375302,788721,2533.5,11351924
wasm,test_prove_proxy_tls,100,20,2048,256,383494,788721,2673.099,11360134
wasm,test_prove_proxy_tls,100,20,2048,1024,416262,788721,2487.599,11392920
wasm,test_prove_proxy_tls,100,20,2048,2048,461350,788721,2670.8,11438048
wasm,test_prove_proxy_tls,200,10,1024,16,375302,788721,2318.3,11351924
wasm,test_prove_proxy_tls,200,10,1024,256,383494,788721,2311.3,11360134
wasm,test_prove_proxy_tls,200,10,1024,1024,416262,788721,2349.0,11392912
wasm,test_prove_proxy_tls,200,10,1024,2048,461350,788721,2426.199,11438056
wasm,test_prove_proxy_tls,200,10,2048,16,375302,788721,2419.1,11351924
wasm,test_prove_proxy_tls,200,10,2048,256,383494,788721,2315.3,11360134
wasm,test_prove_proxy_tls,200,10,2048,1024,416262,788721,2388.3,11392920
wasm,test_prove_proxy_tls,200,10,2048,2048,461350,788721,2488.5,11700192
wasm,test_prove_proxy_tls,200,15,1024,16,375302,788721,2643.4,11351924
wasm,test_prove_proxy_tls,200,15,1024,256,383494,788721,2443.699,11360134
wasm,test_prove_proxy_tls,200,15,1024,1024,416262,788721,2368.899,11392912
wasm,test_prove_proxy_tls,200,15,1024,2048,461350,788721,2689.7,11438056
wasm,test_prove_proxy_tls,200,15,2048,16,375302,788721,2506.899,11089780
wasm,test_prove_proxy_tls,200,15,2048,256,383494,788721,2420.3,11360134
wasm,test_prove_proxy_tls,200,15,2048,1024,416262,788721,2515.5,11392920
wasm,test_prove_proxy_tls,200,15,2048,2048,461350,788721,2558.0,11438048
wasm,test_prove_proxy_tls,200,20,1024,16,375302,788721,2465.899,11351924
wasm,test_prove_proxy_tls,200,20,1024,256,383494,788721,2585.599,11360134
wasm,test_prove_proxy_tls,200,20,1024,1024,416262,788721,2561.099,11392912
wasm,test_prove_proxy_tls,200,20,1024,2048,461350,788721,2716.399,11438056
wasm,test_prove_proxy_tls,200,20,2048,16,375302,788721,2482.0,11351924
wasm,test_prove_proxy_tls,200,20,2048,256,383494,788721,2437.3,11360134
wasm,test_prove_proxy_tls,200,20,2048,1024,416262,788721,2710.5,11392920
wasm,test_prove_proxy_tls,200,20,2048,2048,461350,788721,2594.5,11438048
