kind,name,bandwith(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
native,test_protocol,50,10,1024,16,23548882,1266763,5110.18,92856
native,test_protocol,50,10,1024,256,23561169,1266763,5114.89,97848
native,test_protocol,50,10,1024,1024,23593968,1266763,5139.851,111288
native,test_protocol,50,10,1024,2048,23634930,1266763,5145.974,111928
native,test_protocol,50,10,2048,16,34211825,1398859,6939.343,112276
native,test_protocol,50,10,2048,256,34224117,1398859,6941.199,111640
native,test_protocol,50,10,2048,1024,34252782,1398859,6952.806,112052
native,test_protocol,50,10,2048,2048,34293746,1398859,6969.826,111384
native,test_protocol,50,15,1024,16,23548883,1266763,5516.698,93240
native,test_protocol,50,15,1024,256,23561169,1266763,5508.221,97848
native,test_protocol,50,15,1024,1024,23593971,1266763,5560.657,111412
native,test_protocol,50,15,1024,2048,23634931,1266763,5543.434,111796
native,test_protocol,50,15,2048,16,34211824,1398859,7349.814,111308
native,test_protocol,50,15,2048,256,34224114,1398859,7353.28,111436
native,test_protocol,50,15,2048,1024,34252784,1398859,7362.555,111380
native,test_protocol,50,15,2048,2048,34293745,1398859,7374.019,111236
native,test_protocol,50,20,1024,16,23548878,1266763,5927.187,92856
native,test_protocol,50,20,1024,256,23561170,1266763,5928.403,97848
native,test_protocol,50,20,1024,1024,23593972,1266763,5947.588,111544
native,test_protocol,50,20,1024,2048,23634928,1266763,5956.149,112184
native,test_protocol,50,20,2048,16,34211825,1398859,7775.509,111320
native,test_protocol,50,20,2048,256,34224110,1398859,7778.918,111252
native,test_protocol,50,20,2048,1024,34252786,1398859,7781.855,111864
native,test_protocol,50,20,2048,2048,34293742,1398859,7800.151,112148
native,test_protocol,100,10,1024,16,23548878,1266763,3012.222,92984
native,test_protocol,100,10,1024,256,23561170,1266763,3015.803,97976
native,test_protocol,100,10,1024,1024,23593966,1266763,3033.591,111544
native,test_protocol,100,10,1024,2048,23634933,1266763,3046.314,111160
native,test_protocol,100,10,2048,16,34211821,1398859,3964.744,111256
native,test_protocol,100,10,2048,256,34224118,1398859,3968.756,112304
native,test_protocol,100,10,2048,1024,34252783,1398859,3972.173,112308
native,test_protocol,100,10,2048,2048,34293744,1398859,3993.09,111640
native,test_protocol,100,15,1024,16,23548881,1266763,3393.732,93112
native,test_protocol,100,15,1024,256,23561167,1266763,3401.768,97848
native,test_protocol,100,15,1024,1024,23593967,1266763,3424.121,111416
native,test_protocol,100,15,1024,2048,23634927,1266763,3438.247,111544
native,test_protocol,100,15,2048,16,34211829,1398859,4380.508,111268
native,test_protocol,100,15,2048,256,34224110,1398859,4370.467,112248
native,test_protocol,100,15,2048,1024,34252787,1398859,4471.701,111288
native,test_protocol,100,15,2048,2048,34293742,1398859,4408.309,111268
native,test_protocol,100,20,1024,16,23548884,1266763,3805.897,93368
native,test_protocol,100,20,1024,256,23561170,1266763,3803.076,97848
native,test_protocol,100,20,1024,1024,23593969,1266763,3823.759,112052
native,test_protocol,100,20,1024,2048,23634929,1266763,3837.604,112056
native,test_protocol,100,20,2048,16,34211827,1398859,4800.567,111268
native,test_protocol,100,20,2048,256,34224112,1398859,4794.24,111268
native,test_protocol,100,20,2048,1024,34252787,1398859,4805.326,111260
native,test_protocol,100,20,2048,2048,34293744,1398859,4828.559,112564
native,test_protocol,200,10,1024,16,23548881,1266763,1952.674,92856
native,test_protocol,200,10,1024,256,23561169,1266763,1965.698,97848
native,test_protocol,200,10,1024,1024,23593964,1266763,1969.32,111160
native,test_protocol,200,10,1024,2048,23634924,1266763,2005.512,111160
native,test_protocol,200,10,2048,16,34211829,1398859,2457.638,111520
native,test_protocol,200,10,2048,256,34224114,1398859,2466.146,111648
native,test_protocol,200,10,2048,1024,34252786,1398859,2469.677,112180
native,test_protocol,200,10,2048,2048,34293745,1398859,2482.043,111384
native,test_protocol,200,15,1024,16,23548875,1266763,2328.845,92984
native,test_protocol,200,15,1024,256,23561170,1266763,2333.811,97848
native,test_protocol,200,15,1024,1024,23593967,1266763,2354.933,110904
native,test_protocol,200,15,1024,2048,23634927,1266763,2363.913,111160
native,test_protocol,200,15,2048,16,34211824,1398859,2858.792,111272
native,test_protocol,200,15,2048,256,34224118,1398859,2875.416,111652
native,test_protocol,200,15,2048,1024,34252788,1398859,2904.289,111548
native,test_protocol,200,15,2048,2048,34293746,1398859,2889.195,111140
native,test_protocol,200,20,1024,16,23548881,1266763,2717.475,93112
native,test_protocol,200,20,1024,256,23561169,1266763,2728.212,97720
native,test_protocol,200,20,1024,1024,23593965,1266763,2763.334,111288
native,test_protocol,200,20,1024,2048,23634928,1266763,2751.49,112440
native,test_protocol,200,20,2048,16,34211827,1398859,3252.723,111288
native,test_protocol,200,20,2048,256,34224109,1398859,3270.378,111400
native,test_protocol,200,20,2048,1024,34252788,1398859,3301.421,111288
native,test_protocol,200,20,2048,2048,34293749,1398859,3287.206,112568
native,test_prot_on_off,50,10,1024,16,24162155,1008459,5200.936,104836
native,test_prot_on_off,50,10,1024,256,24174447,1008459,5204.096,109476
native,test_prot_on_off,50,10,1024,1024,24207250,1008459,5226.36,135480
native,test_prot_on_off,50,10,1024,2048,24248207,1008459,5230.602,135484
native,test_prot_on_off,50,10,2048,16,34888592,1140555,7053.174,146108
native,test_prot_on_off,50,10,2048,256,34900882,1140555,7064.384,146108
native,test_prot_on_off,50,10,2048,1024,34929551,1140555,7072.29,145976
native,test_prot_on_off,50,10,2048,2048,34970514,1140555,7089.801,146232
native,test_prot_on_off,50,15,1024,16,24162160,1008459,5591.857,104812
native,test_prot_on_off,50,15,1024,256,24174452,1008459,5595.266,109416
native,test_prot_on_off,50,15,1024,1024,24207245,1008459,5618.427,135100
native,test_prot_on_off,50,15,1024,2048,24248209,1008459,5630.339,135360
native,test_prot_on_off,50,15,2048,16,34888590,1140555,7452.167,146104
native,test_prot_on_off,50,15,2048,256,34900884,1140555,7456.644,146096
native,test_prot_on_off,50,15,2048,1024,34929555,1140555,7468.36,145976
native,test_prot_on_off,50,15,2048,2048,34970512,1140555,7475.116,146236
native,test_prot_on_off,50,20,1024,16,24162160,1008459,5999.459,104836
native,test_prot_on_off,50,20,1024,256,24174447,1008459,5999.974,109348
