kind,name,bandwidth(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
native,test_prot_on_off,50,10,1024,16,24162160,1008459,5210.734,104824
native,test_prot_on_off,50,10,1024,256,24174448,1008459,5213.534,109404
native,test_prot_on_off,50,10,1024,1024,24207248,1008459,5229.351,135340
native,test_prot_on_off,50,10,1024,2048,24248211,1008459,5243.789,135596
native,test_prot_on_off,50,10,2048,16,34888591,1140555,7070.724,146100
native,test_prot_on_off,50,10,2048,256,34900882,1140555,7078.591,146096
native,test_prot_on_off,50,10,2048,1024,34929556,1140555,7084.824,145964
native,test_prot_on_off,50,10,2048,2048,34970513,1140555,7091.672,146092
native,test_prot_on_off,50,15,1024,16,24162164,1008459,5595.257,104824
native,test_prot_on_off,50,15,1024,256,24174447,1008459,5589.972,109464
native,test_prot_on_off,50,15,1024,1024,24207249,1008459,5618.365,135340
native,test_prot_on_off,50,15,1024,2048,24248211,1008459,5634.012,135468
native,test_prot_on_off,50,15,2048,16,34888590,1140555,7466.726,145964
native,test_prot_on_off,50,15,2048,256,34900883,1140555,7468.741,146224
native,test_prot_on_off,50,15,2048,1024,34929551,1140555,7473.91,146040
native,test_prot_on_off,50,15,2048,2048,34970515,1140555,7490.653,145964
native,test_prot_on_off,50,20,1024,16,24162160,1008459,5999.223,104572
native,test_prot_on_off,50,20,1024,256,24174449,1008459,6008.478,109324
native,test_prot_on_off,50,20,1024,1024,24207247,1008459,6027.191,135216
native,test_prot_on_off,50,20,1024,2048,24248211,1008459,6041.682,135596
native,test_prot_on_off,50,20,2048,16,34888595,1140555,7862.789,145968
native,test_prot_on_off,50,20,2048,256,34900880,1140555,7868.124,146096
native,test_prot_on_off,50,20,2048,1024,34929557,1140555,7878.522,145988
native,test_prot_on_off,50,20,2048,2048,34970515,1140555,8553.958,145836
native,test_prot_on_off,100,10,1024,16,24162163,1008459,3097.158,104700
native,test_prot_on_off,100,10,1024,256,24174450,1008459,3100.99,109468
native,test_prot_on_off,100,10,1024,1024,24207248,1008459,3116.508,135216
native,test_prot_on_off,100,10,1024,2048,24248208,1008459,3135.173,135344
native,test_prot_on_off,100,10,2048,16,34888594,1140555,4051.946,146096
native,test_prot_on_off,100,10,2048,256,34900880,1140555,4055.994,145972
native,test_prot_on_off,100,10,2048,1024,34929551,1140555,4063.981,145984
native,test_prot_on_off,100,10,2048,2048,34970510,1140555,4072.935,145972
native,test_prot_on_off,100,15,1024,16,24162160,1008459,3487.3,104700
native,test_prot_on_off,100,15,1024,256,24174446,1008459,3488.493,109340
native,test_prot_on_off,100,15,1024,1024,24207247,1008459,3511.55,135184
native,test_prot_on_off,100,15,1024,2048,24248208,1008459,3522.843,135472
native,test_prot_on_off,100,15,2048,16,34888592,1140555,4460.857,145968
native,test_prot_on_off,100,15,2048,256,34900878,1140555,4461.846,145968
native,test_prot_on_off,100,15,2048,1024,34929553,1140555,4474.495,146228
native,test_prot_on_off,100,15,2048,2048,34970517,1140555,4483.805,146096
native,test_prot_on_off,100,20,1024,16,24162164,1008459,3878.801,104960
native,test_prot_on_off,100,20,1024,256,24174448,1008459,3891.781,109592
native,test_prot_on_off,100,20,1024,1024,24207243,1008459,3907.556,135220
native,test_prot_on_off,100,20,1024,2048,24248205,1008459,3916.995,135600
native,test_prot_on_off,100,20,2048,16,34888588,1140555,4875.659,146100
native,test_prot_on_off,100,20,2048,256,34900880,1140555,4907.766,146224
native,test_prot_on_off,100,20,2048,1024,34929552,1140555,4866.693,145840
native,test_prot_on_off,100,20,2048,2048,34970513,1140555,4875.622,146100
native,test_prot_on_off,200,10,1024,16,24162159,1008459,2023.768,104572
native,test_prot_on_off,200,10,1024,256,24174448,1008459,2023.12,109336
native,test_prot_on_off,200,10,1024,1024,24207251,1008459,2044.017,135092
native,test_prot_on_off,200,10,1024,2048,24248207,1008459,2049.624,135344
native,test_prot_on_off,200,10,2048,16,34888594,1140555,2574.348,145968
native,test_prot_on_off,200,10,2048,256,34900878,1140555,2569.723,146096
native,test_prot_on_off,200,10,2048,1024,34929551,1140555,2573.453,146080
native,test_prot_on_off,200,10,2048,2048,34970514,1140555,2595.784,146096
native,test_prot_on_off,200,15,1024,16,24162162,1008459,2410.973,104492
native,test_prot_on_off,200,15,1024,256,24174452,1008459,2411.238,109408
native,test_prot_on_off,200,15,1024,1024,24207249,1008459,2439.49,135092
native,test_prot_on_off,200,15,1024,2048,24248209,1008459,2445.123,135476
native,test_prot_on_off,200,15,2048,16,34888593,1140555,2998.124,145840
native,test_prot_on_off,200,15,2048,256,34900880,1140554,3007.909,145968
native,test_prot_on_off,200,15,2048,1024,34929554,1140555,3015.225,145968
native,test_prot_on_off,200,15,2048,2048,34970513,1140555,3016.21,146228
native,test_prot_on_off,200,20,1024,16,24162162,1008459,2798.354,104576
native,test_prot_on_off,200,20,1024,256,24174452,1008459,2811.613,109472
native,test_prot_on_off,200,20,1024,1024,24207249,1008459,2839.619,135344
native,test_prot_on_off,200,20,1024,2048,24248208,1008459,2905.346,135472
native,test_prot_on_off,200,20,2048,16,34888594,1140555,3398.473,145868
native,test_prot_on_off,200,20,2048,256,34900881,1140555,3398.223,146100
native,test_prot_on_off,200,20,2048,1024,34929552,1140555,3408.413,145972
native,test_prot_on_off,200,20,2048,2048,34970513,1140555,3424.393,146100
