kind,name,bandwith(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
native,test_prove_proxy_tls,50,10,1024,16,375302,788721,603.483,70408
native,test_prove_proxy_tls,50,10,1024,256,383494,788721,609.331,75276
native,test_prove_proxy_tls,50,10,1024,1024,416262,788721,626.848,91020
native,test_prove_proxy_tls,50,10,1024,2048,461350,788721,654.07,111376
native,test_prove_proxy_tls,50,10,2048,16,375302,788721,601.881,70412
native,test_prove_proxy_tls,50,10,2048,256,383494,788721,601.254,75400
native,test_prove_proxy_tls,50,10,2048,1024,416262,788721,631.029,91020
native,test_prove_proxy_tls,50,10,2048,2048,461350,788721,648.695,111372
native,test_prove_proxy_tls,50,15,1024,16,375302,788721,725.221,70540
native,test_prove_proxy_tls,50,15,1024,256,383494,788721,736.815,75020
native,test_prove_proxy_tls,50,15,1024,1024,416262,788721,757.806,90892
native,test_prove_proxy_tls,50,15,1024,2048,461350,788721,773.218,111500
native,test_prove_proxy_tls,50,15,2048,16,375302,788721,726.757,70540
native,test_prove_proxy_tls,50,15,2048,256,383494,788721,730.04,75404
native,test_prove_proxy_tls,50,15,2048,1024,416262,788721,748.686,90888
native,test_prove_proxy_tls,50,15,2048,2048,461350,788721,775.808,111496
native,test_prove_proxy_tls,50,20,1024,16,375302,788721,863.236,70284
native,test_prove_proxy_tls,50,20,1024,256,383494,788721,867.475,75400
native,test_prove_proxy_tls,50,20,1024,1024,416262,788721,884.382,90896
native,test_prove_proxy_tls,50,20,1024,2048,461350,788721,911.835,110604
native,test_prove_proxy_tls,50,20,2048,16,375302,788721,863.79,70284
native,test_prove_proxy_tls,50,20,2048,256,383494,788721,865.625,75404
native,test_prove_proxy_tls,50,20,2048,1024,416262,788721,882.549,90892
native,test_prove_proxy_tls,50,20,2048,2048,461350,788721,911.99,110796
native,test_prove_proxy_tls,100,10,1024,16,375302,788721,494.053,70540
native,test_prove_proxy_tls,100,10,1024,256,383494,788721,497.157,75276
native,test_prove_proxy_tls,100,10,1024,1024,416262,788721,514.126,90892
native,test_prove_proxy_tls,100,10,1024,2048,461350,788721,537.0,111500
native,test_prove_proxy_tls,100,10,2048,16,375302,788721,491.606,70284
native,test_prove_proxy_tls,100,10,2048,256,383494,788721,499.894,75404
native,test_prove_proxy_tls,100,10,2048,1024,416262,788721,516.895,90892
native,test_prove_proxy_tls,100,10,2048,2048,461350,788721,532.469,110860
native,test_prove_proxy_tls,100,15,1024,16,375302,788721,626.887,70412
native,test_prove_proxy_tls,100,15,1024,256,383494,788721,626.198,75272
native,test_prove_proxy_tls,100,15,1024,1024,416262,788721,651.808,90892
native,test_prove_proxy_tls,100,15,1024,2048,461350,788721,673.772,111500
native,test_prove_proxy_tls,100,15,2048,16,375302,788721,628.057,70412
native,test_prove_proxy_tls,100,15,2048,256,383494,788721,626.75,75404
native,test_prove_proxy_tls,100,15,2048,1024,416262,788721,641.159,91020
native,test_prove_proxy_tls,100,15,2048,2048,461350,788721,672.686,111628
native,test_prove_proxy_tls,100,20,1024,16,375302,788721,760.991,70412
native,test_prove_proxy_tls,100,20,1024,256,383494,788721,809.321,75276
native,test_prove_proxy_tls,100,20,1024,1024,416262,788721,785.159,90760
native,test_prove_proxy_tls,100,20,1024,2048,461350,788721,816.218,111500
native,test_prove_proxy_tls,100,20,2048,16,375302,788721,770.892,70540
native,test_prove_proxy_tls,100,20,2048,256,383494,788721,765.03,75404
native,test_prove_proxy_tls,100,20,2048,1024,416262,788721,788.138,90892
native,test_prove_proxy_tls,100,20,2048,2048,461350,788721,806.757,110988
native,test_prove_proxy_tls,200,10,1024,16,375302,788721,446.11,70412
native,test_prove_proxy_tls,200,10,1024,256,383494,788721,452.182,75404
native,test_prove_proxy_tls,200,10,1024,1024,416262,788721,471.25,90892
native,test_prove_proxy_tls,200,10,1024,2048,461350,788721,490.774,111500
native,test_prove_proxy_tls,200,10,2048,16,375302,788721,441.773,70412
native,test_prove_proxy_tls,200,10,2048,256,383494,788721,451.046,75404
native,test_prove_proxy_tls,200,10,2048,1024,416262,788721,466.098,90768
native,test_prove_proxy_tls,200,10,2048,2048,461350,788721,494.457,111756
native,test_prove_proxy_tls,200,15,1024,16,375302,788721,584.563,70284
native,test_prove_proxy_tls,200,15,1024,256,383494,788721,595.946,75276
native,test_prove_proxy_tls,200,15,1024,1024,416262,788721,601.478,90764
native,test_prove_proxy_tls,200,15,1024,2048,461350,788721,646.31,110732
native,test_prove_proxy_tls,200,15,2048,16,375302,788721,591.044,70536
native,test_prove_proxy_tls,200,15,2048,256,383494,788721,590.815,75276
native,test_prove_proxy_tls,200,15,2048,1024,416262,788721,602.933,90892
native,test_prove_proxy_tls,200,15,2048,2048,461350,788721,636.472,111500
native,test_prove_proxy_tls,200,20,1024,16,375302,788721,734.92,70408
native,test_prove_proxy_tls,200,20,1024,256,383494,788721,733.585,75276
native,test_prove_proxy_tls,200,20,1024,1024,416262,788721,756.246,91020
native,test_prove_proxy_tls,200,20,1024,2048,461350,788721,778.676,111500
native,test_prove_proxy_tls,200,20,2048,16,375302,788721,737.827,70668
native,test_prove_proxy_tls,200,20,2048,256,383494,788721,731.724,75148
native,test_prove_proxy_tls,200,20,2048,1024,416262,788721,758.517,91020
native,test_prove_proxy_tls,200,20,2048,2048,461350,788721,774.821,111116
