kind,name,bandwith(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
native,test_protocol,50,10,1024,16,23548881,1266763,5237.018,92928
native,test_protocol,50,10,1024,256,23561166,1266763,5253.4,97808
native,test_protocol,50,10,1024,1024,23593970,1266763,5273.085,112312
native,test_protocol,50,10,1024,2048,23634926,1266763,5303.183,112312
native,test_protocol,50,10,2048,16,34211823,1398859,7077.377,112248
native,test_protocol,50,10,2048,256,34224113,1398859,7104.222,112204
native,test_protocol,50,10,2048,1024,34252786,1398859,7112.086,112160
native,test_protocol,50,10,2048,2048,34293742,1398859,7130.368,112220
native,test_protocol,50,15,1024,16,23548883,1266763,5659.663,93108
native,test_protocol,50,15,1024,256,23561167,1266763,5666.92,97716
native,test_protocol,50,15,1024,1024,23593967,1266763,5672.925,112052
native,test_protocol,50,15,1024,2048,23634930,1266763,5708.048,112184
native,test_protocol,50,15,2048,16,34211824,1398859,7498.441,112096
native,test_protocol,50,15,2048,256,34224116,1398859,7495.041,112452
native,test_protocol,50,15,2048,1024,34252782,1398859,7522.277,112352
native,test_protocol,50,15,2048,2048,34293746,1398859,7532.629,112200
native,test_protocol,50,20,1024,16,23548881,1266763,6061.008,92984
native,test_protocol,50,20,1024,256,23561169,1266763,6067.755,98104
native,test_protocol,50,20,1024,1024,23593969,1266763,6094.432,112184
native,test_protocol,50,20,1024,2048,23634931,1266763,6120.469,112312
native,test_protocol,50,20,2048,16,34211820,1398859,7965.216,112184
native,test_protocol,50,20,2048,256,34224114,1398859,7925.694,112824
native,test_protocol,50,20,2048,1024,34252787,1398859,7954.647,112192
native,test_protocol,50,20,2048,2048,34293746,1398859,7983.403,112420
native,test_protocol,100,10,1024,16,23548882,1266763,3202.282,93112
native,test_protocol,100,10,1024,256,23561171,1266763,3140.407,97972
native,test_protocol,100,10,1024,1024,23593970,1266763,3175.623,112312
native,test_protocol,100,10,1024,2048,23634929,1266763,3194.593,112312
native,test_protocol,100,10,2048,16,34211823,1398859,4116.763,112440
native,test_protocol,100,10,2048,256,34224111,1398859,4112.864,112176
native,test_protocol,100,10,2048,1024,34252788,1398859,4125.877,112132
native,test_protocol,100,10,2048,2048,34293742,1398859,4159.025,112312
native,test_protocol,100,15,1024,16,23548880,1266763,3538.658,93112
native,test_protocol,100,15,1024,256,23561168,1266762,3570.303,97972
native,test_protocol,100,15,1024,1024,23593966,1266763,3604.666,112308
native,test_protocol,100,15,1024,2048,23634930,1266763,3577.604,112308
native,test_protocol,100,15,2048,16,34211828,1398859,4568.326,112368
native,test_protocol,100,15,2048,256,34224109,1398859,4555.864,112404
native,test_protocol,100,15,2048,1024,34252788,1398859,4533.583,112364
native,test_protocol,100,15,2048,2048,34293747,1398859,4570.998,112420
native,test_protocol,100,20,1024,16,23548884,1266763,4035.75,93112
native,test_protocol,100,20,1024,256,23561172,1266763,4026.215,98100
native,test_protocol,100,20,1024,1024,23593966,1266763,4011.945,112312
native,test_protocol,100,20,1024,2048,23634933,1266763,4032.003,112056
native,test_protocol,100,20,2048,16,34211828,1398859,4971.869,112824
native,test_protocol,100,20,2048,256,34224110,1398859,4963.609,112340
native,test_protocol,100,20,2048,1024,34252785,1398859,5004.959,112824
native,test_protocol,100,20,2048,2048,34293745,1398859,5017.368,112372
native,test_prot_on_off,50,10,1024,16,24162164,1008459,5358.595,104844
native,test_prot_on_off,50,10,1024,256,24174449,1008459,5367.385,109616
native,test_prot_on_off,50,10,1024,1024,24207250,1008459,5386.114,135220
native,test_prot_on_off,50,10,1024,2048,24248208,1008459,5416.925,135832
native,test_prot_on_off,50,10,2048,16,34888592,1140555,7243.981,146020
native,test_prot_on_off,50,10,2048,256,34900883,1140555,7255.639,146216
native,test_prot_on_off,50,10,2048,1024,34929556,1140555,7258.191,146244
native,test_prot_on_off,50,10,2048,2048,34970514,1140555,7287.494,146164
native,test_prot_on_off,50,15,1024,16,24162158,1008459,5757.998,104860
native,test_prot_on_off,50,15,1024,256,24174449,1008459,5764.808,109652
native,test_prot_on_off,50,15,1024,1024,24207252,1008459,5794.051,135220
native,test_prot_on_off,50,15,1024,2048,24248206,1008459,5806.477,135488
native,test_prot_on_off,50,15,2048,16,34888596,1140555,7638.288,146112
native,test_prot_on_off,50,15,2048,256,34900882,1140555,7647.089,146132
native,test_prot_on_off,50,15,2048,1024,34929554,1140555,7700.801,146120
native,test_prot_on_off,50,15,2048,2048,34970511,1140555,7678.193,146256
native,test_prot_on_off,50,20,1024,16,24162162,1008459,6181.716,104588
native,test_prot_on_off,50,20,1024,256,24174450,1008459,6178.532,109612
native,test_prot_on_off,50,20,1024,1024,24207250,1008459,6198.956,135292
native,test_prot_on_off,50,20,1024,2048,24248210,1008459,6223.476,135628
native,test_prot_on_off,50,20,2048,16,34888591,1140555,8062.859,146096
native,test_prot_on_off,50,20,2048,256,34900882,1140555,8079.531,145944
native,test_prot_on_off,50,20,2048,1024,34929549,1140555,8096.949,146188
native,test_prot_on_off,50,20,2048,2048,34970514,1140555,8075.369,146324
native,test_prot_on_off,100,10,1024,16,24162158,1008459,3246.743,104764
native,test_prot_on_off,100,10,1024,256,24174452,1008459,3256.243,109512
native,test_prot_on_off,100,10,1024,1024,24207249,1008459,3286.536,135120
native,test_prot_on_off,100,10,1024,2048,24248209,1008459,3323.13,135760
native,test_prot_on_off,100,10,2048,16,34888593,1140555,4240.128,146028
native,test_prot_on_off,100,10,2048,256,34900881,1140555,4227.045,146124
native,test_prot_on_off,100,10,2048,1024,34929552,1140555,4251.304,146248
native,test_prot_on_off,100,10,2048,2048,34970513,1140555,4323.133,146116
native,test_prot_on_off,100,15,1024,16,24162158,1008459,3658.205,105000
native,test_prot_on_off,100,15,1024,256,24174451,1008459,3669.709,109688
native,test_prot_on_off,100,15,1024,1024,24207251,1008459,3692.582,135408
native,test_prot_on_off,100,15,1024,2048,24248206,1008459,3723.308,135616
native,test_prot_on_off,100,15,2048,16,34888593,1140555,4679.198,146140
native,test_prot_on_off,100,15,2048,256,34900880,1140555,4654.555,146408
native,test_prot_on_off,100,15,2048,1024,34929549,1140555,4655.572,146176
native,test_prot_on_off,100,15,2048,2048,34970514,1140555,4691.53,146180
native,test_prot_on_off,100,20,1024,16,24162162,1008459,4166.827,104772
native,test_prot_on_off,100,20,1024,256,24174450,1008459,4098.767,109604
native,test_prot_on_off,100,20,1024,1024,24207248,1008459,4068.812,135360
native,test_prot_on_off,100,20,1024,2048,24248210,1008459,4118.523,135616
native,test_prot_on_off,100,20,2048,16,34888591,1140555,5063.261,146264
native,test_prot_on_off,100,20,2048,256,34900881,1140555,5070.291,146376
native,test_prot_on_off,100,20,2048,1024,34929550,1140555,5046.66,146404
native,test_prot_on_off,100,20,2048,2048,34970513,1140555,5113.89,146016
native,test_prove_proxy_tls,50,10,1024,16,375302,788721,688.41,70612
native,test_prove_proxy_tls,50,10,1024,256,383494,788721,702.125,75404
native,test_prove_proxy_tls,50,10,1024,1024,416262,788721,745.529,91040
native,test_prove_proxy_tls,50,10,1024,2048,461350,788721,777.376,111752
native,test_prove_proxy_tls,50,10,2048,16,375302,788721,689.372,70796
native,test_prove_proxy_tls,50,10,2048,256,383494,788721,691.736,75404
native,test_prove_proxy_tls,50,10,2048,1024,416262,788721,720.984,90892
native,test_prove_proxy_tls,50,10,2048,2048,461350,788721,771.201,111628
native,test_prove_proxy_tls,50,15,1024,16,375302,788721,811.217,70536
native,test_prove_proxy_tls,50,15,1024,256,383494,788721,854.317,75660
native,test_prove_proxy_tls,50,15,1024,1024,416262,788721,853.835,91148
native,test_prove_proxy_tls,50,15,1024,2048,461350,788721,891.619,111500
native,test_prove_proxy_tls,50,15,2048,16,375302,788721,817.292,70668
native,test_prove_proxy_tls,50,15,2048,256,383494,788721,832.665,75528
native,test_prove_proxy_tls,50,15,2048,1024,416262,788721,857.672,91020
native,test_prove_proxy_tls,50,15,2048,2048,461350,788721,892.033,112008
native,test_prove_proxy_tls,50,20,1024,16,375302,788721,958.698,70412
native,test_prove_proxy_tls,50,20,1024,256,383494,788721,958.717,75400
native,test_prove_proxy_tls,50,20,1024,1024,416262,788721,1001.609,90764
native,test_prove_proxy_tls,50,20,1024,2048,461350,788721,1021.188,111500
native,test_prove_proxy_tls,50,20,2048,16,375302,788721,947.989,70536
native,test_prove_proxy_tls,50,20,2048,256,383494,788721,952.115,75532
native,test_prove_proxy_tls,50,20,2048,1024,416262,788721,983.71,90760
native,test_prove_proxy_tls,50,20,2048,2048,461350,788721,1021.968,111628
native,test_prove_proxy_tls,100,10,1024,16,375302,788721,589.164,70540
native,test_prove_proxy_tls,100,10,1024,256,383494,788721,594.539,75660
native,test_prove_proxy_tls,100,10,1024,1024,416262,788721,613.304,90888
native,test_prove_proxy_tls,100,10,1024,2048,461350,788721,649.457,111628
native,test_prove_proxy_tls,100,10,2048,16,375302,788721,579.949,70408
native,test_prove_proxy_tls,100,10,2048,256,383494,788721,596.914,75532
native,test_prove_proxy_tls,100,10,2048,1024,416262,788721,625.081,91020
native,test_prove_proxy_tls,100,10,2048,2048,461350,788721,645.878,111624
native,test_prove_proxy_tls,100,15,1024,16,375302,788721,732.769,70540
native,test_prove_proxy_tls,100,15,1024,256,383494,788721,733.254,75660
native,test_prove_proxy_tls,100,15,1024,1024,416262,788721,775.604,91148
native,test_prove_proxy_tls,100,15,1024,2048,461350,788721,797.817,111752
native,test_prove_proxy_tls,100,15,2048,16,375302,788721,708.157,70664
native,test_prove_proxy_tls,100,15,2048,256,383494,788721,731.818,75272
native,test_prove_proxy_tls,100,15,2048,1024,416262,788721,746.856,91148
native,test_prove_proxy_tls,100,15,2048,2048,461350,788721,802.821,111752
native,test_prove_proxy_tls,100,20,1024,16,375302,788721,860.173,70540
native,test_prove_proxy_tls,100,20,1024,256,383494,788721,899.388,75656
native,test_prove_proxy_tls,100,20,1024,1024,416262,788721,928.718,90892
native,test_prove_proxy_tls,100,20,1024,2048,461350,788721,953.729,111756
native,test_prove_proxy_tls,100,20,2048,16,375302,788721,868.39,70796
native,test_prove_proxy_tls,100,20,2048,256,383494,788721,886.622,75404
native,test_prove_proxy_tls,100,20,2048,1024,416262,788721,1022.148,90888
native,test_prove_proxy_tls,100,20,2048,2048,461350,788721,976.591,111628
