kind,name,bandwith(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
native,reclaim,50,10,1024,16,14649,14713,8144,393712
native,reclaim,50,10,1024,256,16312,16290,10592,491392
native,reclaim,50,10,1024,1024,21568,20838,18729,374424
native,reclaim,50,10,1024,2048,28437,26583,29889,424140
native,reclaim,50,10,2048,16,21823,22911,8094,394376
native,reclaim,50,10,2048,256,23482,24485,10671,467328
native,reclaim,50,10,2048,1024,28735,29026,18996,355404
native,reclaim,50,10,2048,2048,35604,34772,29696,409724
native,reclaim,50,15,1024,16,14649,14716,8121,393712
native,reclaim,50,15,1024,256,16309,16287,10626,344656
native,reclaim,50,15,1024,1024,21569,20835,19029,487084
native,reclaim,50,15,1024,2048,28436,26583,29951,391032
native,reclaim,50,15,2048,16,21826,22913,8174,391880
native,reclaim,50,15,2048,256,23482,24487,10675,359704
native,reclaim,50,15,2048,1024,28737,29028,18920,395224
native,reclaim,50,15,2048,2048,35607,34771,29438,382724
native,reclaim,50,20,1024,16,14651,14715,8132,393020
native,reclaim,50,20,1024,256,16310,16287,10648,506200
native,reclaim,50,20,1024,1024,21571,20839,19147,361616
native,reclaim,50,20,1024,2048,28439,26580,29613,475464
native,reclaim,50,20,2048,16,21823,22910,8231,393080
native,reclaim,50,20,2048,256,23483,24488,10819,347956
native,reclaim,50,20,2048,1024,28734,29026,19227,432596
native,reclaim,50,20,2048,2048,35602,34774,30036,463064
native,reclaim,100,10,1024,16,14648,14716,8005,379600
native,reclaim,100,10,1024,256,16310,16293,10551,359124
native,reclaim,100,10,1024,1024,21569,20837,18934,397544
native,reclaim,100,10,1024,2048,28434,26586,29956,445360
native,reclaim,100,10,2048,16,21824,22908,8076,390368
native,reclaim,100,10,2048,256,23481,24485,10662,328888
native,reclaim,100,10,2048,1024,28733,29026,19014,384432
native,reclaim,100,10,2048,2048,35604,34774,29802,396400
native,reclaim,100,15,1024,16,14646,14716,8078,383148
native,reclaim,100,15,1024,256,16309,16287,10642,473812
native,reclaim,100,15,1024,1024,21571,20838,19175,375728
native,reclaim,100,15,1024,2048,28440,26585,29653,392076
native,reclaim,100,15,2048,16,21822,22909,8168,379660
native,reclaim,100,15,2048,256,23482,24488,10703,483128
native,reclaim,100,15,2048,1024,28738,29025,19025,471476
native,reclaim,100,15,2048,2048,35603,34774,29695,498536
native,reclaim,100,20,1024,16,14649,14713,8170,373384
native,reclaim,100,20,1024,256,16310,16293,10753,462036
native,reclaim,100,20,1024,1024,21570,20835,18985,420428
native,reclaim,100,20,1024,2048,28437,26580,29769,432780
native,reclaim,100,20,2048,16,21822,22909,8232,390792
native,reclaim,100,20,2048,256,23479,24487,10646,483160
native,reclaim,100,20,2048,1024,28737,29025,19025,422416
native,reclaim,100,20,2048,2048,35605,34770,30002,365256
native,reclaim,200,10,1024,16,14646,14716,8056,396736
native,reclaim,200,10,1024,256,16309,16292,10555,473636
native,reclaim,200,10,1024,1024,21567,20837,18910,467812
native,reclaim,200,10,1024,2048,28439,26585,29722,431592
native,reclaim,200,10,2048,16,21820,22914,8156,398592
native,reclaim,200,10,2048,256,23481,24484,10674,479368
native,reclaim,200,10,2048,1024,28738,29029,19024,404580
native,reclaim,200,10,2048,2048,35601,34774,29950,416252
native,reclaim,200,15,1024,16,14652,14714,8115,387680
native,reclaim,200,15,1024,256,16314,16287,10642,501120
native,reclaim,200,15,1024,1024,21565,20840,19070,424532
native,reclaim,200,15,1024,2048,28435,26581,29809,435152
native,reclaim,200,15,2048,16,21826,22911,8139,378156
native,reclaim,200,15,2048,256,23483,24488,10647,527008
native,reclaim,200,15,2048,1024,28738,29028,19077,454572
native,reclaim,200,15,2048,2048,35601,34772,29780,408964
native,reclaim,200,20,1024,16,14648,14713,8067,380336
native,reclaim,200,20,1024,256,16310,16287,10803,476172
native,reclaim,200,20,1024,1024,21568,20840,18978,399804
native,reclaim,200,20,1024,2048,28439,26581,29527,464880
native,reclaim,200,20,2048,16,21821,22908,8224,390916
native,reclaim,200,20,2048,256,23482,24482,10762,335280
native,reclaim,200,20,2048,1024,28738,29024,18957,367076
native,reclaim,200,20,2048,2048,35601,34773,29955,443304
