kind,name,bandwith(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
native,reclaim,50,10,1024,16,20793,14419,280,140488
native,reclaim,50,10,1024,256,20628,14398,285,139696
native,reclaim,50,10,1024,1024,20631,14403,287,140864
native,reclaim,50,10,1024,2048,20631,14402,287,138840
native,reclaim,50,10,2048,16,33677,22590,291,136484
native,reclaim,50,10,2048,256,33680,22541,295,138584
native,reclaim,50,10,2048,1024,33683,22544,293,135704
native,reclaim,50,10,2048,2048,33944,22595,292,137340
native,reclaim,50,15,1024,16,20677,14397,322,137784
native,reclaim,50,15,1024,256,20678,14397,323,139932
native,reclaim,50,15,1024,1024,20682,14404,324,136076
native,reclaim,50,15,1024,2048,20682,14402,323,135936
native,reclaim,50,15,2048,16,33990,22591,332,137944
native,reclaim,50,15,2048,256,33986,22583,330,139780
native,reclaim,50,15,2048,1024,33996,22597,333,135588
native,reclaim,50,15,2048,2048,33995,22599,329,141696
native,reclaim,50,20,1024,16,20729,14396,363,140216
native,reclaim,50,20,1024,256,20679,14399,361,137068
native,reclaim,50,20,1024,1024,20682,14402,364,134124
native,reclaim,50,20,1024,2048,20683,14403,362,136832
native,reclaim,50,20,2048,16,34042,22593,372,142376
native,reclaim,50,20,2048,256,33992,22594,371,138768
native,reclaim,50,20,2048,1024,33996,22599,372,135440
native,reclaim,50,20,2048,2048,33996,22596,370,138724
native,reclaim,100,10,1024,16,20364,14242,283,135424
native,reclaim,100,10,1024,256,20368,14402,281,135572
native,reclaim,100,10,1024,1024,20630,14194,283,139844
native,reclaim,100,10,1024,2048,20371,14249,281,139744
native,reclaim,100,10,2048,16,33677,22591,291,140064
native,reclaim,100,10,2048,256,33941,22594,287,139908
native,reclaim,100,10,2048,1024,33943,22443,289,137008
native,reclaim,100,10,2048,2048,33682,22545,290,137748
native,reclaim,100,15,1024,16,20671,14387,320,137256
native,reclaim,100,15,1024,256,20608,14348,320,141128
native,reclaim,100,15,1024,1024,20683,14402,323,139572
native,reclaim,100,15,1024,2048,20682,14402,322,139120
native,reclaim,100,15,2048,16,34042,22592,329,138100
native,reclaim,100,15,2048,256,33940,22593,329,138568
native,reclaim,100,15,2048,1024,33994,22596,331,138876
native,reclaim,100,15,2048,2048,33944,22596,328,139856
native,reclaim,100,20,1024,16,20676,14395,364,138652
native,reclaim,100,20,1024,256,20627,14401,364,139976
native,reclaim,100,20,1024,1024,20683,14407,362,139996
native,reclaim,100,20,1024,2048,20683,14403,360,136624
native,reclaim,100,20,2048,16,33990,22591,370,139084
native,reclaim,100,20,2048,256,33992,22595,371,137284
native,reclaim,100,20,2048,1024,33943,22599,371,138116
native,reclaim,100,20,2048,2048,33944,22598,372,135776
native,reclaim,200,10,1024,16,20677,14397,281,138516
native,reclaim,200,10,1024,256,20627,14348,282,137704
native,reclaim,200,10,1024,1024,20552,14236,280,138704
native,reclaim,200,10,1024,2048,20631,14195,279,136164
native,reclaim,200,10,2048,16,33937,22381,285,138448
native,reclaim,200,10,2048,256,33941,22387,291,138272
native,reclaim,200,10,2048,1024,33944,22597,290,138860
native,reclaim,200,10,2048,2048,33938,22589,288,139664
native,reclaim,200,15,1024,16,20675,14397,323,140412
native,reclaim,200,15,1024,256,20673,14391,320,139068
native,reclaim,200,15,1024,1024,20675,14392,321,140992
native,reclaim,200,15,1024,2048,20683,14403,320,138212
native,reclaim,200,15,2048,16,33988,22591,329,138196
native,reclaim,200,15,2048,256,33993,22593,327,137496
native,reclaim,200,15,2048,1024,33996,22594,330,138080
native,reclaim,200,15,2048,2048,33995,22597,328,137444
native,reclaim,200,20,1024,16,20677,14396,360,138724
native,reclaim,200,20,1024,256,20680,14400,360,139576
native,reclaim,200,20,1024,1024,20683,14405,360,136852
native,reclaim,200,20,1024,2048,20683,14403,362,135104
native,reclaim,200,20,2048,16,33990,22591,370,138312
native,reclaim,200,20,2048,256,33993,22594,369,135836
native,reclaim,200,20,2048,1024,33995,22601,369,139548
native,reclaim,200,20,2048,2048,33996,22596,368,136644
