kind,name,bandwith(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
native,TLS1_2-gnark,50,10,0,16,6251,6741,8862,289552
native,TLS1_2-gnark,50,10,0,256,7766,8494,11119,286984
native,TLS1_2-gnark,50,10,0,1024,12355,13797,18653,337440
native,TLS1_2-gnark,50,10,0,2048,18476,20889,28652,377428
native,TLS1_2-gnark,50,15,0,16,6251,6638,8760,416348
native,TLS1_2-gnark,50,15,0,256,7766,8391,10971,361360
native,TLS1_2-gnark,50,15,0,1024,12354,13798,18610,357020
native,TLS1_2-gnark,50,15,0,2048,18530,20941,28698,340748
native,TLS1_2-gnark,50,20,0,16,6251,6639,8696,408052
native,TLS1_2-gnark,50,20,0,256,7767,8389,11068,314944
native,TLS1_2-gnark,50,20,0,1024,12356,13746,18620,315048
native,TLS1_2-gnark,50,20,0,2048,18530,20939,28837,433076
native,TLS1_2-gnark,100,10,0,16,6251,6639,8732,444736
native,TLS1_2-gnark,100,10,0,256,7767,8441,11137,309484
native,TLS1_2-gnark,100,10,0,1024,12348,13793,18743,307892
native,TLS1_2-gnark,100,10,0,2048,18530,20942,28835,365204
native,TLS1_2-gnark,100,15,0,16,6251,6640,8711,307968
native,TLS1_2-gnark,100,15,0,256,7767,8443,11226,306060
native,TLS1_2-gnark,100,15,0,1024,12354,13798,18661,416992
native,TLS1_2-gnark,100,15,0,2048,18529,20942,28722,381036
native,TLS1_2-gnark,100,20,0,16,6251,6639,8744,441272
native,TLS1_2-gnark,100,20,0,256,7767,8442,11092,334372
native,TLS1_2-gnark,100,20,0,1024,12302,13798,18746,360368
native,TLS1_2-gnark,100,20,0,2048,18529,20888,28663,380560
native,TLS1_2-gnark,200,10,0,16,6244,6634,8787,439696
native,TLS1_2-gnark,200,10,0,256,7768,8442,11060,284820
native,TLS1_2-gnark,200,10,0,1024,12358,13798,18713,345144
native,TLS1_2-gnark,200,10,0,2048,18419,20835,28616,394660
native,TLS1_2-gnark,200,15,0,16,6250,6639,8772,446492
native,TLS1_2-gnark,200,15,0,256,7765,8442,11110,322596
native,TLS1_2-gnark,200,15,0,1024,12354,13799,18544,385400
native,TLS1_2-gnark,200,15,0,2048,18469,20885,28667,408452
native,TLS1_2-gnark,200,20,0,16,6251,6640,8773,450456
native,TLS1_2-gnark,200,20,0,256,7664,8442,11076,331772
native,TLS1_2-gnark,200,20,0,1024,12302,13799,18568,389960
native,TLS1_2-gnark,200,20,0,2048,18479,20888,28719,401492
