kind,name,bandwith(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
wasm,reclaim,50,10,1024,16,0,0,10143,278180
wasm,reclaim,50,10,1024,256,0,0,18462,159154
wasm,reclaim,50,10,1024,1024,0,0,46218,170692
wasm,reclaim,50,10,1024,2048,0,0,82831,24164
wasm,reclaim,50,10,2048,16,0,0,10308,287658
wasm,reclaim,50,10,2048,256,0,0,18448,26548
wasm,reclaim,50,10,2048,1024,0,0,46108,173498
wasm,reclaim,50,10,2048,2048,0,0,82990,160511
wasm,reclaim,50,15,1024,16,0,0,10178,266171
wasm,reclaim,50,15,1024,256,0,0,18396,170397
wasm,reclaim,50,15,1024,1024,0,0,46305,161318
wasm,reclaim,50,15,1024,2048,0,0,83258,25172
wasm,reclaim,50,15,2048,16,0,0,10270,297043
wasm,reclaim,50,15,2048,256,0,0,18206,159752
wasm,reclaim,50,15,2048,1024,0,0,46299,161147
wasm,reclaim,50,15,2048,2048,0,0,83305,23976
wasm,reclaim,50,20,1024,16,0,0,10152,296190
wasm,reclaim,50,20,1024,256,0,0,18506,159155
wasm,reclaim,50,20,1024,1024,0,0,46040,26577
wasm,reclaim,50,20,1024,2048,0,0,83208,25354
wasm,reclaim,50,20,2048,16,0,0,10384,284493
wasm,reclaim,50,20,2048,256,0,0,18460,26292
wasm,reclaim,50,20,2048,1024,0,0,46243,174505
wasm,reclaim,50,20,2048,2048,0,0,83211,168683
wasm,reclaim,100,10,1024,16,0,0,10205,287317
wasm,reclaim,100,10,1024,256,0,0,18500,159931
wasm,reclaim,100,10,1024,1024,0,0,45843,173909
wasm,reclaim,100,10,1024,2048,0,0,83193,168854
wasm,reclaim,100,10,2048,16,0,0,10238,278521
wasm,reclaim,100,10,2048,256,0,0,18525,159241
wasm,reclaim,100,10,2048,1024,0,0,45983,170342
wasm,reclaim,100,10,2048,2048,0,0,83116,23977
wasm,reclaim,100,15,1024,16,0,0,10264,278692
wasm,reclaim,100,15,1024,256,0,0,18477,159923
wasm,reclaim,100,15,1024,1024,0,0,45926,25553
wasm,reclaim,100,15,1024,2048,0,0,83248,24147
wasm,reclaim,100,15,2048,16,0,0,10203,278777
wasm,reclaim,100,15,2048,256,0,0,18557,169970
wasm,reclaim,100,15,2048,1024,0,0,45908,161403
wasm,reclaim,100,15,2048,2048,0,0,83247,169962
wasm,reclaim,100,20,1024,16,0,0,10271,266684
wasm,reclaim,100,20,1024,256,0,0,18478,159155
wasm,reclaim,100,20,1024,1024,0,0,46127,26065
wasm,reclaim,100,20,1024,2048,0,0,83136,160097
wasm,reclaim,100,20,2048,16,0,0,10303,296283
wasm,reclaim,100,20,2048,256,0,0,18608,159496
wasm,reclaim,100,20,2048,1024,0,0,45851,161915
wasm,reclaim,100,20,2048,2048,0,0,83756,23976
wasm,reclaim,200,10,1024,16,0,0,10165,266683
wasm,reclaim,200,10,1024,256,0,0,18440,170141
wasm,reclaim,200,10,1024,1024,0,0,46197,162342
wasm,reclaim,200,10,1024,2048,0,0,83673,24148
wasm,reclaim,200,10,2048,16,0,0,10236,287402
wasm,reclaim,200,10,2048,256,0,0,18439,158984
wasm,reclaim,200,10,2048,1024,0,0,45893,159478
wasm,reclaim,200,10,2048,2048,0,0,83349,171667
wasm,reclaim,200,15,1024,16,0,0,10120,266426
wasm,reclaim,200,15,1024,256,0,0,18399,387961
wasm,reclaim,200,15,1024,1024,0,0,46000,28356
wasm,reclaim,200,15,1024,2048,0,0,82884,26707
wasm,reclaim,200,15,2048,16,0,0,10292,266767
wasm,reclaim,200,15,2048,256,0,0,18367,161545
wasm,reclaim,200,15,2048,1024,0,0,46402,25894
wasm,reclaim,200,15,2048,2048,0,0,82890,169707
wasm,reclaim,200,20,1024,16,0,0,10228,278692
wasm,reclaim,200,20,1024,256,0,0,18542,159155
wasm,reclaim,200,20,1024,1024,0,0,46210,171297
wasm,reclaim,200,20,1024,2048,0,0,82941,24915
wasm,reclaim,200,20,2048,16,0,0,10373,284749
wasm,reclaim,200,20,2048,256,0,0,18561,159240
wasm,reclaim,200,20,2048,1024,0,0,45959,28427
wasm,reclaim,200,20,2048,2048,0,0,83453,25769
