kind,name,bandwith(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
wasm,reclaim,50,10,1024,16,20584,14433,332,37663
wasm,reclaim,50,10,1024,256,20587,14436,323,37663
wasm,reclaim,50,10,1024,1024,20331,14439,323,37667
wasm,reclaim,50,10,1024,2048,20435,14441,329,37667
wasm,reclaim,50,10,2048,16,33898,22576,346,38294
wasm,reclaim,50,10,2048,256,33744,22790,346,39810
wasm,reclaim,50,10,2048,1024,33643,22790,346,38042
wasm,reclaim,50,10,2048,2048,33644,22633,346,38042
wasm,reclaim,50,15,1024,16,20637,14591,400,37667
wasm,reclaim,50,15,1024,256,20640,14593,363,37919
wasm,reclaim,50,15,1024,1024,20643,14597,363,39179
wasm,reclaim,50,15,1024,2048,20643,14599,361,37667
wasm,reclaim,50,15,2048,16,33949,22786,396,38042
wasm,reclaim,50,15,2048,256,33952,22788,395,38042
wasm,reclaim,50,15,2048,1024,33956,22791,399,38294
wasm,reclaim,50,15,2048,2048,33956,22790,398,39298
wasm,reclaim,50,20,1024,16,20689,14591,404,37919
wasm,reclaim,50,20,1024,256,20639,14596,403,37667
wasm,reclaim,50,20,1024,1024,20643,14595,404,39179
wasm,reclaim,50,20,1024,2048,20642,14598,404,37667
wasm,reclaim,50,20,2048,16,33950,22784,461,38042
wasm,reclaim,50,20,2048,256,33953,22786,446,38294
wasm,reclaim,50,20,2048,1024,33955,22791,458,38294
wasm,reclaim,50,20,2048,2048,33956,22791,446,39554
wasm,reclaim,100,10,1024,16,20325,14591,321,37667
wasm,reclaim,100,10,1024,256,20327,14438,336,37667
wasm,reclaim,100,10,1024,1024,20330,14440,325,37667
wasm,reclaim,100,10,1024,2048,20591,14441,330,37923
wasm,reclaim,100,10,2048,16,33897,22735,345,39298
wasm,reclaim,100,10,2048,256,33641,22791,350,38042
wasm,reclaim,100,10,2048,1024,33643,22585,359,37786
wasm,reclaim,100,10,2048,2048,33904,22792,347,38038
wasm,reclaim,100,15,1024,16,20637,14591,372,37663
wasm,reclaim,100,15,1024,256,20639,14595,366,37667
wasm,reclaim,100,15,1024,1024,20590,14599,359,38923
wasm,reclaim,100,15,1024,2048,20695,14596,363,37667
wasm,reclaim,100,15,2048,16,33930,22732,394,39298
wasm,reclaim,100,15,2048,256,33947,22778,402,38038
wasm,reclaim,100,15,2048,1024,34008,22791,402,38042
wasm,reclaim,100,15,2048,2048,34007,22791,397,39554
wasm,reclaim,100,20,1024,16,20636,14594,410,37667
wasm,reclaim,100,20,1024,256,20639,14593,415,39179
wasm,reclaim,100,20,1024,1024,20641,14595,403,37919
wasm,reclaim,100,20,1024,2048,20641,14596,402,37667
wasm,reclaim,100,20,2048,16,34002,22783,459,39554
wasm,reclaim,100,20,2048,256,33999,22777,445,38042
wasm,reclaim,100,20,2048,1024,33954,22793,447,38042
wasm,reclaim,100,20,2048,2048,33956,22793,453,39554
wasm,reclaim,200,10,1024,16,20585,14385,333,39179
wasm,reclaim,200,10,1024,256,20582,14428,324,39179
wasm,reclaim,200,10,1024,1024,20330,14595,321,37667
wasm,reclaim,200,10,1024,2048,20591,14597,320,37667
wasm,reclaim,200,10,2048,16,33898,22629,353,38042
wasm,reclaim,200,10,2048,256,33640,22788,343,38042
wasm,reclaim,200,10,2048,1024,33903,22583,349,39554
wasm,reclaim,200,10,2048,2048,33904,22583,344,38042
wasm,reclaim,200,15,1024,16,20636,14591,370,37667
wasm,reclaim,200,15,1024,256,20640,14594,360,37667
wasm,reclaim,200,15,1024,1024,20591,14598,360,39179
wasm,reclaim,200,15,1024,2048,20643,14596,362,39431
wasm,reclaim,200,15,2048,16,33949,22784,402,39554
wasm,reclaim,200,15,2048,256,33999,22778,395,38042
wasm,reclaim,200,15,2048,1024,33956,22791,394,38042
wasm,reclaim,200,15,2048,2048,33956,22791,396,38038
wasm,reclaim,200,20,1024,16,20637,14594,400,37667
wasm,reclaim,200,20,1024,256,20691,14594,400,39179
wasm,reclaim,200,20,1024,1024,20643,14597,401,39179
wasm,reclaim,200,20,1024,2048,20641,14597,414,38923
wasm,reclaim,200,20,2048,16,34001,22784,446,38042
wasm,reclaim,200,20,2048,256,33952,22788,446,38042
wasm,reclaim,200,20,2048,1024,33954,22789,443,39554
wasm,reclaim,200,20,2048,2048,33956,22790,446,38042
