kind,name,bandwith(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
wasm,TLS1_2-snarkjs,50,10,1024,16,29276,29661,36667,30747
wasm,TLS1_2-snarkjs,50,10,1024,256,32549,32542,42174,53196
wasm,TLS1_2-snarkjs,50,10,1024,1024,43607,42531,60186,29288
wasm,TLS1_2-snarkjs,50,10,1024,2048,58026,55538,83475,29745
wasm,TLS1_2-snarkjs,50,10,2048,16,47927,48888,57540,30817
wasm,TLS1_2-snarkjs,50,10,2048,256,51428,51892,63203,110472
wasm,TLS1_2-snarkjs,50,10,2048,1024,62371,62045,80704,31681
wasm,TLS1_2-snarkjs,50,10,2048,2048,77031,75344,104409,28572
wasm,TLS1_2-snarkjs,50,15,1024,16,29268,29658,36583,116874
wasm,TLS1_2-snarkjs,50,15,1024,256,32618,32599,41574,110515
wasm,TLS1_2-snarkjs,50,15,1024,1024,43624,42701,59382,116501
wasm,TLS1_2-snarkjs,50,15,1024,2048,58031,55539,82289,29585
wasm,TLS1_2-snarkjs,50,15,2048,16,47925,48883,58020,29090
wasm,TLS1_2-snarkjs,50,15,2048,256,51431,51894,63001,109960
wasm,TLS1_2-snarkjs,50,15,2048,1024,62373,62043,81040,115451
wasm,TLS1_2-snarkjs,50,15,2048,2048,77034,75340,104264,29034
wasm,TLS1_2-snarkjs,50,20,1024,16,29273,29654,36455,124126
wasm,TLS1_2-snarkjs,50,20,1024,256,32548,32542,41574,110419
wasm,TLS1_2-snarkjs,50,20,1024,1024,43620,42704,59528,126322
wasm,TLS1_2-snarkjs,50,20,1024,2048,58024,55537,83138,36417
wasm,TLS1_2-snarkjs,50,20,2048,16,47927,48887,57759,116279
wasm,TLS1_2-snarkjs,50,20,2048,256,51425,51887,63514,31197
wasm,TLS1_2-snarkjs,50,20,2048,1024,62367,62042,80847,30378
wasm,TLS1_2-snarkjs,50,20,2048,2048,77031,75346,103942,28357
wasm,TLS1_2-snarkjs,100,10,1024,16,29273,29654,36421,178172
wasm,TLS1_2-snarkjs,100,10,1024,256,32554,32554,41681,30648
wasm,TLS1_2-snarkjs,100,10,1024,1024,43610,42535,59374,29448
wasm,TLS1_2-snarkjs,100,10,1024,2048,58033,55549,82515,26097
wasm,TLS1_2-snarkjs,100,10,2048,16,47923,48888,57944,31552
wasm,TLS1_2-snarkjs,100,10,2048,256,51428,51892,62867,112942
wasm,TLS1_2-snarkjs,100,10,2048,1024,62374,62043,80735,112843
wasm,TLS1_2-snarkjs,100,10,2048,2048,76965,75178,103926,28773
wasm,TLS1_2-snarkjs,100,15,1024,16,29272,29655,36329,105893
wasm,TLS1_2-snarkjs,100,15,1024,256,32616,32598,41711,110515
wasm,TLS1_2-snarkjs,100,15,1024,1024,43610,42536,59762,30743
wasm,TLS1_2-snarkjs,100,15,1024,2048,58027,55543,82586,325049
wasm,TLS1_2-snarkjs,100,15,2048,16,47923,48890,57447,110437
wasm,TLS1_2-snarkjs,100,15,2048,256,51431,51899,63013,170234
wasm,TLS1_2-snarkjs,100,15,2048,1024,62384,62212,81238,29994
wasm,TLS1_2-snarkjs,100,15,2048,2048,76963,75176,103923,235008
wasm,TLS1_2-snarkjs,100,20,1024,16,29274,29653,36133,118716
wasm,TLS1_2-snarkjs,100,20,1024,256,32549,32544,41526,31714
wasm,TLS1_2-snarkjs,100,20,1024,1024,43605,42533,59547,29192
wasm,TLS1_2-snarkjs,100,20,1024,2048,58026,55541,82865,29425
wasm,TLS1_2-snarkjs,100,20,2048,16,47924,48890,57684,30785
wasm,TLS1_2-snarkjs,100,20,2048,256,51425,51891,62714,31453
wasm,TLS1_2-snarkjs,100,20,2048,1024,62387,62214,81103,30122
wasm,TLS1_2-snarkjs,100,20,2048,2048,76967,75177,104503,23909
wasm,TLS1_2-snarkjs,200,10,1024,16,29269,29654,36296,110480
wasm,TLS1_2-snarkjs,200,10,1024,256,32551,32537,41677,30648
wasm,TLS1_2-snarkjs,200,10,1024,1024,43608,42532,59738,112604
wasm,TLS1_2-snarkjs,200,10,1024,2048,58030,55538,82430,28395
wasm,TLS1_2-snarkjs,200,10,2048,16,47926,48786,57706,31553
wasm,TLS1_2-snarkjs,200,10,2048,256,51376,51893,63049,28868
wasm,TLS1_2-snarkjs,200,10,2048,1024,62369,62046,81041,32127
wasm,TLS1_2-snarkjs,200,10,2048,2048,77033,75343,103603,242510
wasm,TLS1_2-snarkjs,200,15,1024,16,29274,29659,36512,178226
wasm,TLS1_2-snarkjs,200,15,1024,256,32548,32434,41502,30392
wasm,TLS1_2-snarkjs,200,15,1024,1024,43606,42536,59909,112604
wasm,TLS1_2-snarkjs,200,15,1024,2048,58026,55540,82153,30513
wasm,TLS1_2-snarkjs,200,15,2048,16,47923,48885,57494,31297
wasm,TLS1_2-snarkjs,200,15,2048,256,51427,51791,63187,31326
wasm,TLS1_2-snarkjs,200,15,2048,1024,62372,62049,81456,31293
wasm,TLS1_2-snarkjs,200,15,2048,2048,77031,75345,103917,212789
wasm,TLS1_2-snarkjs,200,20,1024,16,29208,29528,36465,116446
wasm,TLS1_2-snarkjs,200,20,1024,256,32548,32541,41598,37132
wasm,TLS1_2-snarkjs,200,20,1024,1024,43629,42658,59109,110375
wasm,TLS1_2-snarkjs,200,20,1024,2048,57963,55370,82709,30353
wasm,TLS1_2-snarkjs,200,20,2048,16,47930,48897,57683,116534
wasm,TLS1_2-snarkjs,200,20,2048,256,51432,51904,63226,31069
wasm,TLS1_2-snarkjs,200,20,2048,1024,62383,62215,81080,31402
wasm,TLS1_2-snarkjs,200,20,2048,2048,77028,75345,103747,28811
