kind,name,bandwith(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
native,reclaim,50,10,1024,16,0,0,8514,310944
native,reclaim,50,10,1024,256,0,0,9418,310964
native,reclaim,50,10,1024,1024,0,0,12870,317824
native,reclaim,50,10,1024,2048,0,0,17147,319092
native,reclaim,50,10,2048,16,0,0,12501,313792
native,reclaim,50,10,2048,256,0,0,13542,308672
native,reclaim,50,10,2048,1024,0,0,16968,295320
native,reclaim,50,10,2048,2048,0,0,21192,322180
native,reclaim,50,15,1024,16,0,0,8524,292836
native,reclaim,50,15,1024,256,0,0,9503,291920
native,reclaim,50,15,1024,1024,0,0,12952,314588
native,reclaim,50,15,1024,2048,0,0,17338,313256
native,reclaim,50,15,2048,16,0,0,12620,319492
native,reclaim,50,15,2048,256,0,0,13522,320556
native,reclaim,50,15,2048,1024,0,0,16890,309364
native,reclaim,50,15,2048,2048,0,0,21414,324092
native,reclaim,50,20,1024,16,0,0,8562,305916
native,reclaim,50,20,1024,256,0,0,9537,353112
native,reclaim,50,20,1024,1024,0,0,12980,313060
native,reclaim,50,20,1024,2048,0,0,17280,315532
native,reclaim,50,20,2048,16,0,0,12587,319020
native,reclaim,50,20,2048,256,0,0,13614,316676
native,reclaim,50,20,2048,1024,0,0,17035,290148
native,reclaim,50,20,2048,2048,0,0,21427,321016
native,reclaim,100,10,1024,16,0,0,8408,309204
native,reclaim,100,10,1024,256,0,0,9432,284684
native,reclaim,100,10,1024,1024,0,0,12955,329632
native,reclaim,100,10,1024,2048,0,0,17187,318036
native,reclaim,100,10,2048,16,0,0,12364,317028
native,reclaim,100,10,2048,256,0,0,13543,315224
native,reclaim,100,10,2048,1024,0,0,16967,315340
native,reclaim,100,10,2048,2048,0,0,21261,334036
native,reclaim,100,15,1024,16,0,0,8464,298168
native,reclaim,100,15,1024,256,0,0,9506,289900
native,reclaim,100,15,1024,1024,0,0,12937,313524
native,reclaim,100,15,1024,2048,0,0,17267,318816
native,reclaim,100,15,2048,16,0,0,12601,295540
native,reclaim,100,15,2048,256,0,0,13528,321260
native,reclaim,100,15,2048,1024,0,0,16906,321880
native,reclaim,100,15,2048,2048,0,0,21418,313084
native,reclaim,100,20,1024,16,0,0,8450,311484
native,reclaim,100,20,1024,256,0,0,9603,326676
native,reclaim,100,20,1024,1024,0,0,12921,314304
native,reclaim,100,20,1024,2048,0,0,17243,306548
native,reclaim,100,20,2048,16,0,0,12625,315460
native,reclaim,100,20,2048,256,0,0,13765,314800
native,reclaim,100,20,2048,1024,0,0,16907,315768
native,reclaim,100,20,2048,2048,0,0,21445,311856
native,reclaim,200,10,1024,16,0,0,8379,304164
native,reclaim,200,10,1024,256,0,0,9509,315448
native,reclaim,200,10,1024,1024,0,0,12844,315356
native,reclaim,200,10,1024,2048,0,0,17254,304856
native,reclaim,200,10,2048,16,0,0,12470,355664
native,reclaim,200,10,2048,256,0,0,13503,313208
native,reclaim,200,10,2048,1024,0,0,16951,298328
native,reclaim,200,10,2048,2048,0,0,21260,306196
native,reclaim,200,15,1024,16,0,0,8451,309104
native,reclaim,200,15,1024,256,0,0,9515,340612
native,reclaim,200,15,1024,1024,0,0,12984,331880
native,reclaim,200,15,1024,2048,0,0,17332,313056
native,reclaim,200,15,2048,16,0,0,12502,289408
native,reclaim,200,15,2048,256,0,0,13665,309300
native,reclaim,200,15,2048,1024,0,0,16967,319828
native,reclaim,200,15,2048,2048,0,0,21330,320496
native,reclaim,200,20,1024,16,0,0,8544,285820
native,reclaim,200,20,1024,256,0,0,9577,321824
native,reclaim,200,20,1024,1024,0,0,13032,304564
native,reclaim,200,20,1024,2048,0,0,17356,320804
native,reclaim,200,20,2048,16,0,0,12683,322212
native,reclaim,200,20,2048,256,0,0,13691,290692
native,reclaim,200,20,2048,1024,0,0,17067,296932
native,reclaim,200,20,2048,2048,0,0,21567,284144
