kind,name,bandwith(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
native,reclaim,50,10,1024,16,20793,14419,251,135268
native,reclaim,50,10,1024,256,20628,14398,246,136104
native,reclaim,50,10,1024,1024,20631,14403,245,136548
native,reclaim,50,10,1024,2048,20631,14402,254,135896
native,reclaim,50,10,2048,16,33677,22590,256,139056
native,reclaim,50,10,2048,256,33680,22541,251,136704
native,reclaim,50,10,2048,1024,33683,22544,253,136356
native,reclaim,50,10,2048,2048,33944,22595,253,138208
native,reclaim,50,15,1024,16,20677,14397,282,136620
native,reclaim,50,15,1024,256,20678,14397,284,136304
native,reclaim,50,15,1024,1024,20682,14404,282,136232
native,reclaim,50,15,1024,2048,20682,14402,324,135600
native,reclaim,50,15,2048,16,33990,22591,291,136932
native,reclaim,50,15,2048,256,33986,22583,292,136688
native,reclaim,50,15,2048,1024,33996,22597,302,137708
native,reclaim,50,15,2048,2048,33995,22599,295,139516
native,reclaim,50,20,1024,16,20729,14396,336,136132
native,reclaim,50,20,1024,256,20679,14399,322,135700
native,reclaim,50,20,1024,1024,20682,14402,323,136236
native,reclaim,50,20,1024,2048,20683,14403,323,137216
native,reclaim,50,20,2048,16,34042,22593,334,135732
native,reclaim,50,20,2048,256,33992,22594,333,136036
native,reclaim,50,20,2048,1024,33996,22599,348,135532
native,reclaim,50,20,2048,2048,33996,22596,332,136764
native,reclaim,100,10,1024,16,20364,14242,240,137636
native,reclaim,100,10,1024,256,20368,14402,240,137536
native,reclaim,100,10,1024,1024,20630,14194,241,140344
native,reclaim,100,10,1024,2048,20371,14249,242,137452
native,reclaim,100,10,2048,16,33677,22591,260,137016
native,reclaim,100,10,2048,256,33941,22594,251,136340
native,reclaim,100,10,2048,1024,33943,22443,251,137340
native,reclaim,100,10,2048,2048,33682,22545,251,136236
native,reclaim,100,15,1024,16,20671,14387,283,136020
native,reclaim,100,15,1024,256,20608,14348,282,137132
native,reclaim,100,15,1024,1024,20683,14402,281,136036
native,reclaim,100,15,1024,2048,20682,14402,292,136360
native,reclaim,100,15,2048,16,34042,22592,294,136004
native,reclaim,100,15,2048,256,33940,22593,289,138512
native,reclaim,100,15,2048,1024,33994,22596,292,136228
native,reclaim,100,15,2048,2048,33944,22596,290,136976
native,reclaim,100,20,1024,16,20676,14395,322,135352
native,reclaim,100,20,1024,256,20627,14401,321,136416
native,reclaim,100,20,1024,1024,20683,14407,323,136372
native,reclaim,100,20,1024,2048,20683,14403,322,136768
native,reclaim,100,20,2048,16,33990,22591,330,137168
native,reclaim,100,20,2048,256,33992,22595,338,137272
native,reclaim,100,20,2048,1024,33943,22599,331,135632
native,reclaim,100,20,2048,2048,33944,22598,330,135860
native,reclaim,200,10,1024,16,20677,14397,243,135200
native,reclaim,200,10,1024,256,20627,14348,241,137212
native,reclaim,200,10,1024,1024,20552,14236,243,135880
native,reclaim,200,10,1024,2048,20631,14195,264,136812
native,reclaim,200,10,2048,16,33937,22381,252,135984
native,reclaim,200,10,2048,256,33941,22387,269,136124
native,reclaim,200,10,2048,1024,33944,22597,274,136360
native,reclaim,200,10,2048,2048,33938,22589,249,136700
native,reclaim,200,15,1024,16,20675,14397,289,135840
native,reclaim,200,15,1024,256,20673,14391,282,136120
native,reclaim,200,15,1024,1024,20675,14392,281,136080
native,reclaim,200,15,1024,2048,20683,14403,283,136800
native,reclaim,200,15,2048,16,33988,22591,291,137088
native,reclaim,200,15,2048,256,33993,22593,287,136008
native,reclaim,200,15,2048,1024,33996,22594,292,135528
native,reclaim,200,15,2048,2048,33995,22597,289,136596
native,reclaim,200,20,1024,16,20677,14396,324,135212
native,reclaim,200,20,1024,256,20680,14400,324,136728
native,reclaim,200,20,1024,1024,20683,14405,322,136496
native,reclaim,200,20,1024,2048,20683,14403,323,135592
native,reclaim,200,20,2048,16,33990,22591,329,136712
native,reclaim,200,20,2048,256,33993,22594,329,136444
native,reclaim,200,20,2048,1024,33995,22601,331,135928
native,reclaim,200,20,2048,2048,33996,22596,330,136260
