kind,name,bandwidth(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
native,TLS1_2-gnark,50,10,0,16,6359,6827,4057,432460
native,TLS1_2-gnark,50,10,0,256,7706,8511,5038,490132
native,TLS1_2-gnark,50,10,0,1024,12293,13867,8500,330244
native,TLS1_2-gnark,50,10,0,2048,18367,20959,13056,320384
native,TLS1_2-gnark,50,15,0,16,6300,6816,4070,431424
native,TLS1_2-gnark,50,15,0,256,7705,8512,5117,480704
native,TLS1_2-gnark,50,15,0,1024,12241,13796,8500,278752
native,TLS1_2-gnark,50,15,0,2048,18364,20887,12983,317272
native,TLS1_2-gnark,50,20,0,16,6303,6815,4057,423828
native,TLS1_2-gnark,50,20,0,256,7706,8512,5144,477352
native,TLS1_2-gnark,50,20,0,1024,12190,13796,8542,309440
native,TLS1_2-gnark,50,20,0,2048,18366,20960,13048,305708
native,TLS1_2-gnark,100,10,0,16,6302,6816,4044,431336
native,TLS1_2-gnark,100,10,0,256,7705,8511,5105,483160
native,TLS1_2-gnark,100,10,0,1024,12233,13815,8508,330472
native,TLS1_2-gnark,100,10,0,2048,18365,20887,13100,294476
native,TLS1_2-gnark,100,15,0,16,6300,6813,4073,411460
native,TLS1_2-gnark,100,15,0,256,7706,8513,5093,495436
native,TLS1_2-gnark,100,15,0,1024,12242,13832,8471,318216
native,TLS1_2-gnark,100,15,0,2048,18363,20887,13005,314972
native,TLS1_2-gnark,100,20,0,16,6301,6816,4100,433568
native,TLS1_2-gnark,100,20,0,256,7707,8513,5125,481540
native,TLS1_2-gnark,100,20,0,1024,12295,13867,8566,299620
native,TLS1_2-gnark,100,20,0,2048,18416,20939,13021,307196
native,TLS1_2-gnark,200,10,0,16,6301,6815,4019,430788
native,TLS1_2-gnark,200,10,0,256,7706,8513,5091,489944
native,TLS1_2-gnark,200,10,0,1024,12086,13807,8531,299744
native,TLS1_2-gnark,200,10,0,2048,18367,20888,12920,317848
native,TLS1_2-gnark,200,15,0,16,6301,6816,4082,424188
native,TLS1_2-gnark,200,15,0,256,7706,8512,5106,460228
native,TLS1_2-gnark,200,15,0,1024,12193,13796,8562,313052
native,TLS1_2-gnark,200,15,0,2048,18364,20887,13086,311860
native,TLS1_2-gnark,200,20,0,16,6301,6815,4097,431992
native,TLS1_2-gnark,200,20,0,256,7706,8512,5118,501504
native,TLS1_2-gnark,200,20,0,1024,12244,13797,8557,305312
native,TLS1_2-gnark,200,20,0,2048,18365,20887,13114,284668
