kind,name,bandwith(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
native,TLS1_3-gnark,50,10,1024,16,14649,14713,3619,371980
native,TLS1_3-gnark,50,10,1024,256,16312,16290,4741,484092
native,TLS1_3-gnark,50,10,1024,1024,21568,20838,8441,342556
native,TLS1_3-gnark,50,10,1024,2048,28437,26583,13286,334136
native,TLS1_3-gnark,50,10,2048,16,21823,22911,3627,373896
native,TLS1_3-gnark,50,10,2048,256,23482,24485,4764,465824
native,TLS1_3-gnark,50,10,2048,1024,28735,29026,8454,339592
native,TLS1_3-gnark,50,10,2048,2048,35604,34772,13270,358028
native,TLS1_3-gnark,50,15,1024,16,14649,14716,3606,371272
native,TLS1_3-gnark,50,15,1024,256,16309,16287,4726,485664
native,TLS1_3-gnark,50,15,1024,1024,21569,20835,8499,339456
native,TLS1_3-gnark,50,15,1024,2048,28436,26583,13222,352080
native,TLS1_3-gnark,50,15,2048,16,21826,22913,3641,377532
native,TLS1_3-gnark,50,15,2048,256,23482,24487,4759,464408
native,TLS1_3-gnark,50,15,2048,1024,28737,29028,8517,339712
native,TLS1_3-gnark,50,15,2048,2048,35607,34771,13336,350388
native,TLS1_3-gnark,50,20,1024,16,14651,14715,3607,373240
native,TLS1_3-gnark,50,20,1024,256,16310,16287,4755,468552
native,TLS1_3-gnark,50,20,1024,1024,21571,20839,8507,342756
native,TLS1_3-gnark,50,20,1024,2048,28439,26580,13368,346888
native,TLS1_3-gnark,50,20,2048,16,21823,22910,3654,372548
native,TLS1_3-gnark,50,20,2048,256,23483,24488,4772,465424
native,TLS1_3-gnark,50,20,2048,1024,28734,29026,8492,348228
native,TLS1_3-gnark,50,20,2048,2048,35602,34774,13364,350924
native,TLS1_3-gnark,100,10,1024,16,14648,14716,3580,377756
native,TLS1_3-gnark,100,10,1024,256,16310,16293,4702,463852
native,TLS1_3-gnark,100,10,1024,1024,21569,20837,8444,326700
native,TLS1_3-gnark,100,10,1024,2048,28434,26586,13319,330424
native,TLS1_3-gnark,100,10,2048,16,21824,22908,3627,375140
native,TLS1_3-gnark,100,10,2048,256,23481,24485,4736,484276
native,TLS1_3-gnark,100,10,2048,1024,28733,29026,8435,329396
native,TLS1_3-gnark,100,10,2048,2048,35604,34774,13282,352080
native,TLS1_3-gnark,100,15,1024,16,14646,14716,3602,374740
native,TLS1_3-gnark,100,15,1024,256,16309,16287,4697,466688
native,TLS1_3-gnark,100,15,1024,1024,21571,20838,8499,337392
native,TLS1_3-gnark,100,15,1024,2048,28440,26585,13328,346468
native,TLS1_3-gnark,100,15,2048,16,21822,22909,3641,371048
native,TLS1_3-gnark,100,15,2048,256,23482,24488,4784,483616
native,TLS1_3-gnark,100,15,2048,1024,28738,29025,8474,341492
native,TLS1_3-gnark,100,15,2048,2048,35603,34774,13296,354848
native,TLS1_3-gnark,100,20,1024,16,14649,14713,3644,406972
native,TLS1_3-gnark,100,20,1024,256,16310,16293,4722,485048
native,TLS1_3-gnark,100,20,1024,1024,21570,20835,8490,338924
native,TLS1_3-gnark,100,20,1024,2048,28437,26580,13337,346000
native,TLS1_3-gnark,100,20,2048,16,21822,22909,3656,374980
native,TLS1_3-gnark,100,20,2048,256,23479,24487,4793,467964
native,TLS1_3-gnark,100,20,2048,1024,28737,29025,8476,350436
native,TLS1_3-gnark,100,20,2048,2048,35605,34770,13364,354644
native,TLS1_3-gnark,200,10,1024,16,14646,14716,3588,373532
native,TLS1_3-gnark,200,10,1024,256,16309,16292,4677,483092
native,TLS1_3-gnark,200,10,1024,1024,21567,20837,8427,343056
native,TLS1_3-gnark,200,10,1024,2048,28439,26585,13301,344416
native,TLS1_3-gnark,200,10,2048,16,21820,22914,3624,376396
native,TLS1_3-gnark,200,10,2048,256,23481,24484,4764,481952
native,TLS1_3-gnark,200,10,2048,1024,28738,29029,8433,325968
native,TLS1_3-gnark,200,10,2048,2048,35601,34774,13380,348820
native,TLS1_3-gnark,200,15,1024,16,14652,14714,3589,377136
native,TLS1_3-gnark,200,15,1024,256,16314,16287,4706,464148
native,TLS1_3-gnark,200,15,1024,1024,21565,20840,8479,340732
native,TLS1_3-gnark,200,15,1024,2048,28435,26581,13410,347956
native,TLS1_3-gnark,200,15,2048,16,21826,22911,3650,380096
native,TLS1_3-gnark,200,15,2048,256,23483,24488,4779,466348
native,TLS1_3-gnark,200,15,2048,1024,28738,29028,8485,377252
native,TLS1_3-gnark,200,15,2048,2048,35601,34772,13309,345460
native,TLS1_3-gnark,200,20,1024,16,14648,14713,3611,370724
native,TLS1_3-gnark,200,20,1024,256,16310,16287,4731,465512
native,TLS1_3-gnark,200,20,1024,1024,21568,20840,8498,333824
native,TLS1_3-gnark,200,20,1024,2048,28439,26581,13340,346340
native,TLS1_3-gnark,200,20,2048,16,21821,22908,3669,377600
native,TLS1_3-gnark,200,20,2048,256,23482,24482,4783,482108
native,TLS1_3-gnark,200,20,2048,1024,28738,29024,8497,344496
native,TLS1_3-gnark,200,20,2048,2048,35601,34773,13379,348140
