kind,name,bandwidth(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
Native,all,50,10,1024,16,47039770,48500753,24000,134117
Native,all,50,10,1024,256,47071684,51666174,25000,130003
Native,all,50,10,1024,1024,47172814,61794235,27000,130295
Native,all,50,10,1024,2048,47307570,75297219,31000,130693
Native,all,50,10,2048,16,61089234,62144361,30000,144029
Native,all,50,10,2048,256,61121136,65309782,29000,144114
Native,all,50,10,2048,1024,61222506,75437771,31000,144412
Native,all,50,10,2048,2048,61356854,88940683,35000,144802
Native,all,50,15,1024,16,47039350,48500369,25000,134111
Native,all,50,15,1024,256,47071732,51666774,26000,130000
Native,all,50,15,1024,1024,47172850,61794247,29000,130294
Native,all,50,15,1024,2048,47307546,75297435,34000,130685
Native,all,50,15,2048,16,61089186,62143941,31000,144018
Native,all,50,15,2048,256,61121100,65309962,32000,144110
Native,all,50,15,2048,1024,61222290,75438479,35000,144404
Native,all,50,15,2048,2048,61356638,88941475,39000,144796
Native,all,50,20,1024,16,47039326,48500441,27000,134112
Native,all,50,20,1024,256,47071264,51665874,30000,130002
Native,all,50,20,1024,1024,47172538,61793875,32000,130295
Native,all,50,20,1024,2048,47307234,75297639,35000,130690
Native,all,50,20,2048,16,61088742,62144001,33000,144021
Native,all,50,20,2048,256,61120608,65309242,35000,144114
Native,all,50,20,2048,1024,61222098,75437975,37000,144407
Native,all,50,20,2048,2048,61356614,88940779,41000,144799
Native,all,100,10,1024,16,47039674,48500921,24000,134113
Native,all,100,10,1024,256,47072056,51666510,25000,130010
Native,all,100,10,1024,1024,47173222,61794403,24000,130304
Native,all,100,10,1024,2048,47308410,75297387,31000,130691
Native,all,100,10,2048,16,61089582,62144781,32000,144022
Native,all,100,10,2048,256,61121520,65310238,33000,144116
Native,all,100,10,2048,1024,61222782,75437879,36000,144413
Native,all,100,10,2048,2048,61357382,88941127,33000,144805
Native,all,100,15,1024,16,47039770,48500801,28000,134113
Native,all,100,15,1024,256,47071624,51665982,29000,130002
Native,all,100,15,1024,1024,47173162,61794379,32000,130296
Native,all,100,15,1024,2048,47307510,75298059,35000,130690
Native,all,100,15,2048,16,61089150,62144073,36000,144021
Native,all,100,15,2048,256,61121448,65309854,37000,144113
Native,all,100,15,2048,1024,61222374,75438119,40000,144409
Native,all,100,15,2048,2048,61356914,88941151,44000,144801
Native,all,100,20,1024,16,47039566,48500417,30000,134112
Native,all,100,20,1024,256,47071336,51665922,32000,130003
Native,all,100,20,1024,1024,47172574,61794247,31000,130298
Native,all,100,20,1024,2048,47307474,75297363,38000,130689
Native,all,100,20,2048,16,61088934,62144529,33000,144024
Native,all,100,20,2048,256,61120884,65309938,39000,144113
Native,all,100,20,2048,1024,61221942,75437867,42000,144409
Native,all,100,20,2048,2048,61356314,88940659,47000,144799
Native,all,200,10,1024,16,47039938,48501041,24000,134116
Native,all,200,10,1024,256,47072320,51666606,25000,130006
Native,all,200,10,1024,1024,47173390,61794331,29000,130301
Native,all,200,10,1024,2048,47307834,75297363,32000,130693
Native,all,200,10,2048,16,61089534,62144745,32000,144029
Native,all,200,10,2048,256,61121676,65309878,33000,144116
Native,all,200,10,2048,1024,61222746,75438179,35000,144415
Native,all,200,10,2048,2048,61357082,88941103,39000,144802
Native,all,200,15,1024,16,47039746,48500957,26000,134123
Native,all,200,15,1024,256,47071828,51666210,29000,130003
Native,all,200,15,1024,1024,47173018,61793995,31000,130299
Native,all,200,15,1024,2048,47307438,75297627,36000,130691
Native,all,200,15,2048,16,61089522,62144529,36000,144024
Native,all,200,15,2048,256,61121184,65309710,36000,144117
Native,all,200,15,2048,1024,61222170,75438611,34000,144409
Native,all,200,15,2048,2048,61357298,88941055,43000,144802
Native,all,200,20,1024,16,47039518,48500789,27000,134112
Native,all,200,20,1024,256,47071504,51665970,28000,130003
Native,all,200,20,1024,1024,47172898,61794259,34000,130297
Native,all,200,20,1024,2048,47307006,75297063,38000,130691
Native,all,200,20,2048,16,61089210,62144361,38000,144024
Native,all,200,20,2048,256,61121256,65309914,39000,144114
Native,all,200,20,2048,1024,61222026,75437855,42000,144408
Native,all,200,20,2048,2048,61356374,88940947,46000,144800
