kind,name,bandwith(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
Native,all,50,10,1024,16,49588778,48911401,22000,133610
Native,all,50,10,1024,256,52794056,52076930,24000,137259
Native,all,50,10,1024,1024,63049622,62205483,27000,147871
Native,all,50,10,1024,2048,76722642,75710171,32000,162033
Native,all,50,10,2048,16,63638158,62554757,27000,147703
Native,all,50,10,2048,256,66843472,65720682,29000,151000
Native,all,50,10,2048,1024,77099134,75849091,32000,161645
Native,all,50,10,2048,2048,90772538,89352351,37000,176383
Native,all,50,15,1024,16,49588562,48911689,25000,133603
Native,all,50,15,1024,256,52793768,52077374,26000,137256
Native,all,50,15,1024,1024,63048962,62204967,29000,147864
Native,all,50,15,1024,2048,76722270,75707855,34000,162029
Native,all,50,15,2048,16,63637714,62554517,31000,147696
Native,all,50,15,2048,256,66842836,65720130,31000,150996
Native,all,50,15,2048,1024,77098978,75848599,35000,161639
Native,all,50,15,2048,2048,90772070,89351715,40000,176376
Native,all,50,20,1024,16,49588106,48911053,27000,133607
Native,all,50,20,1024,256,52793288,52076858,28000,137257
Native,all,50,20,1024,1024,63048662,62204535,31000,147866
Native,all,50,20,1024,2048,76722090,75708107,37000,162030
Native,all,50,20,2048,16,63637486,62554445,33000,147701
Native,all,50,20,2048,256,66842656,65719998,34000,150999
Native,all,50,20,2048,1024,77098210,75848719,37000,161641
Native,all,50,20,2048,2048,90771194,89350971,41000,176395
Native,all,100,10,1024,16,49588838,48911893,21000,133611
Native,all,100,10,1024,256,52794056,52077782,23000,137265
Native,all,100,10,1024,1024,63049358,62205387,28000,147872
Native,all,100,10,1024,2048,76722918,75708683,31000,162034
Native,all,100,10,2048,16,63638410,62555429,26000,147703
Native,all,100,10,2048,256,66843472,65720970,33000,151007
Native,all,100,10,2048,1024,77099014,75848539,34000,161643
Native,all,100,10,2048,2048,90772466,89353719,42000,176381
Native,all,100,15,1024,16,49588550,48911557,28000,133608
Native,all,100,15,1024,256,52793564,52076654,29000,137258
Native,all,100,15,1024,1024,63048902,62205747,29000,147866
Native,all,100,15,1024,2048,76722846,75708287,39000,162031
Native,all,100,15,2048,16,63638002,62554793,31000,147699
Native,all,100,15,2048,256,66842944,65721162,35000,150998
Native,all,100,15,2048,1024,77098906,75848515,38000,161642
Native,all,100,15,2048,2048,90771590,89351331,46000,176380
Native,all,100,20,1024,16,49588430,48911077,27000,133607
Native,all,100,20,1024,256,52793312,52076462,28000,137258
Native,all,100,20,1024,1024,63048530,62204919,33000,147868
Native,all,100,20,1024,2048,76722198,75707987,42000,162032
Native,all,100,20,2048,16,63638098,62555237,38000,147699
Native,all,100,20,2048,256,66843244,65720718,38000,151000
Native,all,100,20,2048,1024,77097994,75848467,41000,161645
Native,all,100,20,2048,2048,90771494,89351295,44000,176380
Native,all,200,10,1024,16,49588862,48911773,24000,133615
Native,all,200,10,1024,256,52793996,52077758,25000,137264
Native,all,200,10,1024,1024,63049382,62205159,29000,147874
Native,all,200,10,1024,2048,76722918,75708491,36000,162040
Native,all,200,10,2048,16,63638110,62555513,32000,147702
Native,all,200,10,2048,256,66843076,65720610,34000,151003
Native,all,200,10,2048,1024,77098522,75849055,36000,161646
Native,all,200,10,2048,2048,90772442,89353167,43000,176380
Native,all,200,15,1024,16,49588430,48911317,28000,133609
Native,all,200,15,1024,256,52793840,52077014,29000,137260
Native,all,200,15,1024,1024,63049082,62205051,33000,147868
Native,all,200,15,1024,2048,76722654,75708539,40000,162034
Native,all,200,15,2048,16,63638278,62555177,36000,147701
Native,all,200,15,2048,256,66843304,65720562,36000,151001
Native,all,200,15,2048,1024,77099206,75848875,40000,161644
Native,all,200,15,2048,2048,90772298,89351943,45000,176380
Native,all,200,20,1024,16,49588478,48911293,30000,133609
Native,all,200,20,1024,256,52793696,52077098,31000,137260
Native,all,200,20,1024,1024,63049118,62204907,35000,147868
Native,all,200,20,1024,2048,76722078,75707723,43000,162032
Native,all,200,20,2048,16,63637714,62554697,33000,147700
Native,all,200,20,2048,256,66843208,65720634,40000,151001
Native,all,200,20,2048,1024,77098378,75849151,43000,161643
Native,all,200,20,2048,2048,90772154,89351307,47000,176383
