name,kind,upload,upload_delay,download,download_delay,upload_size,download_size,defer_decryption,runtime,uploaded,downloaded,heap_max_bytes
all,Native,50,10,50,10,1024,16,true,28,47039998,48501089,137336560
all,Native,50,10,50,10,1024,16,false,26,49588922,48911641,136817872
all,Native,50,10,50,10,1024,256,true,29,47072080,51666294,133124339
all,Native,50,10,50,10,1024,256,false,28,52794344,52077218,140557397
all,Native,50,10,50,10,1024,1024,true,33,47173666,61794223,133423114
all,Native,50,10,50,10,1024,1024,false,32,63050906,62205951,151415800
all,Native,50,10,50,10,1024,2048,true,38,47308230,75297267,133827118
all,Native,50,10,50,10,1024,2048,false,39,76722546,75708635,165921764
all,Native,50,10,50,10,2048,16,true,33,61089678,62144553,147482220
all,Native,50,10,50,10,2048,16,false,32,63638086,62555141,151248680
all,Native,50,10,50,10,2048,256,true,34,61121412,65309902,147573227
all,Native,50,10,50,10,2048,256,false,33,66843088,65720382,154624425
all,Native,50,10,50,10,2048,1024,true,38,61222938,75438155,147875430
all,Native,50,10,50,10,2048,1024,false,39,77099170,75849079,165526352
all,Native,50,10,50,10,2048,2048,true,43,61357322,88941163,148279794
all,Native,50,10,50,10,2048,2048,false,43,90772526,89352399,180616360
all,Native,50,15,50,15,1024,16,true,30,47039578,48500393,137327684
all,Native,50,15,50,15,1024,16,false,29,49588298,48910957,136810788
all,Native,50,15,50,15,1024,256,true,30,47071468,51665766,133120491
all,Native,50,15,50,15,1024,256,false,30,52793396,52076426,140549289
all,Native,50,15,50,15,1024,1024,true,35,47172742,61793731,133420526
all,Native,50,15,50,15,1024,1024,false,34,63048746,62204403,151412908
all,Native,50,15,50,15,1024,2048,true,40,47307438,75296703,133821934
all,Native,50,15,50,15,1024,2048,false,42,76722738,75707495,165916324
all,Native,50,15,50,15,2048,16,true,39,61088982,62143881,147476780
all,Native,50,15,50,15,2048,16,false,36,63638278,62554433,151240988
all,Native,50,15,50,15,2048,256,true,40,61121124,65309242,147568451
all,Native,50,15,50,15,2048,256,false,36,66842884,65720610,154620161
all,Native,50,15,50,15,2048,1024,true,44,61222218,75437147,147869766
all,Native,50,15,50,15,2048,1024,false,42,77099050,75847939,165517092
all,Native,50,15,50,15,2048,2048,true,49,61357106,88940239,148271046
all,Native,50,15,50,15,2048,2048,false,45,90771746,89350983,180609788
all,Native,50,20,50,20,1024,16,true,31,47039398,48500561,137332420
all,Native,50,20,50,20,1024,16,false,32,49588154,48910969,136812356
all,Native,50,20,50,20,1024,256,true,34,47071612,51665826,133138251
all,Native,50,20,50,20,1024,256,false,32,52793276,52076510,140554005
all,Native,50,20,50,20,1024,1024,true,36,47172538,61793911,133422574
all,Native,50,20,50,20,1024,1024,false,36,63048554,62204379,151414860
all,Native,50,20,50,20,1024,2048,true,40,47306934,75297195,133826138
all,Native,50,20,50,20,1024,2048,false,44,76722066,75707423,165921296
all,Native,50,20,50,20,2048,16,true,38,61088994,62144073,147476416
all,Native,50,20,50,20,2048,16,false,38,63637546,62554517,151262344
all,Native,50,20,50,20,2048,256,true,42,61120728,65309410,147589647
all,Native,50,20,50,20,2048,256,false,39,66842656,65719974,154621185
all,Native,50,20,50,20,2048,1024,true,43,61222254,75437447,147871814
all,Native,50,20,50,20,2048,1024,false,44,77098198,75848455,165520912
all,Native,50,20,50,20,2048,2048,true,51,61356446,88940827,148274354
all,Native,50,20,50,20,2048,2048,false,49,90771266,89350923,180611420
