name,kind,upload,upload_delay,download,download_delay,upload_size,download_size,defer_decryption,runtime,uploaded,downloaded,heap_max_bytes
all,Native,50,10,50,10,1024,16,true,24,47039770,48500753,137335536
all,Native,50,10,50,10,1024,16,false,22,49588778,48911401,136816740
all,Native,50,10,50,10,1024,256,true,25,47071684,51666174,133123115
all,Native,50,10,50,10,1024,256,false,24,52794056,52076930,140553449
all,Native,50,10,50,10,1024,1024,true,27,47172814,61794235,133422122
all,Native,50,10,50,10,1024,1024,false,27,63049622,62205483,151420248
all,Native,50,10,50,10,1024,2048,true,31,47307570,75297219,133829882
all,Native,50,10,50,10,1024,2048,false,32,76722642,75710171,165921764
all,Native,50,10,50,10,2048,16,true,30,61089234,62144361,147485292
all,Native,50,10,50,10,2048,16,false,27,63638158,62554757,151247816
all,Native,50,10,50,10,2048,256,true,29,61121136,65309782,147573227
all,Native,50,10,50,10,2048,256,false,29,66843472,65720682,154624429
all,Native,50,10,50,10,2048,1024,true,31,61222506,75437771,147878386
all,Native,50,10,50,10,2048,1024,false,32,77099134,75849091,165524452
all,Native,50,10,50,10,2048,2048,true,35,61356854,88940683,148277258
all,Native,50,10,50,10,2048,2048,false,37,90772538,89352351,180616508
all,Native,50,15,50,15,1024,16,true,25,47039350,48500369,137329988
all,Native,50,15,50,15,1024,16,false,25,49588562,48911689,136809252
all,Native,50,15,50,15,1024,256,true,26,47071732,51666774,133120439
all,Native,50,15,50,15,1024,256,false,26,52793768,52077374,140549909
all,Native,50,15,50,15,1024,1024,true,29,47172850,61794247,133420878
all,Native,50,15,50,15,1024,1024,false,29,63048962,62204967,151412556
all,Native,50,15,50,15,1024,2048,true,34,47307546,75297435,133821934
all,Native,50,15,50,15,1024,2048,false,34,76722270,75707855,165917200
all,Native,50,15,50,15,2048,16,true,31,61089186,62143941,147474624
all,Native,50,15,50,15,2048,16,false,31,63637714,62554517,151240988
all,Native,50,15,50,15,2048,256,true,32,61121100,65309962,147568707
all,Native,50,15,50,15,2048,256,false,31,66842836,65720130,154620161
all,Native,50,15,50,15,2048,1024,true,35,61222290,75438479,147869766
all,Native,50,15,50,15,2048,1024,false,35,77098978,75848599,165517988
all,Native,50,15,50,15,2048,2048,true,39,61356638,88941475,148270918
all,Native,50,15,50,15,2048,2048,false,40,90772070,89351715,180609020
all,Native,50,20,50,20,1024,16,true,27,47039326,48500441,137330244
all,Native,50,20,50,20,1024,16,false,27,49588106,48911053,136813092
all,Native,50,20,50,20,1024,256,true,30,47071264,51665874,133122123
all,Native,50,20,50,20,1024,256,false,28,52793288,52076858,140551337
all,Native,50,20,50,20,1024,1024,true,32,47172538,61793875,133422574
all,Native,50,20,50,20,1024,1024,false,31,63048662,62204535,151415116
all,Native,50,20,50,20,1024,2048,true,35,47307234,75297639,133826138
all,Native,50,20,50,20,1024,2048,false,37,76722090,75708107,165918628
all,Native,50,20,50,20,2048,16,true,33,61088742,62144001,147477536
all,Native,50,20,50,20,2048,16,false,33,63637486,62554445,151245960
all,Native,50,20,50,20,2048,256,true,35,61120608,65309242,147572911
all,Native,50,20,50,20,2048,256,false,34,66842656,65719998,154622465
all,Native,50,20,50,20,2048,1024,true,37,61222098,75437975,147872946
all,Native,50,20,50,20,2048,1024,false,37,77098210,75848719,165520164
all,Native,50,20,50,20,2048,2048,true,41,61356614,88940779,148273842
all,Native,50,20,50,20,2048,2048,false,41,90771194,89350971,180628328
all,Native,100,10,100,10,1024,16,true,24,47039674,48500921,137331524
all,Native,100,10,100,10,1024,16,false,21,49588838,48911893,136817520
all,Native,100,10,100,10,1024,256,true,25,47072056,51666510,133130027
all,Native,100,10,100,10,1024,256,false,23,52794056,52077782,140559689
all,Native,100,10,100,10,1024,1024,true,24,47173222,61794403,133431086
all,Native,100,10,100,10,1024,1024,false,28,63049358,62205387,151421164
all,Native,100,10,100,10,1024,2048,true,31,47308410,75297387,133827370
all,Native,100,10,100,10,1024,2048,false,31,76722918,75708683,165922636
all,Native,100,10,100,10,2048,16,true,32,61089582,62144781,147479036
all,Native,100,10,100,10,2048,16,false,26,63638410,62555429,151248220
all,Native,100,10,100,10,2048,256,true,33,61121520,65310238,147575167
all,Native,100,10,100,10,2048,256,false,33,66843472,65720970,154631493
all,Native,100,10,100,10,2048,1024,true,36,61222782,75437879,147879302
all,Native,100,10,100,10,2048,1024,false,34,77099014,75848539,165522144
all,Native,100,10,100,10,2048,2048,true,33,61357382,88941127,148280198
all,Native,100,10,100,10,2048,2048,false,42,90772466,89353719,180613884
all,Native,100,15,100,15,1024,16,true,28,47039770,48500801,137332036
all,Native,100,15,100,15,1024,16,false,28,49588550,48911557,136814480
all,Native,100,15,100,15,1024,256,true,29,47071624,51665982,133122539
all,Native,100,15,100,15,1024,256,false,29,52793564,52076654,140552361
all,Native,100,15,100,15,1024,1024,true,32,47173162,61794379,133423598
all,Native,100,15,100,15,1024,1024,false,29,63048902,62205747,151414348
all,Native,100,15,100,15,1024,2048,true,35,47307510,75298059,133827054
all,Native,100,15,100,15,1024,2048,false,39,76722846,75708287,165920164
all,Native,100,15,100,15,2048,16,true,36,61089150,62144073,147477696
all,Native,100,15,100,15,2048,16,false,31,63638002,62554793,151243804
all,Native,100,15,100,15,2048,256,true,37,61121448,65309854,147572131
all,Native,100,15,100,15,2048,256,false,35,66842944,65721162,154622305
all,Native,100,15,100,15,2048,1024,true,40,61222374,75438119,147874886
all,Native,100,15,100,15,2048,1024,false,38,77098906,75848515,165521316
all,Native,100,15,100,15,2048,2048,true,44,61356914,88941151,148276294
all,Native,100,15,100,15,2048,2048,false,46,90771590,89351331,180612700
all,Native,100,20,100,20,1024,16,true,30,47039566,48500417,137331012
all,Native,100,20,100,20,1024,16,false,27,49588430,48911077,136813508
all,Native,100,20,100,20,1024,256,true,32,47071336,51665922,133122891
all,Native,100,20,100,20,1024,256,false,28,52793312,52076462,140551849
all,Native,100,20,100,20,1024,1024,true,31,47172574,61794247,133424730
all,Native,100,20,100,20,1024,1024,false,33,63048530,62204919,151416396
all,Native,100,20,100,20,1024,2048,true,38,47307474,75297363,133825518
all,Native,100,20,100,20,1024,2048,false,42,76722198,75707987,165921188
all,Native,100,20,100,20,2048,16,true,33,61088934,62144529,147480768
all,Native,100,20,100,20,2048,16,false,38,63638098,62555237,151244264
all,Native,100,20,100,20,2048,256,true,39,61120884,65309938,147571779
all,Native,100,20,100,20,2048,256,false,38,66843244,65720718,154624001
all,Native,100,20,100,20,2048,1024,true,42,61221942,75437867,147874630
all,Native,100,20,100,20,2048,1024,false,41,77097994,75848467,165524900
all,Native,100,20,100,20,2048,2048,true,47,61356314,88940659,148274246
all,Native,100,20,100,20,2048,2048,false,44,90771494,89351295,180613320
all,Native,200,10,200,10,1024,16,true,24,47039938,48501041,137334912
all,Native,200,10,200,10,1024,16,false,24,49588862,48911773,136821492
all,Native,200,10,200,10,1024,256,true,25,47072320,51666606,133126279
all,Native,200,10,200,10,1024,256,false,25,52793996,52077758,140558313
all,Native,200,10,200,10,1024,1024,true,29,47173390,61794331,133428014
all,Native,200,10,200,10,1024,1024,false,29,63049382,62205159,151422860
all,Native,200,10,200,10,1024,2048,true,32,47307834,75297363,133829418
all,Native,200,10,200,10,1024,2048,false,36,76722918,75708491,165928680
all,Native,200,10,200,10,2048,16,true,32,61089534,62144745,147485536
all,Native,200,10,200,10,2048,16,false,32,63638110,62555513,151247192
all,Native,200,10,200,10,2048,256,true,33,61121676,65309878,147575167
all,Native,200,10,200,10,2048,256,false,34,66843076,65720610,154627389
all,Native,200,10,200,10,2048,1024,true,35,61222746,75438179,147881350
all,Native,200,10,200,10,2048,1024,false,36,77098522,75849055,165525216
all,Native,200,10,200,10,2048,2048,true,39,61357082,88941103,148277634
all,Native,200,10,200,10,2048,2048,false,43,90772442,89353167,180612860
all,Native,200,15,200,15,1024,16,true,26,47039746,48500957,137341576
all,Native,200,15,200,15,1024,16,false,28,49588430,48911317,136815396
all,Native,200,15,200,15,1024,256,true,29,47071828,51666210,133123563
all,Native,200,15,200,15,1024,256,false,29,52793840,52077014,140554553
all,Native,200,15,200,15,1024,1024,true,31,47173018,61793995,133426670
