kind,name,bandwidth(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
Native,all,50,10,1024,16,50994613,3109414,16000,307800
Native,all,50,10,1024,256,51008915,3109198,16000,306640
Native,all,50,10,1024,1024,51053894,3109246,16000,321833
Native,all,50,10,1024,2048,51114338,3058298,18000,455963
Native,all,50,10,2048,16,64685893,3110534,20000,324208
Native,all,50,10,2048,256,64700231,3110522,20000,329119
Native,all,50,10,2048,1024,64746138,3060558,21000,457290
Native,all,50,10,2048,2048,64805846,3059106,21000,588282
Native,all,50,15,1024,16,50994469,3108886,17000,307912
Native,all,50,15,1024,256,51008987,3109114,17000,306635
Native,all,50,15,1024,1024,51054122,3108466,17000,322353
Native,all,50,15,1024,2048,51114302,3057770,18000,455964
Native,all,50,15,2048,16,64685881,3110438,21000,324205
Native,all,50,15,2048,256,64700363,3110510,20000,329123
Native,all,50,15,2048,1024,64745454,3058878,22000,457389
Native,all,50,15,2048,2048,64805690,3059046,22000,588293
Native,all,50,20,1024,16,50994265,3108202,17000,308020
Native,all,50,20,1024,256,51008627,3108322,17000,306647
Native,all,50,20,1024,1024,51054194,3108370,17000,322358
Native,all,50,20,1024,2048,51114218,3057446,19000,455967
Native,all,50,20,2048,16,64685833,3109754,21000,324210
Native,all,50,20,2048,256,64700351,3110282,21000,329017
Native,all,50,20,2048,1024,64745394,3058662,23000,457198
Native,all,50,20,2048,2048,64805582,3058014,23000,588312
Native,all,100,10,1024,16,50994493,3108706,15000,308021
Native,all,100,10,1024,256,51008891,3109258,15000,306641
Native,all,100,10,1024,1024,51054098,3109162,16000,322350
Native,all,100,10,1024,2048,51114422,3058094,17000,455968
Native,all,100,10,2048,16,64686049,3110498,19000,324210
Native,all,100,10,2048,256,64700423,3110546,19000,328821
Native,all,100,10,2048,1024,64745610,3059262,20000,457501
Native,all,100,10,2048,2048,64805702,3059106,21000,588294
Native,all,100,15,1024,16,50994565,3109450,16000,308017
Native,all,100,15,1024,256,51008819,3108538,16000,306637
Native,all,100,15,1024,1024,51054290,3109162,16000,322354
Native,all,100,15,1024,2048,51114338,3057650,18000,455964
Native,all,100,15,2048,16,64686133,3110918,20000,324203
Native,all,100,15,2048,256,64700327,3110522,20000,328800
Native,all,100,15,2048,1024,64745358,3059154,21000,457299
Native,all,100,15,2048,2048,64806218,3060510,22000,588286
Native,all,100,20,1024,16,50994409,3108802,17000,308017
Native,all,100,20,1024,256,51008651,3108322,17000,306644
Native,all,100,20,1024,1024,51054110,3108214,17000,322353
Native,all,100,20,1024,2048,51114026,3056942,18000,455745
Native,all,100,20,2048,16,64685653,3109718,21000,324208
Native,all,100,20,2048,256,64699895,3109406,21000,329174
Native,all,100,20,2048,1024,64745334,3058314,22000,457215
Native,all,100,20,2048,2048,64805606,3058110,22000,587989
Native,all,200,10,1024,16,50994253,3109222,15000,308022
Native,all,200,10,1024,256,51008963,3109702,15000,306643
Native,all,200,10,1024,1024,51054302,3109366,15000,322349
Native,all,200,10,1024,2048,51114242,3057866,17000,455753
Native,all,200,10,2048,16,64685929,3110510,19000,324225
Native,all,200,10,2048,256,64700627,3111410,19000,329120
Native,all,200,10,2048,1024,64745490,3059022,20000,457503
Native,all,200,10,2048,2048,64805702,3059250,21000,588271
Native,all,200,15,1024,16,50994433,3109126,16000,308018
Native,all,200,15,1024,256,51008723,3108454,16000,306536
Native,all,200,15,1024,1024,51054254,3108574,16000,322347
Native,all,200,15,1024,2048,51114254,3057638,17000,455961
Native,all,200,15,2048,16,64686169,3110846,20000,324209
Native,all,200,15,2048,256,64700267,3110402,20000,329141
Native,all,200,15,2048,1024,64745310,3058914,21000,457302
Native,all,200,15,2048,2048,64805678,3058926,21000,588059
Native,all,200,20,1024,16,50994421,3108430,17000,307910
Native,all,200,20,1024,256,51008735,3108442,16000,306641
Native,all,200,20,1024,1024,51054146,3108466,17000,322246
Native,all,200,20,1024,2048,51114122,3057146,18000,455749
Native,all,200,20,2048,16,64685797,3109550,20000,324049
Native,all,200,20,2048,256,64700063,3109574,21000,329141
Native,all,200,20,2048,1024,64745418,3058542,22000,457496
Native,all,200,20,2048,2048,64805606,3058122,22000,588059
