kind,name,bandwidth(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
Native,all,50,10,1024,16,54157598,3109491,17000,306710
Native,all,50,10,1024,256,57380603,3109635,18000,316656
Native,all,50,10,1024,1024,67693654,3060859,22000,463658
Native,all,50,10,1024,2048,81443410,3062027,26000,612472
Native,all,50,10,2048,16,67849070,3110551,20000,328455
Native,all,50,10,2048,256,71071851,3059363,22000,451042
Native,all,50,10,2048,1024,81385138,3062027,26000,591810
Native,all,50,10,2048,2048,95134270,3061563,30000,636478
Native,all,50,15,1024,16,54157502,3108723,17000,307138
Native,all,50,15,1024,256,57380675,3109503,18000,316450
Native,all,50,15,1024,1024,67693042,3058807,22000,463405
Native,all,50,15,1024,2048,81442690,3060239,26000,612062
Native,all,50,15,2048,16,67848950,3110755,21000,328568
Native,all,50,15,2048,256,71071875,3059423,23000,450827
Native,all,50,15,2048,1024,81384574,3060227,26000,591927
Native,all,50,15,2048,2048,95133994,3061215,30000,636489
Native,all,50,20,1024,16,54157406,3108447,18000,306924
Native,all,50,20,1024,256,57380483,3108939,18000,316959
Native,all,50,20,1024,1024,67692994,3058435,23000,463243
Native,all,50,20,1024,2048,81443206,3061727,27000,612361
Native,all,50,20,2048,16,67849322,3110923,22000,328573
Native,all,50,20,2048,256,71071455,3058451,24000,450874
Native,all,50,20,2048,1024,81384514,3060467,27000,591506
Native,all,50,20,2048,2048,95135014,3063123,31000,636017
Native,all,100,10,1024,16,54157526,3109371,16000,307140
Native,all,100,10,1024,256,57380663,3109695,17000,316953
Native,all,100,10,1024,1024,67692982,3059359,21000,463356
Native,all,100,10,1024,2048,81442798,3060623,25000,612680
Native,all,100,10,2048,16,67849082,3110863,20000,328462
Native,all,100,10,2048,256,71071851,3059615,22000,450811
Native,all,100,10,2048,1024,81384538,3060575,25000,591828
Native,all,100,10,2048,2048,95134138,3061923,29000,636370
Native,all,100,15,1024,16,54157370,3108507,17000,306924
Native,all,100,15,1024,256,57380615,3109815,18000,316961
Native,all,100,15,1024,1024,67693090,3059047,22000,463692
Native,all,100,15,1024,2048,81442858,3060839,26000,612592
Native,all,100,15,2048,16,67848938,3110539,21000,328356
Native,all,100,15,2048,256,71071755,3059423,22000,450815
Native,all,100,15,2048,1024,81384610,3060803,26000,591803
Native,all,100,15,2048,2048,95134090,3061479,30000,636396
Native,all,100,20,1024,16,54157406,3108483,17000,307140
Native,all,100,20,1024,256,57380483,3108891,18000,316851
Native,all,100,20,1024,1024,67693066,3058579,22000,463678
Native,all,100,20,1024,2048,81442450,3060419,27000,612523
Native,all,100,20,2048,16,67848746,3109867,21000,328370
Native,all,100,20,2048,256,71071563,3058559,23000,450509
Native,all,100,20,2048,1024,81385054,3061535,26000,591705
Native,all,100,20,2048,2048,95134666,3063567,30000,636660
Native,all,200,10,1024,16,54157814,3109983,16000,307028
Native,all,200,10,1024,256,57380627,3109779,17000,316953
Native,all,200,10,1024,1024,67693558,3060463,21000,463559
Native,all,200,10,1024,2048,81443542,3062255,25000,612371
Native,all,200,10,2048,16,67849502,3112195,20000,328566
Native,all,200,10,2048,256,71071875,3059615,22000,451046
Native,all,200,10,2048,1024,81384634,3060503,25000,591918
Native,all,200,10,2048,2048,95134018,3061515,29000,637371
Native,all,200,15,1024,16,54157466,3108783,17000,306840
Native,all,200,15,1024,256,57380675,3109707,17000,316956
Native,all,200,15,1024,1024,67693234,3059395,22000,463662
Native,all,200,15,1024,2048,81443014,3060887,26000,612165
Native,all,200,15,2048,16,67848998,3110707,21000,328565
Native,all,200,15,2048,256,71071815,3059483,22000,450935
Native,all,200,15,2048,1024,81384886,3061079,26000,591702
Native,all,200,15,2048,2048,95134222,3061611,29000,636448
Native,all,200,20,1024,16,54157538,3108687,17000,307145
Native,all,200,20,1024,256,57380411,3108771,18000,316853
Native,all,200,20,1024,1024,67692958,3058447,22000,463564
Native,all,200,20,1024,2048,81442570,3060155,26000,612176
Native,all,200,20,2048,16,67848722,3110083,21000,328152
Native,all,200,20,2048,256,71071419,3058475,23000,450792
Native,all,200,20,2048,1024,81384490,3060407,26000,592039
Native,all,200,20,2048,2048,95134486,3062559,30000,636559
