kind,name,bandwidth(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
Native,all,50,10,1024,16,50994745,3109906,12000,307908
Native,all,50,10,1024,256,51009251,3109594,11000,306533
Native,all,50,10,1024,1024,51054770,3109570,11000,322242
Native,all,50,10,1024,2048,51114422,3058406,12000,455747
Native,all,50,10,2048,16,64686601,3112634,15000,323881
Native,all,50,10,2048,256,64701707,3112622,15000,328792
Native,all,50,10,2048,1024,64746762,3061302,15000,457168
Native,all,50,10,2048,2048,64806470,3060774,15000,588061
Native,all,50,15,1024,16,50994325,3109882,12000,308017
Native,all,50,15,1024,256,51008987,3108874,12000,306314
Native,all,50,15,1024,1024,51054374,3109054,12000,322234
Native,all,50,15,1024,2048,51114554,3057926,12000,455746
Native,all,50,15,2048,16,64686061,3111002,15000,323880
Native,all,50,15,2048,256,64700555,3110618,14000,329007
Native,all,50,15,2048,1024,64745790,3059142,15000,457394
Native,all,50,15,2048,2048,64805798,3059742,16000,588062
Native,all,50,20,1024,16,50994373,3108442,13000,307690
Native,all,50,20,1024,256,51008711,3108442,12000,306640
Native,all,50,20,1024,1024,51054218,3108490,12000,322129
Native,all,50,20,1024,2048,51114242,3057206,13000,455853
Native,all,50,20,2048,16,64685965,3109994,15000,323339
Native,all,50,20,2048,256,64700171,3109994,15000,329010
Native,all,50,20,2048,1024,64745646,3058806,15000,457178
Native,all,50,20,2048,2048,64805774,3058458,16000,588060
Native,all,100,10,1024,16,50994025,3109666,11000,307804
Native,all,100,10,1024,256,51008399,3109630,11000,306422
Native,all,100,10,1024,1024,51053834,3109630,11000,322132
Native,all,100,10,1024,2048,51113882,3058406,11000,455745
Native,all,100,10,2048,16,64685485,3111986,14000,323232
Native,all,100,10,2048,256,64699811,3111806,14000,329011
Native,all,100,10,2048,1024,64745106,3060642,14000,457385
Native,all,100,10,2048,2048,64805330,3060798,14000,587952
Native,all,100,15,1024,16,50994025,3109654,12000,307801
Native,all,100,15,1024,256,51008363,3109426,12000,306421
Native,all,100,15,1024,1024,51053822,3109450,11000,322024
Native,all,100,15,1024,2048,51113870,3058214,12000,455636
Native,all,100,15,2048,16,64685905,3111566,14000,324208
Native,all,100,15,2048,256,64699787,3111530,14000,329005
Native,all,100,15,2048,1024,64745058,3060354,15000,456739
Native,all,100,15,2048,2048,64805270,3060054,15000,588276
Native,all,100,20,1024,16,50993941,3108478,12000,308016
Native,all,100,20,1024,256,51008387,3108874,12000,306313
Native,all,100,20,1024,1024,51053786,3108598,12000,322130
Native,all,100,20,1024,2048,51113846,3057290,12000,455856
Native,all,100,20,2048,16,64685341,3110066,15000,324209
Native,all,100,20,2048,256,64699703,3110222,15000,329121
Native,all,100,20,2048,1024,64744998,3059010,15000,457389
Native,all,100,20,2048,2048,64805222,3058950,16000,588278
Native,all,200,10,1024,16,50994025,3109642,10000,307694
Native,all,200,10,1024,256,51008399,3109630,10000,306420
Native,all,200,10,1024,1024,51053834,3109630,11000,322023
Native,all,200,10,1024,2048,51113882,3058370,11000,455532
Native,all,200,10,2048,16,64685425,3111602,13000,323343
Native,all,200,10,2048,256,64699859,3112010,13000,329119
Native,all,200,10,2048,1024,64745106,3060786,14000,457281
Native,all,200,10,2048,2048,64805330,3060774,14000,588062
Native,all,200,15,1024,16,50994025,3109654,12000,307366
Native,all,200,15,1024,256,51008387,3109258,11000,306228
Native,all,200,15,1024,1024,51053822,3109414,11000,322023
Native,all,200,15,1024,2048,51113846,3058058,12000,455746
Native,all,200,15,2048,16,64685425,3111302,14000,323991
Native,all,200,15,2048,256,64699763,3110510,14000,329012
Native,all,200,15,2048,1024,64745046,3059634,15000,457390
Native,all,200,15,2048,2048,64805222,3059238,15000,585681
Native,all,200,20,1024,16,50993941,3108514,12000,307701
Native,all,200,20,1024,256,51008327,3108778,12000,306423
Native,all,200,20,1024,1024,51053762,3108814,12000,322024
Native,all,200,20,1024,2048,51113822,3057326,12000,455854
Native,all,200,20,2048,16,64685413,3111050,15000,323868
Native,all,200,20,2048,256,64699739,3110174,15000,328582
Native,all,200,20,2048,1024,64744974,3058842,15000,457388
Native,all,200,20,2048,2048,64805198,3059058,15000,587523
