kind,name,bandwidth(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
Native,all,50,10,1024,16,54157754,3109923,12000,306921
Native,all,50,10,1024,256,57381263,3110439,13000,316631
Native,all,50,10,1024,1024,67694314,3061123,16000,463131
Native,all,50,10,1024,2048,81444130,3063227,18000,610839
Native,all,50,10,2048,16,67849826,3112615,15000,328559
Native,all,50,10,2048,256,71073099,3062219,16000,450586
Native,all,50,10,2048,1024,81386134,3063071,18000,591042
Native,all,50,10,2048,2048,95134150,3065379,22000,635251
Native,all,50,15,1024,16,54157766,3109287,12000,306922
Native,all,50,15,1024,256,57380783,3109827,13000,316419
Native,all,50,15,1024,1024,67693282,3059035,15000,463579
Native,all,50,15,1024,2048,81443086,3060827,18000,611076
Native,all,50,15,2048,16,67849094,3110407,14000,328347
Native,all,50,15,2048,256,71071923,3059171,15000,451025
Native,all,50,15,2048,1024,81384658,3060287,17000,590828
Native,all,50,15,2048,2048,95134078,3061143,20000,634974
Native,all,50,20,1024,16,54157394,3108639,13000,306922
Native,all,50,20,1024,256,57380747,3109095,14000,316633
Native,all,50,20,1024,1024,67692994,3058591,16000,463453
Native,all,50,20,1024,2048,81442510,3059531,18000,611324
Native,all,50,20,2048,16,67848890,3109927,15000,327808
Native,all,50,20,2048,256,71071995,3059291,17000,451026
Native,all,50,20,2048,1024,81384370,3059903,19000,590054
Native,all,50,20,2048,2048,95134210,3061359,22000,634599
Native,all,100,10,1024,16,54157082,3109863,11000,307137
Native,all,100,10,1024,256,57380147,3110331,12000,316632
Native,all,100,10,1024,1024,67692742,3061063,14000,463332
Native,all,100,10,1024,2048,81442426,3063191,18000,610626
Native,all,100,10,2048,16,67848554,3112339,14000,327582
Native,all,100,10,2048,256,71071467,3061655,15000,451026
Native,all,100,10,2048,1024,81384214,3063059,18000,591044
Native,all,100,10,2048,2048,95133838,3065031,21000,634913
Native,all,100,15,1024,16,54157058,3109683,12000,306811
Native,all,100,15,1024,256,57380147,3110319,13000,316742
Native,all,100,15,1024,1024,67692682,3060631,15000,462913
Native,all,100,15,1024,2048,81442330,3062735,18000,610842
Native,all,100,15,2048,16,67848458,3111031,15000,328350
Native,all,100,15,2048,256,71071251,3061163,16000,450918
Native,all,100,15,2048,1024,81384394,3061619,18000,590723
Native,all,100,15,2048,2048,95133838,3064947,21000,635469
Native,all,100,20,1024,16,54157010,3108675,12000,307027
Native,all,100,20,1024,256,57380063,3109215,13000,316958
Native,all,100,20,1024,1024,67692622,3059395,16000,463153
Native,all,100,20,1024,2048,81442210,3060671,19000,610622
Native,all,100,20,2048,16,67848410,3110743,15000,328349
Native,all,100,20,2048,256,71071299,3059531,17000,450808
Native,all,100,20,2048,1024,81384322,3060623,19000,590290
Native,all,100,20,2048,2048,95133622,3062091,22000,634603
Native,all,200,10,1024,16,54157094,3109947,11000,306920
Native,all,200,10,1024,256,57380171,3110439,12000,315986
Native,all,200,10,1024,1024,67692742,3061099,14000,463658
Native,all,200,10,1024,2048,81442378,3062831,17000,610828
Native,all,200,10,2048,16,67848530,3112327,14000,328449
Native,all,200,10,2048,256,71071455,3061619,15000,450805
Native,all,200,10,2048,1024,81384262,3063203,17000,592135
Native,all,200,10,2048,2048,95133826,3064983,20000,634815
Native,all,200,15,1024,16,54157070,3109767,12000,306596
Native,all,200,15,1024,256,57380147,3110067,12000,316630
Native,all,200,15,1024,1024,67692658,3060307,15000,463672
Native,all,200,15,1024,2048,81442294,3062027,18000,610194
Native,all,200,15,2048,16,67848446,3111487,15000,328244
Native,all,200,15,2048,256,71071383,3060659,16000,450159
Native,all,200,15,2048,1024,81384130,3062363,18000,590505
Native,all,200,15,2048,2048,95133742,3063483,21000,635031
Native,all,200,20,1024,16,54157046,3108783,12000,306920
Native,all,200,20,1024,256,57380075,3109143,13000,316846
Native,all,200,20,1024,1024,67692562,3059131,15000,462913
Native,all,200,20,1024,2048,81442210,3060563,18000,610841
Native,all,200,20,2048,16,67848386,3110467,15000,328346
Native,all,200,20,2048,256,71071299,3059435,16000,451023
Native,all,200,20,2048,1024,81384046,3060575,19000,590832
Native,all,200,20,2048,2048,95133622,3062199,22000,635023
