name,kind,upload,upload_delay,download,download_delay,upload_size,download_size,defer_decryption,runtime,uploaded,downloaded,heap_max_bytes
all,Browser,50,10,50,10,1024,16,true,25,47039758,48500177,
all,Browser,50,10,50,10,1024,16,false,25,49588502,48911293,
all,Browser,50,10,50,10,1024,256,true,26,47071660,51665850,
all,Browser,50,10,50,10,1024,256,false,25,52793588,52076690,
all,Browser,50,10,50,10,1024,1024,true,28,47172910,61793971,
all,Browser,50,10,50,10,1024,1024,false,27,63049034,62204559,
all,Browser,50,10,50,10,1024,2048,true,31,47307642,75297051,
all,Browser,50,10,50,10,1024,2048,false,32,76722306,75707291,
all,Browser,50,10,50,10,2048,16,true,31,61089174,62143761,
all,Browser,50,10,50,10,2048,16,false,30,63637942,62554625,
all,Browser,50,10,50,10,2048,256,true,31,61121100,65309122,
all,Browser,50,10,50,10,2048,256,false,31,66843052,65720190,
all,Browser,50,10,50,10,2048,1024,true,34,61222290,75437531,
all,Browser,50,10,50,10,2048,1024,false,32,77098570,75847723,
all,Browser,50,10,50,10,2048,2048,true,37,61357070,88940299,
all,Browser,50,10,50,10,2048,2048,false,34,90771794,89351175,
all,Browser,50,15,50,15,1024,16,true,28,47039662,48500285,
all,Browser,50,15,50,15,1024,16,false,27,49588466,48911317,
all,Browser,50,15,50,15,1024,256,true,28,47071576,51665934,
all,Browser,50,15,50,15,1024,256,false,27,52793588,52076834,
all,Browser,50,15,50,15,1024,1024,true,31,47172886,61794115,
all,Browser,50,15,50,15,1024,1024,false,28,63048710,62204535,
all,Browser,50,15,50,15,1024,2048,true,34,47307210,75296811,
all,Browser,50,15,50,15,1024,2048,false,34,76722042,75707435,
all,Browser,50,15,50,15,2048,16,true,33,61089102,62144085,
all,Browser,50,15,50,15,2048,16,false,32,63637858,62554289,
all,Browser,50,15,50,15,2048,256,true,34,61121052,65309134,
all,Browser,50,15,50,15,2048,256,false,33,66843040,65720238,
all,Browser,50,15,50,15,2048,1024,true,36,61222014,75437135,
all,Browser,50,15,50,15,2048,1024,false,34,77098426,75848299,
