kind,name,bandwith(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
Browser,all,50,10,1024,16,47039758,48500177,25000,0
Browser,all,50,10,1024,256,47071660,51665850,26000,0
Browser,all,50,10,1024,1024,47172910,61793971,28000,0
Browser,all,50,10,1024,2048,47307642,75297051,31000,0
Browser,all,50,10,2048,16,61089174,62143761,31000,0
Browser,all,50,10,2048,256,61121100,65309122,31000,0
Browser,all,50,10,2048,1024,61222290,75437531,34000,0
Browser,all,50,10,2048,2048,61357070,88940299,37000,0
Browser,all,50,15,1024,16,47039662,48500285,28000,0
Browser,all,50,15,1024,256,47071576,51665934,28000,0
Browser,all,50,15,1024,1024,47172886,61794115,31000,0
Browser,all,50,15,1024,2048,47307210,75296811,34000,0
Browser,all,50,15,2048,16,61089102,62144085,33000,0
Browser,all,50,15,2048,256,61121052,65309134,34000,0
Browser,all,50,15,2048,1024,61222014,75437135,36000,0
Browser,all,50,15,2048,2048,61356542,88940407,39000,0
Browser,all,50,20,1024,16,47039410,48500621,30000,0
Browser,all,50,20,1024,256,47071408,51666210,30000,0
Browser,all,50,20,1024,1024,47172574,61794019,33000,0
Browser,all,50,20,1024,2048,47307078,75296907,36000,0
Browser,all,50,20,2048,16,61088982,62144001,36000,0
Browser,all,50,20,2048,256,61120800,65309518,36000,0
Browser,all,50,20,2048,1024,61221966,75437315,39000,0
Browser,all,50,20,2048,2048,61356398,88940803,45000,0
Browser,all,100,10,1024,16,47039710,48500105,19000,0
Browser,all,100,10,1024,256,47071444,51665538,19000,0
Browser,all,100,10,1024,1024,47172682,61793515,21000,0
Browser,all,100,10,1024,2048,47307066,75296463,23000,0
Browser,all,100,10,2048,16,61089294,62143545,23000,0
Browser,all,100,10,2048,256,61121040,65309014,24000,0
Browser,all,100,10,2048,1024,61222386,75436919,26000,0
Browser,all,100,10,2048,2048,61356770,88939915,28000,0
Browser,all,100,15,1024,16,47039734,48500645,23000,0
Browser,all,100,15,1024,256,47071456,51665982,23000,0
Browser,all,100,15,1024,1024,47172694,61793719,24000,0
Browser,all,100,15,1024,2048,47307030,75296547,26000,0
Browser,all,100,15,2048,16,61089162,62143869,28000,0
Browser,all,100,15,2048,256,61120884,65309326,28000,0
Browser,all,100,15,2048,1024,61222074,75437291,30000,0
Browser,all,100,15,2048,2048,61356530,88940371,31000,0
Browser,all,100,20,1024,16,47039482,48500621,25000,0
Browser,all,100,20,1024,256,47071444,51665646,25000,0
Browser,all,100,20,1024,1024,47172490,61793863,27000,0
Browser,all,100,20,1024,2048,47307054,75297099,29000,0
Browser,all,100,20,2048,16,61089114,62144013,32000,0
Browser,all,100,20,2048,256,61120824,65309278,32000,0
Browser,all,100,20,2048,1024,61222182,75437471,33000,0
Browser,all,100,20,2048,2048,61356242,88940311,35000,0
Browser,all,200,10,1024,16,47039362,48500033,17000,0
Browser,all,200,10,1024,256,47071312,51665454,17000,0
Browser,all,200,10,1024,1024,47172550,61793455,18000,0
Browser,all,200,10,1024,2048,47306862,75296391,19000,0
Browser,all,200,10,2048,16,61088994,62143713,21000,0
Browser,all,200,10,2048,256,61120848,65308882,21000,0
Browser,all,200,10,2048,1024,61222014,75436835,22000,0
Browser,all,200,10,2048,2048,61356458,88939867,23000,0
Browser,all,200,15,1024,16,47039398,48500033,20000,0
Browser,all,200,15,1024,256,47071288,51665490,20000,0
Browser,all,200,15,1024,1024,47172382,61793371,21000,0
Browser,all,200,15,1024,2048,47306718,75296415,22000,0
Browser,all,200,15,2048,16,61088958,62143497,25000,0
Browser,all,200,15,2048,256,61120860,65308906,26000,0
Browser,all,200,15,2048,1024,61221882,75436799,26000,0
Browser,all,200,15,2048,2048,61356242,88939807,28000,0
Browser,all,200,20,1024,16,47039410,48500549,22000,0
Browser,all,200,20,1024,256,47071228,51665922,23000,0
Browser,all,200,20,1024,1024,47172322,61794079,24000,0
Browser,all,200,20,1024,2048,47306706,75296895,26000,0
Browser,all,200,20,2048,16,61088766,62144193,29000,0
Browser,all,200,20,2048,256,61120716,65309290,29000,0
Browser,all,200,20,2048,1024,61221978,75437207,30000,0
Browser,all,200,20,2048,2048,61356074,88940551,32000,0
