kind,name,bandwidth(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
Browser,all,50,10,1024,16,49587914,48910681,39000,0
Browser,all,50,10,1024,256,52793060,52076150,39000,0
Browser,all,50,10,1024,1024,63048674,62204415,42000,0
Browser,all,50,10,1024,2048,76721718,75707159,50000,0
Browser,all,50,10,2048,16,63637306,62554193,48000,0
Browser,all,50,10,2048,256,66842344,65719554,49000,0
Browser,all,50,10,2048,1024,77097694,75847543,50000,0
Browser,all,50,10,2048,2048,90771086,89350599,54000,0
Browser,all,50,15,1024,16,49587914,48910705,41000,0
Browser,all,50,15,1024,256,52792976,52076138,41000,0
Browser,all,50,15,1024,1024,63048290,62204067,43000,0
Browser,all,50,15,1024,2048,76721514,75707135,53000,0
Browser,all,50,15,2048,16,63637210,62554109,50000,0
Browser,all,50,15,2048,256,66842320,65719578,51000,0
Browser,all,50,15,2048,1024,77097610,75847471,53000,0
Browser,all,50,15,2048,2048,90770822,89350539,55000,0
Browser,all,50,20,1024,16,49587902,48910729,42000,0
Browser,all,50,20,1024,256,52793024,52076210,43000,0
Browser,all,50,20,1024,1024,63048278,62204055,44000,0
Browser,all,50,20,1024,2048,76721502,75707111,54000,0
Browser,all,50,20,2048,16,63637318,62554265,52000,0
Browser,all,50,20,2048,256,66842320,65719554,52000,0
Browser,all,50,20,2048,1024,77097610,75847483,54000,0
Browser,all,50,20,2048,2048,90770822,89350767,57000,0
Browser,all,100,10,1024,16,49587914,48910705,40000,0
Browser,all,100,10,1024,256,52792988,52076150,41000,0
Browser,all,100,10,1024,1024,63048302,62204091,42000,0
Browser,all,100,10,1024,2048,76721538,75707159,50000,0
Browser,all,100,10,2048,16,63637234,62554169,48000,0
Browser,all,100,10,2048,256,66842332,65719602,50000,0
Browser,all,100,10,2048,1024,77097646,75847531,52000,0
Browser,all,100,15,2048,2048,90770846,89350575,54000,0
Browser,all,100,15,1024,16,49587914,48910705,40000,0
Browser,all,100,15,1024,256,52792988,52076150,41000,0
Browser,all,100,15,1024,1024,63048302,62204091,43000,0
Browser,all,100,15,1024,2048,76721538,75707159,51000,0
Browser,all,100,15,2048,16,63637234,62554169,49000,0
Browser,all,100,15,2048,256,66842332,65719602,50000,0
Browser,all,100,15,2048,1024,77097646,75847531,52000,0
Browser,all,100,15,2048,2048,90770846,89350575,55000,0
Browser,all,100,20,1024,16,49587890,48910729,41000,0
Browser,all,100,20,1024,256,52792988,52076174,42000,0
Browser,all,100,20,1024,1024,63048374,62204091,44000,0
Browser,all,100,20,1024,2048,76721502,75707159,53000,0
Browser,all,100,20,2048,16,63637222,62554193,51000,0
Browser,all,100,20,2048,256,66842320,65719614,51000,0
Browser,all,100,20,2048,1024,77097598,75847507,53000,0
Browser,all,100,20,2048,2048,90770978,89350563,56000,0
Browser,all,200,10,1024,16,49587902,48910741,38000,0
Browser,all,200,10,1024,256,52793108,52076174,39000,0
Browser,all,200,10,1024,1024,63048470,62204391,42000,0
Browser,all,200,10,1024,2048,76721718,75707147,50000,0
Browser,all,200,10,2048,16,63637402,62554493,47000,0
Browser,all,200,10,2048,256,66842332,65719602,47000,0
Browser,all,200,10,2048,1024,77097610,75847495,50000,0
Browser,all,200,10,2048,2048,90771422,89351103,53000,0
Browser,all,200,15,1024,16,49588154,48911185,41000,0
Browser,all,200,15,1024,256,52793276,52076702,41000,0
Browser,all,200,15,1024,1024,63048374,62204079,43000,0
Browser,all,200,15,1024,2048,76721982,75707879,52000,0
Browser,all,200,15,2048,16,63637450,62554469,50000,0
Browser,all,200,15,2048,256,66842680,65719926,51000,0
Browser,all,200,15,2048,1024,77097598,75847543,52000,0
Browser,all,200,15,2048,2048,90771242,89351115,55000,0
Browser,all,200,20,1024,16,49587902,48910705,41000,0
Browser,all,200,20,1024,256,52793048,52076366,43000,0
Browser,all,200,20,1024,1024,63048302,62204091,44000,0
Browser,all,200,20,1024,2048,76721538,75707531,53000,0
Browser,all,200,20,2048,16,63637246,62554433,51000,0
Browser,all,200,20,2048,256,66842308,65719590,52000,0
Browser,all,200,20,2048,1024,77097646,75847699,54000,0
Browser,all,200,20,2048,2048,90770966,89350911,56000,0
