name,kind,upload,upload_delay,download,download_delay,upload_size,download_size,defer_decryption,runtime,uploaded,downloaded,heap_max_bytes
all,Native,50,10,50,10,1024,16,true,18,47039854,48500585,137326884
all,Native,50,10,50,10,1024,16,false,18,49588646,48911473,136807828
all,Native,50,10,50,10,1024,256,true,19,47071756,51666030,133118395
all,Native,50,10,50,10,1024,256,false,19,52793792,52076882,140546681
all,Native,50,10,50,10,1024,1024,true,20,47172838,61793899,133419454
all,Native,50,10,50,10,1024,1024,false,20,63049502,62204823,151410332
all,Native,50,10,50,10,1024,2048,true,22,47307318,75297039,133821118
all,Native,50,10,50,10,1024,2048,false,23,76722762,75707975,165914356
all,Native,50,10,50,10,2048,16,true,21,61089282,62144133,147473552
all,Native,50,10,50,10,2048,16,false,21,63638326,62554889,151240556
all,Native,50,10,50,10,2048,256,true,22,61121160,65309590,147567635
all,Native,50,10,50,10,2048,256,false,21,66843220,65720418,154618193
all,Native,50,10,50,10,2048,1024,true,23,61222566,75437483,147868950
all,Native,50,10,50,10,2048,1024,false,23,77098810,75848431,165516020
all,Native,50,10,50,10,2048,2048,true,27,61356842,88940623,148270102
all,Native,50,10,50,10,2048,2048,false,25,90771902,89351571,180607052
all,Native,50,15,50,15,1024,16,true,18,47039386,48500477,137326884
all,Native,50,15,50,15,1024,16,false,20,49588322,48911077,136807828
all,Native,50,15,50,15,1024,256,true,21,47071360,51665802,133118395
all,Native,50,15,50,15,1024,256,false,21,52793372,52076510,140546809
all,Native,50,15,50,15,1024,1024,true,23,47172502,61793731,133419454
all,Native,50,15,50,15,1024,1024,false,22,63049046,62204511,151410204
all,Native,50,15,50,15,1024,2048,true,26,47306778,75296703,133821118
all,Native,50,15,50,15,1024,2048,false,26,76722054,75707663,165914100
all,Native,50,15,50,15,2048,16,true,24,61089306,62144073,147473808
all,Native,50,15,50,15,2048,16,false,24,63637726,62554601,151238764
all,Native,50,15,50,15,2048,256,true,25,61121160,65309398,147567891
all,Native,50,15,50,15,2048,256,false,24,66842944,65720214,154617937
all,Native,50,15,50,15,2048,1024,true,27,61222170,75437399,147868694
all,Native,50,15,50,15,2048,1024,false,26,77098522,75848059,165516148
all,Native,50,15,50,15,2048,2048,true,30,61356410,88940383,148270358
all,Native,50,15,50,15,2048,2048,false,27,90772118,89351211,180623436
all,Native,50,20,50,20,1024,16,true,23,47039590,48500381,137327140
all,Native,50,20,50,20,1024,16,false,23,49588262,48910993,136807828
all,Native,50,20,50,20,1024,256,true,24,47071336,51665826,133118267
all,Native,50,20,50,20,1024,256,false,23,52793516,52076462,140546681
all,Native,50,20,50,20,1024,1024,true,25,47172694,61793839,133435838
