kind,name,bandwidth(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
Native,all,50,10,1024,16,47039854,48500585,18000,134108
Native,all,50,10,1024,256,47071756,51666030,19000,129998
Native,all,50,10,1024,1024,47172838,61793899,20000,130292
Native,all,50,10,1024,2048,47307318,75297039,22000,130685
Native,all,50,10,2048,16,61089282,62144133,21000,144017
Native,all,50,10,2048,256,61121160,65309590,22000,144109
Native,all,50,10,2048,1024,61222566,75437483,23000,144403
Native,all,50,10,2048,2048,61356842,88940623,27000,144795
Native,all,50,15,1024,16,47039386,48500477,18000,134108
Native,all,50,15,1024,256,47071360,51665802,21000,129998
Native,all,50,15,1024,1024,47172502,61793731,23000,130292
Native,all,50,15,1024,2048,47306778,75296703,26000,130685
Native,all,50,15,2048,16,61089306,62144073,24000,144017
Native,all,50,15,2048,256,61121160,65309398,25000,144109
Native,all,50,15,2048,1024,61222170,75437399,27000,144403
Native,all,50,15,2048,2048,61356410,88940383,30000,144795
Native,all,50,20,1024,16,47039590,48500381,23000,134109
Native,all,50,20,1024,256,47071336,51665826,24000,129998
Native,all,50,20,1024,1024,47172694,61793839,25000,130308
Native,all,50,20,1024,2048,47307282,75296979,28000,130685
Native,all,50,20,2048,16,61089186,62143917,27000,144033
Native,all,50,20,2048,256,61120812,65309386,28000,144125
Native,all,50,20,2048,1024,61221954,75437303,30000,144419
Native,all,50,20,2048,2048,61356602,88940275,33000,144795
Native,all,100,10,1024,16,47039566,48500369,14000,134116
Native,all,100,10,1024,256,47071492,51665790,15000,130005
Native,all,100,10,1024,1024,47172826,61793947,16000,130299
Native,all,100,10,1024,2048,47307450,75297363,18000,130690
Native,all,100,10,2048,16,61089186,62143929,17000,144024
Native,all,100,10,2048,256,61121052,65309422,18000,144116
Native,all,100,10,2048,1024,61222182,75437375,19000,144410
Native,all,100,10,2048,2048,61356662,88940539,21000,144802
Native,all,100,15,1024,16,47039146,48500633,16000,134115
Native,all,100,15,1024,256,47071216,51665754,17000,130021
Native,all,100,15,1024,1024,47172406,61793803,19000,130316
Native,all,100,15,1024,2048,47306814,75296895,21000,130690
Native,all,100,15,2048,16,61088730,62143881,20000,144023
Native,all,100,15,2048,256,61120632,65309326,21000,144115
Native,all,100,15,2048,1024,61221786,75437231,22000,144411
Native,all,100,15,2048,2048,61356050,88940227,24000,144817
Native,all,100,20,1024,16,47039242,48500225,19000,134114
Native,all,100,20,1024,256,47071144,51665658,19000,130022
Native,all,100,20,1024,1024,47172298,61793563,21000,130315
Native,all,100,20,1024,2048,47306634,75296547,23000,130690
Native,all,100,20,2048,16,61088694,62143713,22000,144039
Native,all,100,20,2048,256,61120584,65309170,23000,144116
Native,all,100,20,2048,1024,61221738,75437051,25000,144408
Native,all,100,20,2048,2048,61356074,88940047,26000,144801
Native,all,200,10,1024,16,47039554,48500597,15000,134116
Native,all,200,10,1024,256,47071576,51665910,16000,130006
Native,all,200,10,1024,1024,47172766,61793947,16000,130300
Native,all,200,10,1024,2048,47307078,75297243,19000,130694
Native,all,200,10,2048,16,61089282,62144061,20000,144024
Native,all,200,10,2048,256,61121172,65309494,20000,144133
Native,all,200,10,2048,1024,61222362,75437423,21000,144410
Native,all,200,10,2048,2048,61356650,88940635,23000,144803
Native,all,200,15,1024,16,47039302,48500297,18000,134116
Native,all,200,15,1024,256,47071204,51665730,19000,130022
Native,all,200,15,1024,1024,47172310,61793635,20000,130300
Native,all,200,15,1024,2048,47307270,75297171,22000,130692
Native,all,200,15,2048,16,61088874,62143881,23000,144041
Native,all,200,15,2048,256,61120764,65309314,23000,144117
Native,all,200,15,2048,1024,61221774,75437195,24000,144412
Native,all,200,15,2048,2048,61356242,88940467,26000,144802
Native,all,200,20,1024,16,47039290,48500309,20000,134116
Native,all,200,20,1024,256,47071288,51665766,21000,130008
Native,all,200,20,1024,1024,47172370,61793755,21000,130316
Native,all,200,20,1024,2048,47306694,75296643,24000,130708
Native,all,200,20,2048,16,61088718,62143869,25000,144024
Native,all,200,20,2048,256,61120620,65309290,25000,144134
Native,all,200,20,2048,1024,61222074,75437183,27000,144428
Native,all,200,20,2048,2048,61356410,88940191,29000,144821
