kind,name,bandwith(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
Native,all,50,10,1024,16,49588646,48911473,18000,133601
Native,all,50,10,1024,256,52793792,52076882,19000,137253
Native,all,50,10,1024,1024,63049502,62204823,20000,147862
Native,all,50,10,1024,2048,76722762,75707975,23000,162026
Native,all,50,10,2048,16,63638326,62554889,21000,147696
Native,all,50,10,2048,256,66843220,65720418,21000,150994
Native,all,50,10,2048,1024,77098810,75848431,23000,161637
Native,all,50,10,2048,2048,90771902,89351571,25000,176374
Native,all,50,15,1024,16,49588322,48911077,20000,133601
Native,all,50,15,1024,256,52793372,52076510,21000,137253
Native,all,50,15,1024,1024,63049046,62204511,22000,147862
Native,all,50,15,1024,2048,76722054,75707663,26000,162025
Native,all,50,15,2048,16,63637726,62554601,24000,147694
Native,all,50,15,2048,256,66842944,65720214,24000,150994
Native,all,50,15,2048,1024,77098522,75848059,26000,161637
Native,all,50,15,2048,2048,90772118,89351211,27000,176390
Native,all,50,20,1024,16,49588262,48910993,23000,133601
Native,all,50,20,1024,256,52793516,52076462,23000,137253
Native,all,50,20,1024,1024,63048686,62204451,23000,147862
Native,all,50,20,1024,2048,76722174,75707591,28000,162043
Native,all,50,20,2048,16,63637666,62554553,27000,147694
Native,all,50,20,2048,256,66842836,65719974,27000,151010
Native,all,50,20,2048,1024,77098474,75847975,28000,161652
Native,all,50,20,2048,2048,90771446,89351487,29000,176390
Native,all,100,10,1024,16,49588382,48910933,14000,133609
Native,all,100,10,1024,256,52793504,52076606,15000,137261
Native,all,100,10,1024,1024,63049022,62204499,16000,147870
Native,all,100,10,1024,2048,76722486,75707603,19000,162033
Native,all,100,10,2048,16,63638014,62554601,17000,147700
Native,all,100,10,2048,256,66843112,65720046,18000,151002
Native,all,100,10,2048,1024,77098486,75848083,19000,161644
Native,all,100,10,2048,2048,90771758,89351163,21000,176381
Native,all,100,15,1024,16,49588142,48910933,17000,133609
Native,all,100,15,1024,256,52793216,52076366,17000,137259
Native,all,100,15,1024,1024,63048542,62204379,18000,147870
Native,all,100,15,1024,2048,76722006,75707555,22000,162034
Native,all,100,15,2048,16,63637558,62554505,20000,147718
Native,all,100,15,2048,256,66842740,65719974,21000,151018
Native,all,100,15,2048,1024,77098006,75847963,22000,161644
Native,all,100,15,2048,2048,90771410,89351103,24000,176381
Native,all,100,20,1024,16,49587998,48910909,19000,133609
Native,all,100,20,1024,256,52793096,52076318,19000,137276
Native,all,100,20,1024,1024,63048542,62204403,20000,147870
Native,all,100,20,1024,2048,76721898,75707531,25000,162033
Native,all,100,20,2048,16,63637474,62554505,24000,147700
Native,all,100,20,2048,256,66842584,65719938,23000,151003
Native,all,100,20,2048,1024,77097994,75847963,24000,161644
Native,all,100,20,2048,2048,90771290,89351079,25000,176397
Native,all,200,10,1024,16,49588466,48911113,15000,133613
Native,all,200,10,1024,256,52793516,52076630,14000,137261
Native,all,200,10,1024,1024,63049022,62204727,17000,147870
Native,all,200,10,1024,2048,76722498,75707771,21000,162037
Native,all,200,10,2048,16,63638002,62554673,17000,147703
Native,all,200,10,2048,256,66843148,65720406,20000,151005
Native,all,200,10,2048,1024,77098474,75848251,19000,161649
Native,all,200,10,2048,2048,90771962,89351907,23000,176383
Native,all,200,15,1024,16,49588214,48910897,18000,133610
Native,all,200,15,1024,256,52793276,52076354,18000,137262
Native,all,200,15,1024,1024,63048854,62204403,19000,147872
Native,all,200,15,1024,2048,76722078,75707543,24000,162035
Native,all,200,15,2048,16,63637582,62554517,20000,147703
Native,all,200,15,2048,256,66842740,65719950,21000,151003
Native,all,200,15,2048,1024,77098174,75847975,22000,161646
Native,all,200,15,2048,2048,90771794,89351463,27000,176383
Native,all,200,20,1024,16,49588094,48910921,20000,133613
Native,all,200,20,1024,256,52793228,52076330,19000,137262
Native,all,200,20,1024,1024,63048674,62204379,21000,147890
Native,all,200,20,1024,2048,76721910,75707555,26000,162053
Native,all,200,20,2048,16,63637522,62554457,25000,147718
Native,all,200,20,2048,256,66842572,65719794,22000,151004
Native,all,200,20,2048,1024,77098066,75847951,26000,161646
Native,all,200,20,2048,2048,90771398,89351127,26000,176400
