kind,name,bandwith(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(KB),cost(ms)
native,test_protocol,50,10,1024,16,22996,5225.174
native,test_protocol,50,10,1024,256,23008,5220.024
native,test_protocol,50,10,1024,1024,23040,5257.857
native,test_protocol,50,10,1024,2048,23080,5258.232
native,test_protocol,50,10,2048,16,33409,7069.454
native,test_protocol,50,10,2048,256,33421,7056.949
native,test_protocol,50,10,2048,1024,33449,7066.141
native,test_protocol,50,10,2048,2048,33489,7096.007
native,test_protocol,50,15,1024,16,22996,5593.342
native,test_protocol,50,15,1024,256,23008,5597.97
native,test_protocol,50,15,1024,1024,23040,5623.849
native,test_protocol,50,15,1024,2048,23080,5649.909
native,test_protocol,50,15,2048,16,33409,7441.236
native,test_protocol,50,15,2048,256,33421,7447.511
native,test_protocol,50,15,2048,1024,33449,7476.587
native,test_protocol,50,15,2048,2048,33489,7497.817
native,test_protocol,50,20,1024,16,22996,5986.996
native,test_protocol,50,20,1024,256,23008,6053.664
native,test_protocol,50,20,1024,1024,23040,6035.867
native,test_protocol,50,20,1024,2048,23080,6058.833
native,test_protocol,50,20,2048,16,33409,7871.415
native,test_protocol,50,20,2048,256,33421,7874.361
native,test_protocol,50,20,2048,1024,33449,7881.507
native,test_protocol,50,20,2048,2048,33489,7918.914
native,test_protocol,100,10,1024,16,22996,3128.813
native,test_protocol,100,10,1024,256,23008,3108.334
native,test_protocol,100,10,1024,1024,23040,3126.625
native,test_protocol,100,10,1024,2048,23080,3179.605
native,test_protocol,100,10,2048,16,33409,4062.911
native,test_protocol,100,10,2048,256,33421,4075.25
native,test_protocol,100,10,2048,1024,33449,4092.821
native,test_protocol,100,10,2048,2048,33489,4109.942
native,test_protocol,100,15,1024,16,22996,3522.735
native,test_protocol,100,15,1024,256,23008,3539.158
native,test_protocol,100,15,1024,1024,23040,3530.425
native,test_protocol,100,15,1024,2048,23080,3546.227
native,test_protocol,100,15,2048,16,33409,4548.799
native,test_protocol,100,15,2048,256,33421,4495.092
native,test_protocol,100,15,2048,1024,33449,4510.122
native,test_protocol,100,15,2048,2048,33489,4544.073
native,test_protocol,100,20,1024,16,22996,3904.068
native,test_protocol,100,20,1024,256,23008,3920.851
native,test_protocol,100,20,1024,1024,23040,3981.559
native,test_protocol,100,20,1024,2048,23080,3961.359
native,test_protocol,100,20,2048,16,33409,4921.76
native,test_protocol,100,20,2048,256,33421,4916.142
