kind,name,bandwith(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(KB),cost(ms)
native,test_protocol,50,10,1024,16,1237,5342.215
native,test_protocol,50,10,1024,256,1237,5278.884
native,test_protocol,50,10,1024,1024,1237,5338.559
native,test_protocol,50,10,1024,2048,1237,5325.541
native,test_protocol,50,10,2048,16,1366,7133.68
native,test_protocol,50,10,2048,256,1366,7105.895
native,test_protocol,50,10,2048,1024,1366,7119.186
native,test_protocol,50,10,2048,2048,1366,7154.836
native,test_protocol,50,15,1024,16,1237,5657.126
native,test_protocol,50,15,1024,256,1237,5667.637
native,test_protocol,50,15,1024,1024,1237,5681.798
native,test_protocol,50,15,1024,2048,1237,5721.726
native,test_protocol,50,15,2048,16,1366,7503.711
native,test_protocol,50,15,2048,256,1366,7516.863
native,test_protocol,50,15,2048,1024,1366,7543.623
native,test_protocol,50,15,2048,2048,1366,7568.346
native,test_protocol,50,20,1024,16,1237,6073.514
native,test_protocol,50,20,1024,256,1237,6136.529
native,test_protocol,50,20,1024,1024,1237,6116.131
native,test_protocol,50,20,1024,2048,1237,6140.085
native,test_protocol,50,20,2048,16,1366,7940.905
native,test_protocol,50,20,2048,256,1366,7958.341
native,test_protocol,50,20,2048,1024,1366,7963.614
native,test_protocol,50,20,2048,2048,1366,7995.333
native,test_protocol,100,10,1024,16,1237,3180.547
native,test_protocol,100,10,1024,256,1237,3170.15
native,test_protocol,100,10,1024,1024,1237,3195.453
native,test_protocol,100,10,1024,2048,1237,3235.303
native,test_protocol,100,10,2048,16,1366,4111.082
native,test_protocol,100,10,2048,256,1366,4132.556
native,test_protocol,100,10,2048,1024,1366,4141.508
native,test_protocol,100,10,2048,2048,1366,4176.775
native,test_protocol,100,15,1024,16,1237,3590.128
native,test_protocol,100,15,1024,256,1237,3596.786
native,test_protocol,100,15,1024,1024,1237,3585.509
native,test_protocol,100,15,1024,2048,1237,3617.897
native,test_protocol,100,15,2048,16,1366,4624.652
native,test_protocol,100,15,2048,256,1366,4555.455
native,test_protocol,100,15,2048,1024,1366,4582.409
native,test_protocol,100,15,2048,2048,1366,4597.624
native,test_protocol,100,20,1024,16,1237,3963.75
native,test_protocol,100,20,1024,256,1237,3997.314
native,test_protocol,100,20,1024,1024,1237,4068.78
native,test_protocol,100,20,1024,2048,1237,4041.395
native,test_protocol,100,20,2048,16,1366,4988.0
native,test_protocol,100,20,2048,256,1366,4991.589
native,test_protocol,100,20,2048,1024,1366,5023.8
native,test_protocol,100,20,2048,2048,1366,5040.13
native,test_prot_on_off,50,10,1024,16,984,5371.838
native,test_prot_on_off,50,10,1024,256,984,5427.736
native,test_prot_on_off,50,10,1024,1024,984,5407.631
native,test_prot_on_off,50,10,1024,2048,984,5442.87
native,test_prot_on_off,50,10,2048,16,1113,7281.657
native,test_prot_on_off,50,10,2048,256,1113,7301.636
native,test_prot_on_off,50,10,2048,1024,1113,7286.417
native,test_prot_on_off,50,10,2048,2048,1113,7336.707
native,test_prot_on_off,50,15,1024,16,984,5796.38
native,test_prot_on_off,50,15,1024,256,984,5791.825
native,test_prot_on_off,50,15,1024,1024,984,5815.179
native,test_prot_on_off,50,15,1024,2048,984,5842.713
native,test_prot_on_off,50,15,2048,16,1113,7675.092
native,test_prot_on_off,50,15,2048,256,1113,7677.301
native,test_prot_on_off,50,15,2048,1024,1113,7692.751
native,test_prot_on_off,50,15,2048,2048,1113,7722.39
native,test_prot_on_off,50,20,1024,16,984,6202.281
native,test_prot_on_off,50,20,1024,256,984,6216.319
native,test_prot_on_off,50,20,1024,1024,984,6277.099
native,test_prot_on_off,50,20,1024,2048,984,6264.02
native,test_prot_on_off,50,20,2048,16,1113,8073.117
native,test_prot_on_off,50,20,2048,256,1113,8104.353
native,test_prot_on_off,50,20,2048,1024,1113,8141.641
native,test_prot_on_off,50,20,2048,2048,1113,8121.555
native,test_prot_on_off,100,10,1024,16,984,3276.65
native,test_prot_on_off,100,10,1024,256,984,3287.621
native,test_prot_on_off,100,10,1024,1024,984,3300.16
native,test_prot_on_off,100,10,1024,2048,984,3327.601
native,test_prot_on_off,100,10,2048,16,1113,4290.168
native,test_prot_on_off,100,10,2048,256,1113,4300.777
native,test_prot_on_off,100,10,2048,1024,1113,4258.818
native,test_prot_on_off,100,10,2048,2048,1113,4310.576
native,test_prot_on_off,100,15,1024,16,984,3666.649
native,test_prot_on_off,100,15,1024,256,984,3673.832
native,test_prot_on_off,100,15,1024,1024,984,3695.238
native,test_prot_on_off,100,15,1024,2048,984,3737.152
native,test_prot_on_off,100,15,2048,16,1113,4697.562
native,test_prot_on_off,100,15,2048,256,1113,4716.939
native,test_prot_on_off,100,15,2048,1024,1113,4704.448
native,test_prot_on_off,100,15,2048,2048,1113,4735.299
native,test_prot_on_off,100,20,1024,16,984,4133.014
native,test_prot_on_off,100,20,1024,256,984,4131.292
native,test_prot_on_off,100,20,1024,1024,984,4161.985
native,test_prot_on_off,100,20,1024,2048,984,4193.437
native,test_prot_on_off,100,20,2048,16,1113,5115.638
native,test_prot_on_off,100,20,2048,256,1113,5135.844
native,test_prot_on_off,100,20,2048,1024,1113,5113.214
native,test_prot_on_off,100,20,2048,2048,1113,5183.034
native,test_prove_proxy_tls,50,10,1024,16,770,721.49
native,test_prove_proxy_tls,50,10,1024,256,770,710.105
native,test_prove_proxy_tls,50,10,1024,1024,770,744.395
native,test_prove_proxy_tls,50,10,1024,2048,770,783.035
native,test_prove_proxy_tls,50,10,2048,16,770,699.425
native,test_prove_proxy_tls,50,10,2048,256,770,709.372
