send_bytes(B),recv_bytes(B)
20625,14241
20367,14402
20631,14402
20629,14352
33937,22591
33941,22594
33944,22596
33942,22390
20677,14397
20680,14402
20682,14404
20683,14402
33990,22591
34045,22591
33996,22597
33996,22597
20625,14396
20680,14399
20683,14402
20682,14403
33990,22589
33986,22583
33996,22597
33996,22597
20624,14186
20367,14242
20369,14402
20631,14351
33936,22386
33941,22594
33943,22548
33944,22595
20677,14395
20608,14348
20683,14404
20683,14405
33990,22590
33993,22595
33995,22599
33996,22597
20677,14399
20628,14399
20682,14403
20683,14403
33989,22591
33985,22584
33996,22597
33996,22597
20365,14189
20628,14348
20631,14404
20631,14350
33677,22435
33680,22594
33683,22440
33684,22597
20677,14399
20680,14402
20683,14401
20682,14402
33990,22591
33993,22594
33996,22595
33996,22597
20677,14397
20678,14401
20682,14402
20683,14405
33990,22590
33993,22596
33996,22597
33996,22596
