send_bytes(B),recv_bytes(B)
20793,14419
20628,14398
20631,14403
20631,14402
33677,22590
33680,22541
33683,22544
33944,22595
20677,14397
20678,14397
20682,14404
20682,14402
33990,22591
33986,22583
33996,22597
33995,22599
20729,14396
20679,14399
20682,14402
20683,14403
34042,22593
33992,22594
33996,22599
33996,22596
20364,14242
20368,14402
20630,14194
20371,14249
33677,22591
33941,22594
33943,22443
33682,22545
20671,14387
20608,14348
20683,14402
20682,14402
34042,22592
33940,22593
33994,22596
33944,22596
20676,14395
20627,14401
20683,14407
20683,14403
33990,22591
33992,22595
33943,22599
33944,22598
20677,14397
20627,14348
20552,14236
20631,14195
33937,22381
33941,22387
33944,22597
33938,22589
20675,14397
20673,14391
20675,14392
20683,14403
33988,22591
33993,22593
33996,22594
33995,22597
20677,14396
20680,14400
20683,14405
20683,14403
33990,22591
33993,22594
33995,22601
33996,22596
