send_bytes(B),recv_bytes(B)
20584,14433
20587,14436
20331,14439
20435,14441
33898,22576
33744,22790
33643,22790
33644,22633
20637,14591
20640,14593
20643,14597
20643,14599
33949,22786
33952,22788
33956,22791
33956,22790
20689,14591
20639,14596
20643,14595
20642,14598
33950,22784
33953,22786
33955,22791
33956,22791
20325,14591
20327,14438
20330,14440
20591,14441
33897,22735
33641,22791
33643,22585
33904,22792
20637,14591
20639,14595
20590,14599
20695,14596
33930,22732
33947,22778
34008,22791
34007,22791
20636,14594
20639,14593
20641,14595
20641,14596
34002,22783
33999,22777
33954,22793
33956,22793
20585,14385
20582,14428
20330,14595
20591,14597
33898,22629
33640,22788
33903,22583
33904,22583
20636,14591
20640,14594
20591,14598
20643,14596
33949,22784
33999,22778
33956,22791
33956,22791
20637,14594
20691,14594
20643,14597
20641,14597
34001,22784
33952,22788
33954,22789
33956,22790
