send_bytes(B),recv_bytes(B)
19030,19395
20461,20698
25659,25130
32610,31214
30592,32198
32187,33549
37583,38030
44409,44041
19023,19393
20528,20760
25673,25301
32615,31217
30589,32193
32188,33552
37584,38028
44407,44043
19029,19389
20458,20697
25672,25300
32610,31217
30589,32198
32186,33547
37584,38027
44412,44040
19029,19388
20467,20706
25661,25137
32612,31227
30588,32193
32187,33548
37584,38027
44345,43872
19029,19390
20524,20752
25656,25135
32610,31215
30592,32199
32191,33560
37593,38196
44340,43873
19027,19392
20463,20696
25658,25131
32610,31216
30587,32200
32186,33552
37596,38201
44345,43876
19028,19392
20460,20693
25656,25130
32608,31216
30590,32096
32138,33547
37584,38031
44409,44042
19024,19387
20462,20596
25657,25135
32610,31211
30591,32198
32189,33446
37585,38034
44410,44040
18960,19261
20461,20698
25675,25260
32545,31048
30598,32208
32190,33562
37598,38197
44411,44036
