send_bytes(B),recv_bytes(B)
15842,16259
19156,19072
30482,29399
45224,42576
22941,24218
26484,27370
37643,37431
52501,50783
15837,16254
19222,19129
30496,29570
45226,42576
22940,24218
26482,27373
37644,37433
52504,50780
15839,16251
19159,19071
30499,29575
45225,42578
22936,24216
26482,27367
37640,37431
52499,50785
15837,16254
19164,19078
30483,29407
45227,42589
22937,24219
26486,27370
37641,37426
52435,50618
15839,16254
19221,19127
30482,29402
45226,42579
22940,24215
26491,27376
37659,37601
52437,50609
15835,16253
19157,19074
30481,29400
45226,42575
22938,24221
26482,27369
37656,37598
52433,50614
15834,16256
19156,19071
30483,29399
45225,42576
22936,24110
26431,27372
37642,37429
52499,50779
15834,16254
19155,18968
30480,29402
45223,42575
22939,24218
26483,27268
37642,37434
52502,50784
15776,16130
19158,19072
30499,29524
45160,42409
22947,24228
26488,27377
37653,37598
52503,50783
